time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/learning_rate,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/value_loss,train/approx_kl,train/clip_fraction,train/explained_variance,train/std,train/loss,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
512,3983,0,1,,,,,,,,,,,,,
1024,1863,0,2,0.0004092704424510632,-0.025555762986186892,0.2,-44.00479531288147,0.1767547043691593,0.012798085,0.204345703125,-1.8736791610717773,1.0014684200286865,-0.03382166102528572,16,,
1536,1591,0,3,0.0004092704424510632,-0.032535435049794614,0.2,-44.04435896873474,0.0035672041558427736,0.022121899,0.29345703125,-0.03676927089691162,1.001906394958496,-0.043945614248514175,32,-2.165188,1258.0
2048,1472,1,4,0.0004092704424510632,-0.021422942692879587,0.2,-44.06293296813965,0.008516838992363773,0.015823955,0.2408447265625,-0.0007585287094116211,1.0035420656204224,-0.02914135716855526,48,-2.165188,1258.0
2560,1416,1,5,0.0004092704424510632,-0.026130580168683082,0.2,-44.11516630649567,0.0021136627819942078,0.016261557,0.2552490234375,-0.006367921829223633,1.0049656629562378,-0.03949902951717377,64,-2.197229,1258.0
3072,1379,2,6,0.0004092704424510632,-0.03196164732798934,0.2,-44.13445854187012,0.005614647685433738,0.017556936,0.3013916015625,0.004787564277648926,1.0044883489608765,-0.045377716422080994,80,-2.197229,1258.0
3584,1353,2,7,0.0004092704424510632,-0.02804632342304103,0.2,-44.123072385787964,0.0024195915466407314,0.02094356,0.298095703125,-0.0063555240631103516,1.0048502683639526,-0.03434755653142929,96,-2.197229,1258.0
4096,1335,3,8,0.0004092704424510632,-0.02486737523577176,0.2,-44.11894249916077,0.004137819320021663,0.014592901,0.2469482421875,0.003262639045715332,1.0039180517196655,-0.036066651344299316,112,-2.1754350000000002,1258.0
4608,1321,3,9,0.0004092704424510632,-0.029303510353202,0.2,-44.0804443359375,0.0014874148801027332,0.017126955,0.242431640625,0.000813603401184082,1.0025315284729004,-0.04377378523349762,128,-2.1754350000000002,1258.0
5120,1308,3,10,0.0004092704424510632,-0.03897028930805391,0.2,-44.05182337760925,0.004364512220490724,0.04019765,0.3984375,0.0031014084815979004,1.002581238746643,-0.04527360573410988,144,-2.18553275,1258.0
5632,1301,4,11,0.0004092704424510632,-0.024531340997782536,0.2,-44.051071763038635,0.0018122156070603523,0.018129721,0.241943359375,-0.0024286508560180664,1.0019783973693848,-0.030900202691555023,160,-2.18553275,1258.0
6144,1292,4,12,0.0004092704424510632,-0.02577987935001147,0.2,-44.02958965301514,0.0022595276022912003,0.015612397,0.243408203125,-0.0045528411865234375,1.0017083883285522,-0.02625211887061596,176,-2.18553275,1258.0
6656,1287,5,13,0.0004092704424510632,-0.02628632764390204,0.2,-44.01628601551056,0.0028940409611095674,0.015451493,0.25537109375,0.009655594825744629,1.0007494688034058,-0.033759161829948425,192,-2.1701324,1258.0
