time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/learning_rate,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/value_loss,train/approx_kl,train/clip_fraction,train/explained_variance,train/std,train/loss,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
512,3965,0,1,,,,,,,,,,,,,
1024,1886,0,2,0.0004092704424510632,-0.02422240437590517,0.2,-43.9670991897583,0.22992806033653324,0.016900312,0.2249755859375,-1.4841811656951904,0.9988083243370056,-0.02516758069396019,16,,
1536,1596,0,3,0.0004092704424510632,-0.030165780495735817,0.2,-43.94671559333801,0.003798196943535004,0.014508235,0.225341796875,0.055833399295806885,0.9986695051193237,-0.04508667811751366,32,-1.942848,1258.0
2048,1479,1,4,0.0004092704424510632,-0.03092664695577696,0.2,-43.91466188430786,0.0013808056219204445,0.016898166,0.252685546875,-0.05184304714202881,0.9964963793754578,-0.037172701209783554,48,-1.942848,1258.0
2560,1418,1,5,0.0004092704424510632,-0.022583620942896232,0.2,-43.84488260746002,0.00200822116494237,0.0144921765,0.2138671875,0.005456686019897461,0.9945520758628845,-0.03083876334130764,64,-2.0275495,1258.0
3072,1375,2,6,0.0004092704424510632,-0.031026179174659774,0.2,-43.80163848400116,0.0020750062612933107,0.021053988,0.3089599609375,-0.006473064422607422,0.9940047860145569,-0.03919824957847595,80,-2.0275495,1258.0
3584,1352,2,7,0.0004092704424510632,-0.02984267141437158,0.2,-43.811843395233154,0.002580470267275814,0.018157803,0.2952880859375,0.010210990905761719,0.9952179789543152,-0.03924839571118355,96,-2.0275495,1258.0
4096,1335,3,8,0.0004092704424510632,-0.032204591305344366,0.2,-43.844610929489136,0.0030311282898765057,0.020020787,0.3184814453125,0.032147884368896484,0.9957433342933655,-0.041153982281684875,112,-2.033767,1258.0
4608,1323,3,9,0.0004092704424510632,-0.03245521744247526,0.2,-43.85338485240936,0.00527206328115426,0.02542482,0.3284912109375,0.02053844928741455,0.9963610768318176,-0.03696640208363533,128,-2.033767,1258.0
5120,1304,3,10,0.0004092704424510632,-0.03057107381755486,0.2,-43.86490881443024,0.0034011628340522293,0.022308588,0.2984619140625,0.10790759325027466,0.9963001012802124,-0.025245673954486847,144,-2.05131675,1258.0
