time/fps,train/ent_coef_loss,time/episodes,rollout/ep_rew_mean,train/learning_rate,rollout/ep_len_mean,train/n_updates,train/ent_coef,train/critic_loss,time/total_timesteps,time/time_elapsed,train/actor_loss
12,-174.41110229492188,4,-4.795005,0.0008459126528049375,1258.0,4931,0.017223434522747993,3.6981570720672607,5032,398,-121.58888244628906
12,-78.19408416748047,8,-3.918453375,0.0008459126528049375,1258.0,9963,0.0009571604314260185,7.538110733032227,10064,798,-118.51046752929688
12,22.07732582092285,12,-3.15222825,0.0008459126528049375,1258.0,14995,0.0011538679245859385,3.2255423069000244,15096,1207,-107.11727905273438
12,-52.887184143066406,16,-2.8375098125,0.0008459126528049375,1258.0,20027,0.0008136080577969551,1.7362196445465088,20128,1612,-99.87608337402344
12,39.63804626464844,20,-2.6790241000000004,0.0008459126528049375,1258.0,25059,0.0006843783194199204,1.5137838125228882,25160,12,-96.03118133544922
12,-49.211585998535156,24,-2.546179083333333,0.0008459126528049375,1258.0,30091,0.000591754971537739,1.9545636177062988,30192,410,-92.04732513427734
12,-13.053622245788574,28,-2.4719009999999995,0.0008459126528049375,1258.0,35123,0.00035226609907113016,2.5157241821289062,35224,803,-83.07071685791016
12,-4.878100872039795,32,-2.3776406562499997,0.0008459126528049375,1258.0,40155,0.0006104732165113091,3.5942275524139404,40256,1191,-59.61247634887695
12,-69.56238555908203,36,-2.32688911111111,0.0008459126528049375,1258.0,45187,0.0005335130845196545,5.626166343688965,45288,1592,-50.348140716552734
12,55.42908477783203,40,-2.28447655,0.0008459126528049375,1258.0,50219,0.0005620055599138141,3.033104419708252,50320,25,-49.37711715698242
12,-24.777015686035156,44,-2.238047613636364,0.0008459126528049375,1258.0,55251,0.0009349833708256483,1.6074790954589844,55352,430,-41.35367965698242
12,-49.33143615722656,48,-2.1865302708333334,0.0008459126528049375,1258.0,60283,0.0005824429099448025,0.731412410736084,60384,836,-35.553157806396484
12,-96.59449768066406,52,-2.166715384615385,0.0008459126528049375,1258.0,65315,0.00026324461214244366,7.8857245445251465,65416,1238,-33.88882827758789
12,-9.127726554870605,56,-2.130729267857143,0.0008459126528049375,1258.0,70347,0.0006901687011122704,10.321892738342285,70448,1643,-30.71006202697754
12,292.1885986328125,60,-2.0962799166666666,0.0008459126528049375,1258.0,75379,0.0008546725148335099,41.54385757446289,75480,39,-4.75041389465332
