train/n_updates,time/time_elapsed,time/episodes,train/actor_loss,train/ent_coef_loss,train/ent_coef,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/critic_loss,time/fps,rollout/ep_len_mean
4931,216,4,-122.43125915527344,-168.84556579589844,0.0172265637665987,-4.6170345,5032,0.0008459126528049375,1.1954820156097412,23,1258.0
9963,439,8,-123.0936279296875,-15.000341415405273,0.0012292914325371385,-3.715373125,10064,0.0008459126528049375,5.812919616699219,22,1258.0
14995,664,12,-121.82044219970703,26.566463470458984,0.0006218645721673965,-3.0468025833333328,15096,0.0008459126528049375,2.873809814453125,22,1258.0
20027,889,16,-116.50760650634766,-8.524127006530762,0.0007296815747395158,-2.7071091249999997,20128,0.0008459126528049375,4.644411087036133,22,1258.0
25059,7,20,-109.78937530517578,2.1708791255950928,0.0005646918434649706,-2.5494526,25160,0.0008459126528049375,4.00944709777832,22,1258.0
30091,232,24,-103.18743896484375,-31.303470611572266,0.0007398094749078155,-2.3843459166666663,30192,0.0008459126528049375,2.0752310752868652,22,1258.0
35123,457,28,-100.75675964355469,-57.09321594238281,0.0007616262300871313,-2.284457892857142,35224,0.0008459126528049375,4.357760429382324,22,1258.0
40155,681,32,-78.72129821777344,13.242960929870605,0.0005897912196815014,-2.1923624999999998,40256,0.0008459126528049375,6.57570743560791,22,1258.0
45187,900,36,-74.18042755126953,-4.645880222320557,0.0003328596649225801,-2.106964944444444,45288,0.0008459126528049375,4.146621227264404,22,1258.0
50219,14,40,-71.36285400390625,16.438810348510742,0.0004461736825760454,-2.05535245,50320,0.0008459126528049375,7.357748031616211,22,1258.0
55251,250,44,-64.80327606201172,68.83168029785156,0.0005676485598087311,-2.0240265909090907,55352,0.0008459126528049375,2.3544154167175293,21,1258.0
60283,543,48,-56.58684158325195,-92.47059631347656,0.0005268767126835883,-1.989608625,60384,0.0008459126528049375,1.6772410869598389,19,1258.0
65315,817,52,-52.87544250488281,7.896484851837158,0.0005052843480370939,-1.9587196923076924,65416,0.0008459126528049375,2.7937822341918945,18,1258.0
70347,1078,56,-47.9857292175293,-91.67829132080078,0.00024213768483605236,-1.938109267857143,70448,0.0008459126528049375,1.4308786392211914,18,1258.0
75379,24,60,-41.16420364379883,-59.135353088378906,0.00023380950733553618,-1.915305933333333,75480,0.0008459126528049375,1.2213630676269531,19,1258.0
80411,289,64,-41.9414176940918,-8.276836395263672,0.000328577880281955,-1.87336128125,80512,0.0008459126528049375,1.258164882659912,19,1258.0
85443,555,68,-35.2567024230957,-30.137802124023438,0.0004470474668778479,-1.8555888970588232,85544,0.0008459126528049375,1.9623290300369263,18,1258.0
90475,817,72,-35.898643493652344,1.475285530090332,0.0005448230658657849,-1.833740847222222,90576,0.0008459126528049375,3.3796989917755127,19,1258.0
95507,1082,76,-20.689252853393555,45.64703369140625,0.0005146542098373175,-1.8285616710526316,95608,0.0008459126528049375,3.690918445587158,19,1258.0
