train/learning_rate,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,train/ent_coef,train/critic_loss,time/total_timesteps,train/ent_coef_loss,train/actor_loss,time/episodes,train/n_updates
0.0008459126528049375,-4.88705725,25,1258.0,198,0.017244447022676468,0.7110599279403687,5032,-172.40626525878906,-120.5392837524414,4,4931
0.0008459126528049375,-3.94015725,25,1258.0,395,0.001050107297487557,3.259817361831665,10064,-30.670278549194336,-126.9600830078125,8,9963
0.0008459126528049375,-3.2936336666666666,25,1258.0,590,0.0009040714940056205,3.356109619140625,15096,37.211585998535156,-130.8351287841797,12,14995
0.0008459126528049375,-2.9239640000000002,25,1258.0,783,0.0006055610720068216,12.844449996948242,20128,39.78718185424805,-132.0875701904297,16,20027
0.0008459126528049375,-2.7075050000000003,24,1258.0,6,0.0008742653299123049,3.1192760467529297,25160,-58.075157165527344,-135.0587615966797,20,25059
0.0008459126528049375,-2.549972375,27,1258.0,191,0.0011848409194499254,5.428878307342529,30192,23.6624755859375,-138.2478790283203,24,30091
0.0008459126528049375,-2.451235107142857,26,1258.0,383,0.001236979616805911,4.086256504058838,35224,20.462385177612305,-138.64805603027344,28,35123
0.0008459126528049375,-2.398606625,26,1258.0,582,0.0004291424120310694,3.3068926334381104,40256,-24.14281463623047,-138.46908569335938,32,40155
0.0008459126528049375,-2.336728805555556,26,1258.0,760,0.0008677960140630603,3.993570327758789,45288,-0.3970812261104584,-138.88894653320312,36,45187
0.0008459126528049375,-2.29482305,31,1258.0,10,0.0010297930566594005,3.9191651344299316,50320,-33.186248779296875,-121.68753051757812,40,50219
0.0008459126528049375,-2.249799181818182,25,1258.0,205,0.0015253849560394883,3.9061903953552246,55352,-7.339184284210205,-121.22407531738281,44,55251
0.0008459126528049375,-2.2165580416666666,26,1258.0,388,0.0006495774141512811,82.79155731201172,60384,-27.07927703857422,-104.10482788085938,48,60283
0.0008459126528049375,-2.1799400961538464,26,1258.0,576,0.0013817546423524618,2.9659037590026855,65416,-19.02400779724121,-108.93363952636719,52,65315
0.0008459126528049375,-2.147592125,26,1258.0,765,0.0014937487430870533,19.193618774414062,70448,44.74961471557617,-108.26588439941406,56,70347
0.0008459126528049375,-2.1304442000000003,28,1258.0,16,0.0012750150635838509,17.593154907226562,75480,14.790642738342285,-96.80254364013672,60,75379
0.0008459126528049375,-2.120301125,28,1258.0,194,0.0007584514678455889,5.405433177947998,80512,54.698944091796875,-99.58834838867188,64,80411
0.0008459126528049375,-2.097058411764706,28,1258.0,376,0.001871835789643228,1.399369716644287,85544,26.906494140625,-97.82211303710938,68,85443
0.0008459126528049375,-2.0755663333333327,27,1258.0,567,0.0008152091759257019,13.169517517089844,90576,30.451908111572266,-92.46479034423828,72,90475
0.0008459126528049375,-2.0698407368421052,27,1258.0,755,0.000624033622443676,2.7558064460754395,95608,10.946833610534668,-92.27656555175781,76,95507
