train/learning_rate,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,train/ent_coef,train/critic_loss,time/total_timesteps,train/ent_coef_loss,train/actor_loss,time/episodes,train/n_updates
0.0008459126528049375,-4.7096754999999995,30,1258.0,162,0.01748763397336006,1.2537899017333984,5032,-177.22799682617188,-122.5040283203125,4,4931
0.0008459126528049375,-3.6014748749999996,31,1258.0,320,0.0012839138507843018,3.4807424545288086,10064,-41.92448425292969,-132.10586547851562,8,9963
0.0008459126528049375,-3.0680545833333333,31,1258.0,486,0.0011386715341359377,2.408055067062378,15096,-1.4553723335266113,-134.96661376953125,12,14995
0.0008459126528049375,-2.843951,31,1258.0,645,0.0007588884909637272,2.866985559463501,20128,34.31947326660156,-137.36949157714844,16,20027
0.0008459126528049375,-2.6648023,26,1258.0,6,0.0009106809156946838,2.880779504776001,25160,62.45362854003906,-144.66995239257812,20,25059
0.0008459126528049375,-2.5714994166666667,29,1258.0,175,0.0005049560568295419,4.507218837738037,30192,26.59009552001953,-142.37132263183594,24,30091
0.0008459126528049375,-2.4710099285714286,30,1258.0,334,0.00048459877143613994,7.798656463623047,35224,-18.957603454589844,-139.96070861816406,28,35123
0.0008459126528049375,-2.39348296875,30,1258.0,494,0.0006792211788706481,3.3703064918518066,40256,56.84326171875,-136.7284393310547,32,40155
0.0008459126528049375,-2.358069333333333,30,1258.0,654,0.0009038128773681819,4.8140740394592285,45288,32.504051208496094,-125.42272186279297,36,45187
0.0008459126528049375,-2.3428329750000003,33,1258.0,9,0.0005417297361418605,37.04597854614258,50320,-22.456865310668945,-128.50830078125,40,50219
0.0008459126528049375,-2.327148204545455,31,1258.0,168,0.0010239954572170973,48.795616149902344,55352,29.29077911376953,-125.44818878173828,44,55251
0.0008459126528049375,-2.3110886041666667,31,1258.0,332,0.0013659927062690258,4.063268184661865,60384,-31.389183044433594,-110.95796203613281,48,60283
0.0008459126528049375,-2.2851422115384614,31,1258.0,496,0.0007515231845900416,6.518688201904297,65416,53.11305236816406,-104.32027435302734,52,65315
0.0008459126528049375,-2.2745609821428574,30,1258.0,660,0.0011425167322158813,56.1009407043457,70448,4.363977909088135,-85.77459716796875,56,70347
0.0008459126528049375,-2.2403602166666667,29,1258.0,16,0.0008384175016544759,2.2412924766540527,75480,-7.234708786010742,-84.30317687988281,60,75379
0.0008459126528049375,-2.212863171875,29,1258.0,187,0.0007657915120944381,3.006748914718628,80512,-49.764930725097656,-83.00486755371094,64,80411
0.0008459126528049375,-2.1963878970588233,28,1258.0,373,0.0008833835017867386,1.2874510288238525,85544,-79.72471618652344,-77.47932434082031,68,85443
0.0008459126528049375,-2.1874602361111113,28,1258.0,539,0.0006921332678757608,8.036453247070312,90576,25.508127212524414,-72.51675415039062,72,90475
0.0008459126528049375,-2.2045196052631577,28,1258.0,715,0.0013192888582125306,1.1579926013946533,95608,-14.31264877319336,-60.287620544433594,76,95507
