train/n_updates,rollout/ep_rew_mean,train/actor_loss,time/total_timesteps,train/ent_coef_loss,time/time_elapsed,train/learning_rate,time/fps,time/episodes,train/critic_loss,train/ent_coef,rollout/ep_len_mean
4931,-5.58987375,-122.345458984375,5032,-172.44822692871094,416,0.0008459126528049375,12,4,1.5853949785232544,0.017338186502456665,1258.0
9963,-4.41662275,-127.97513580322266,10064,-13.420931816101074,850,0.0008459126528049375,11,8,2.3704938888549805,0.0017197156557813287,1258.0
14995,-3.788797583333333,-133.44436645507812,15096,-9.004337310791016,1297,0.0008459126528049375,11,12,2.5639724731445312,0.0016555520705878735,1258.0
20027,-3.4120599375000005,-137.20849609375,20128,-39.076194763183594,1758,0.0008459126528049375,11,16,3.282773494720459,0.001584914862178266,1258.0
25059,-3.2298944,-137.95936584472656,25160,452.1304626464844,14,0.0008459126528049375,10,20,4.149259567260742,0.0013965831603854895,1258.0
30091,-3.097865083333333,-130.1500244140625,30192,-91.2449951171875,476,0.0008459126528049375,10,24,5.411647796630859,0.002056560479104519,1258.0
35123,-3.0062072499999997,-124.13397979736328,35224,85.14132690429688,938,0.0008459126528049375,10,28,5.73765230178833,0.000984413200058043,1258.0
40155,-2.9085175624999997,-110.96223449707031,40256,-3.9272220134735107,1399,0.0008459126528049375,10,32,20.643064498901367,0.0009401272982358932,1258.0
45187,-2.8298083333333333,-101.84537506103516,45288,49.42732238769531,1859,0.0008459126528049375,10,36,7.324863910675049,0.0003760663093999028,1258.0
50219,-2.76673325,-96.07061004638672,50320,71.26769256591797,29,0.0008459126528049375,11,40,3.074826955795288,0.0007687630713917315,1258.0
55251,-2.7407471590909087,-86.86805725097656,55352,-12.27949333190918,488,0.0008459126528049375,10,44,2.4149765968322754,0.0004187250742688775,1258.0
60283,-2.6887317083333335,-75.34538269042969,60384,-17.102859497070312,944,0.0008459126528049375,10,48,12.226045608520508,0.0006043970352038741,1258.0
65315,-2.657131365384615,-58.486839294433594,65416,-57.68168258666992,1399,0.0008459126528049375,11,52,16.054344177246094,0.0006555339205078781,1258.0
70347,-2.639381339285715,-53.811553955078125,70448,11.085185050964355,1840,0.0008459126528049375,11,56,2.7974398136138916,0.000617601559497416,1258.0
75379,-2.63428595,-48.8692626953125,75480,-135.47010803222656,42,0.0008459126528049375,11,60,1.4383482933044434,0.0003898575669154525,1258.0
80411,-2.621253640625,-41.61687469482422,80512,-103.54371643066406,502,0.0008459126528049375,10,64,1.2617634534835815,0.0007116204942576587,1258.0
85443,-2.608934382352941,-38.080810546875,85544,-75.82948303222656,962,0.0008459126528049375,10,68,0.5164188742637634,0.0005603826139122248,1258.0
90475,-2.5923844166666665,-35.29254150390625,90576,19.355327606201172,1420,0.0008459126528049375,10,72,0.6623443365097046,0.0003177977923769504,1258.0
95507,-2.5821605789473687,-32.42633056640625,95608,-8.22964859008789,1874,0.0008459126528049375,10,76,0.570846676826477,0.0002286940871272236,1258.0
