train/ent_coef_loss,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,time/total_timesteps,time/episodes,time/fps,train/actor_loss,train/critic_loss,train/ent_coef,train/n_updates,rollout/ep_rew_mean
-180.29995727539062,1223.0,401,0.0008459126528049375,4892,4,12,-120.12992858886719,49.7376708984375,0.01936725713312626,4791,-4.28983025
40.40629196166992,1223.0,820,0.0008459126528049375,9784,8,11,-127.80528259277344,2.342543840408325,0.001254395698197186,9683,-3.3975934999999997
-39.09413528442383,1223.0,1246,0.0008459126528049375,14676,12,11,-131.64273071289062,3.46791410446167,0.001434761332347989,14575,-2.8337375
53.411067962646484,1223.0,1676,0.0008459126528049375,19568,16,11,-127.73175048828125,13.077990531921387,0.001443154993467033,19467,-2.542568
41.97759246826172,1223.0,2117,0.0008459126528049375,24460,20,11,-115.68067932128906,33.75716781616211,0.0016227468149736524,24359,-2.31447555
74.97865295410156,1223.0,393,0.0008459126528049375,29352,24,11,-98.18671417236328,25.664949417114258,0.0019052907591685653,29251,-2.164659458333333
-2.8610117435455322,1223.0,827,0.0008459126528049375,34244,28,11,-93.257568359375,11.230608940124512,0.0005698931054212153,34143,-2.0423734999999996
-6.521419525146484,1223.0,1250,0.0008459126528049375,39136,32,11,-82.73210906982422,6.863664627075195,0.0006745781283825636,39035,-1.95997665625
10.40524673461914,1223.0,1676,0.0008459126528049375,44028,36,11,-81.6728744506836,1.3228532075881958,0.000778542656917125,43927,-1.8703969444444448
13.307058334350586,1223.0,2083,0.0008459126528049375,48920,40,11,-80.17030334472656,1.4223101139068604,0.0005936677916906774,48819,-1.8149420749999998
51.717041015625,1223.0,316,0.0008459126528049375,53812,44,12,-77.15266418457031,0.9890990257263184,0.00026426155818626285,53711,-1.7857524090909087
-90.58317565917969,1223.0,740,0.0008459126528049375,58704,48,11,-76.44221496582031,3.5557892322540283,0.0008624789188615978,58603,-1.736589875
-29.568134307861328,1223.0,1174,0.0008459126528049375,63596,52,11,-77.25203704833984,8.406869888305664,0.0008280756883323193,63495,-1.6927839615384612
-11.46401596069336,1223.0,1603,0.0008459126528049375,68488,56,11,-68.86962890625,7.370131492614746,0.0007218989194370806,68387,-1.6465319642857144
-22.464757919311523,1223.0,2052,0.0008459126528049375,73380,60,11,-59.023292541503906,2.0097548961639404,0.0006030239164829254,73279,-1.61131695
-40.31622314453125,1223.0,297,0.0008459126528049375,78272,64,10,-60.26220703125,2.6345438957214355,0.0008459922973997891,78171,-1.583502453125
25.609222412109375,1223.0,745,0.0008459126528049375,83164,68,10,-57.64110565185547,19.088396072387695,0.0004857573949266225,83063,-1.5716379411764705
-2.611929178237915,1223.0,1198,0.0008459126528049375,88056,72,10,-51.9448127746582,28.55100440979004,0.0012267378624528646,87955,-1.5455875416666665
-15.309903144836426,1223.0,1642,0.0008459126528049375,92948,76,10,-46.00437545776367,4.130425930023193,0.0012078313156962395,92847,-1.5256067368421051
