train/n_updates,time/episodes,train/ent_coef_loss,time/time_elapsed,train/ent_coef,time/fps,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,rollout/ep_len_mean
4931,4,-172.88185119628906,150,0.01745813898742199,33,-123.67427062988281,2.2054402828216553,-4.949836749999999,5032,0.0008459126528049375,1258.0
9963,8,30.738554000854492,326,0.0015557568985968828,30,-133.17898559570312,4.513215065002441,-3.9318282499999997,10064,0.0008459126528049375,1258.0
14995,12,21.866104125976562,502,0.0018974898848682642,30,-126.6598892211914,21.610370635986328,-3.2290264166666662,15096,0.0008459126528049375,1258.0
20027,16,-7.967787265777588,677,0.0007275716052390635,29,-116.03044891357422,3.588076591491699,-2.988221875,20128,0.0008459126528049375,1258.0
25059,20,-22.24901580810547,5,0.0007051741704344749,28,-109.58090209960938,1.5605480670928955,-2.7267719999999995,25160,0.0008459126528049375,1258.0
30091,24,72.61884307861328,182,0.0010480523342266679,28,-88.64507293701172,3.459567070007324,-2.6088204166666666,30192,0.0008459126528049375,1258.0
35123,28,-17.83000373840332,359,0.0004172973276581615,28,-87.78076934814453,1.6274774074554443,-2.4789120714285717,35224,0.0008459126528049375,1258.0
40155,32,-95.30145263671875,538,0.0005811346345581114,28,-67.62602233886719,2.6528005599975586,-2.3736785625000003,40256,0.0008459126528049375,1258.0
45187,36,-57.3504638671875,717,0.0006205429090186954,28,-53.295677185058594,1.409710168838501,-2.352861722222222,45288,0.0008459126528049375,1258.0
50219,40,-78.54303741455078,11,0.0002597592247184366,28,-48.727149963378906,2.845625400543213,-2.2985488750000003,50320,0.0008459126528049375,1258.0
55251,44,-26.95381736755371,191,0.00046562825446017087,27,-47.285404205322266,3.799647331237793,-2.2447962272727278,55352,0.0008459126528049375,1258.0
60283,48,26.021121978759766,344,0.0002426936844130978,30,-42.44413757324219,0.7927445769309998,-2.205635791666667,60384,0.0008459126528049375,1258.0
65315,52,-34.52543258666992,504,0.00031129131093621254,30,-38.24764633178711,1.463461995124817,-2.1735401346153846,65416,0.0008459126528049375,1258.0
70347,56,7.750459671020508,682,0.0008763150544837117,29,-30.863813400268555,2.992610454559326,-2.1379015,70448,0.0008459126528049375,1258.0
75379,60,-33.17159652709961,17,0.00033466951572336257,27,-28.646230697631836,1.8685712814331055,-2.1287495666666665,75480,0.0008459126528049375,1258.0
80411,64,-20.643503189086914,203,0.00024414993822574615,27,-28.241775512695312,0.6023761034011841,-2.1043706249999996,80512,0.0008459126528049375,1258.0
85443,68,60.34733581542969,392,0.00044827762758359313,26,-14.641167640686035,3.912775993347168,-2.084431808823529,85544,0.0008459126528049375,1258.0
