time/fps,train/ent_coef_loss,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,train/ent_coef,time/time_elapsed,train/learning_rate,time/total_timesteps,train/n_updates,train/actor_loss,train/critic_loss
11,-175.3806915283203,4,1258.0,-4.59550025,0.017250705510377884,439,0.0008459126528049375,5032,4931,-121.63255310058594,0.7456601858139038
11,0.4298803210258484,8,1258.0,-3.655082625,0.0011553599033504725,896,0.0008459126528049375,10064,9963,-128.82521057128906,4.134604454040527
11,64.73867797851562,12,1258.0,-2.9885567500000003,0.0009393225191161036,1349,0.0008459126528049375,15096,14995,-132.3955841064453,3.5148990154266357
11,76.43577575683594,16,1258.0,-2.6349306875,0.0007219130638986826,1793,0.0008459126528049375,20128,20027,-134.80880737304688,15.332181930541992
11,-91.14159393310547,20,1258.0,-2.4884445499999996,0.0007773144752718508,14,0.0008459126528049375,25160,25059,-135.24256896972656,3.246852397918701
11,-30.03679656982422,24,1258.0,-2.3570607916666666,0.001112069352529943,464,0.0008459126528049375,30192,30091,-138.00820922851562,4.101881980895996
11,36.01917266845703,28,1258.0,-2.326814535714285,0.0009489599033258855,908,0.0008459126528049375,35224,35123,-138.81948852539062,4.851966857910156
11,126.70027923583984,32,1258.0,-2.27306359375,0.0004760847077704966,1352,0.0008459126528049375,40256,40155,-138.10226440429688,6.292422294616699
11,-21.264217376708984,36,1258.0,-2.2226867222222224,0.0005790925933979452,1792,0.0008459126528049375,45288,45187,-126.6982650756836,2.473860502243042
11,26.835718154907227,40,1258.0,-2.1937284499999996,0.0008521787822246552,28,0.0008459126528049375,50320,50219,-118.85271453857422,9.751518249511719
11,-18.60931396484375,44,1258.0,-2.149341409090909,0.0015792553313076496,468,0.0008459126528049375,55352,55251,-116.17010498046875,8.257953643798828
11,-59.071388244628906,48,1258.0,-2.1182326875,0.0013938407646492124,906,0.0008459126528049375,60384,60283,-109.97638702392578,3.7154178619384766
11,5.178325176239014,52,1258.0,-2.097159019230769,0.0014050555182620883,1341,0.0008459126528049375,65416,65315,-103.59484100341797,4.434802055358887
11,26.36495590209961,56,1258.0,-2.087682607142857,0.0010381207102909684,1777,0.0008459126528049375,70448,70347,-101.63752746582031,16.604862213134766
