time/fps,train/actor_loss,train/n_updates,train/ent_coef,time/episodes,train/ent_coef_loss,rollout/ep_len_mean,train/learning_rate,time/time_elapsed,train/critic_loss,time/total_timesteps,rollout/ep_rew_mean
11,-123.13218688964844,4931,0.017186591401696205,4,-176.72532653808594,1258.0,0.0008459126528049375,423,1.6543102264404297,5032,-4.1760615
11,-122.93650817871094,9963,0.0015292441239580512,8,24.085460662841797,1258.0,0.0008459126528049375,859,5.365781307220459,10064,-3.1197772500000003
11,-111.08258819580078,14995,0.0018443549051880836,12,-73.77399444580078,1258.0,0.0008459126528049375,1287,9.620720863342285,15096,-2.4830702500000004
11,-107.2857666015625,20027,0.0011758250184357166,16,10.223258018493652,1258.0,0.0008459126528049375,1726,1.878920316696167,20128,-2.14442225
11,-104.80091094970703,25059,0.00036219030153006315,20,86.6090316772461,1258.0,0.0008459126528049375,13,1.6879099607467651,25160,-1.9457220999999998
11,-100.84555053710938,30091,0.0006756565417163074,24,-51.95725631713867,1258.0,0.0008459126528049375,454,1.8561012744903564,30192,-1.800387625
11,-97.95356750488281,35123,0.0005230889655649662,28,-27.534460067749023,1258.0,0.0008459126528049375,899,1.2966043949127197,35224,-1.6970153214285713
11,-98.22339630126953,40155,0.0003040907031390816,32,4.525768280029297,1258.0,0.0008459126528049375,1336,0.751045286655426,40256,-1.64315065625
11,-93.33538055419922,45187,0.00031435603159479797,36,4.8271803855896,1258.0,0.0008459126528049375,1758,0.9495766162872314,45288,-1.5734239166666666
12,-91.052001953125,50219,0.0004747413331642747,40,27.269989013671875,1258.0,0.0008459126528049375,26,3.187224864959717,50320,-1.5247817250000002
11,-87.05068969726562,55251,0.00040019091102294624,44,-35.4189567565918,1258.0,0.0008459126528049375,470,1.671196460723877,55352,-1.499078840909091
11,-82.22948455810547,60283,0.0002406337735010311,48,38.41221618652344,1258.0,0.0008459126528049375,910,0.9545823335647583,60384,-1.4563929375000002
11,-76.28919982910156,65315,0.0004867205279879272,52,-70.39047241210938,1258.0,0.0008459126528049375,1349,2.769810914993286,65416,-1.4478436730769233
11,-76.23457336425781,70347,0.0005180102307349443,56,-30.97162628173828,1258.0,0.0008459126528049375,1783,3.4694418907165527,70448,-1.4268975000000002
10,-72.55596923828125,75379,0.000559519394300878,60,14.58122444152832,1258.0,0.0008459126528049375,44,18.94443130493164,75480,-1.3872127166666666
11,-68.8586196899414,80411,0.0012470214860513806,64,6.67714786529541,1258.0,0.0008459126528049375,494,1.9626532793045044,80512,-1.3685414531250002
11,-69.36798095703125,85443,0.0009299106895923615,68,-15.350898742675781,1258.0,0.0008459126528049375,957,15.686067581176758,85544,-1.3605421911764708
10,-64.2230224609375,90475,0.0010383984772488475,72,-50.29526138305664,1258.0,0.0008459126528049375,1424,8.477275848388672,90576,-1.3384310972222222
10,-54.29715347290039,95507,0.0018209858098998666,76,3.602336883544922,1258.0,0.0008459126528049375,1899,6.178858757019043,95608,-1.3161885657894736
