time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/explained_variance,train/learning_rate,train/approx_kl,train/std,train/loss,train/value_loss,train/clip_fraction,train/n_updates,train/clip_range,train/entropy_loss,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean
0,3872,1,512,,,,,,,,,,,,,
0,1838,2,1024,-1.911658763885498,0.0004092704424510632,0.016713556,0.9974402785301208,-0.05575088784098625,0.08512226616585394,0.2808837890625,16,0.2,-43.942992210388184,-0.03471518809965346,,
0,1572,3,1536,0.007935106754302979,0.0004092704424510632,0.016940098,0.9967722296714783,-0.04394662380218506,0.0029314499988686293,0.2469482421875,32,0.2,-43.891231656074524,-0.029829067614628002,1258.0,-2.442858
1,1463,4,2048,-0.0021179914474487305,0.0004092704424510632,0.021613132,0.9947493672370911,0.0026532523334026337,0.06850973004475236,0.3070068359375,48,0.2,-43.85762417316437,-0.029474113805918023,1258.0,-2.442858
1,1405,5,2560,0.0951429009437561,0.0004092704424510632,0.012919653,0.9959264993667603,-0.03645215556025505,0.0035617037065094337,0.1876220703125,64,0.2,-43.831291913986206,-0.02371868657064624,1258.0,-2.409476
2,1371,6,3072,0.012035787105560303,0.0004092704424510632,0.018660758,0.9970423579216003,-0.0015254057943820953,0.07140070549212396,0.2545166015625,80,0.2,-43.87560987472534,-0.022735311038559303,1258.0,-2.409476
2,1347,7,3584,0.319452702999115,0.0004092704424510632,0.022110464,0.9972679615020752,-0.018136832863092422,0.002518717556085903,0.2828369140625,96,0.2,-43.895970702171326,-0.027074622645159252,1258.0,-2.409476
3,1328,8,4096,0.05150270462036133,0.0004092704424510632,0.017054638,0.9961769580841064,-0.04029790312051773,0.002031721767707495,0.244873046875,112,0.2,-43.88655233383179,-0.026850569251109846,1258.0,-2.471197
3,1313,9,4608,0.0038055777549743652,0.0004092704424510632,0.01732605,0.9946683049201965,0.0009276904165744781,0.08279699482955039,0.263427734375,128,0.2,-43.8395379781723,-0.024522023944882676,1258.0,-2.471197
3,1304,10,5120,0.3973767161369324,0.0004092704424510632,0.015760526,0.992712140083313,-0.04207488149404526,0.0037250155728543177,0.251220703125,144,0.2,-43.787742614746094,-0.03210797350038774,1258.0,-2.4731345
4,1298,11,5632,0.026886165142059326,0.0004092704424510632,0.016221922,0.9905804395675659,-0.004401557147502899,0.09171265317127109,0.2213134765625,160,0.2,-43.72168576717377,-0.026090508967172354,1258.0,-2.4731345
4,1287,12,6144,-0.15916967391967773,0.0004092704424510632,0.020768682,0.9892362952232361,-0.03210233896970749,0.003620024595875293,0.2713623046875,176,0.2,-43.661951780319214,-0.026534479926340282,1258.0,-2.4731345
5,1279,13,6656,0.10794717073440552,0.0004092704424510632,0.014506111,0.9891850352287292,-0.038081612437963486,0.0032145504337677266,0.2188720703125,192,0.2,-43.6394944190979,-0.025901930377585813,1258.0,-2.4955776
5,1275,14,7168,0.05295562744140625,0.0004092704424510632,0.019075708,0.9884166717529297,-0.0064711496233940125,0.09043940482661128,0.27294921875,208,0.2,-43.630165219306946,-0.028959892471903004,1258.0,-2.4955776
6,1273,15,7680,-1.0067508220672607,0.0004092704424510632,0.015640533,0.9888190031051636,-0.035414017736911774,0.013135595334460959,0.223876953125,224,0.2,-43.61662971973419,-0.027178022195585072,1258.0,-2.5152825
