time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/explained_variance,train/learning_rate,train/approx_kl,train/std,train/loss,train/value_loss,train/clip_fraction,train/n_updates,train/clip_range,train/entropy_loss,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean
0,3826,1,512,,,,,,,,,,,,,
0,1790,2,1024,-1.2554941177368164,0.0004092704424510632,0.01664054,0.9991893768310547,-0.04053035005927086,0.17437995939690154,0.242431640625,16,0.2,-43.977256059646606,-0.028098604234401137,,
1,1533,3,1536,0.03637123107910156,0.0004092704424510632,0.018017102,0.9971809983253479,-0.031078794971108437,0.004484218326979317,0.262451171875,32,0.2,-43.933597564697266,-0.02655608198256232,1258.0,-2.617703
1,1425,4,2048,-0.005840778350830078,0.0004092704424510632,0.018922452,0.9975829720497131,-0.02804214507341385,0.020660317852161825,0.2958984375,48,0.2,-43.897544264793396,-0.02648379883612506,1258.0,-2.617703
1,1362,5,2560,-0.0064574480056762695,0.0004092704424510632,0.018159084,0.9972913265228271,-0.030828040093183517,0.0041447022231295705,0.2421875,64,0.2,-43.90904629230499,-0.025099069549469277,1258.0,-2.543946
2,1321,6,3072,-0.00434565544128418,0.0004092704424510632,0.01748633,0.9987177848815918,-0.026195183396339417,0.009875511925201863,0.25634765625,80,0.2,-43.91365396976471,-0.02211342159716878,1258.0,-2.543946
2,1297,7,3584,-0.0037134885787963867,0.0004092704424510632,0.01640092,0.999699056148529,-0.03366652503609657,0.005548584333155304,0.2386474609375,96,0.2,-43.960476875305176,-0.025279505760408938,1258.0,-2.543946
3,1284,8,4096,0.013720571994781494,0.0004092704424510632,0.015799575,0.9989624619483948,-0.044910408556461334,0.002304962581547443,0.2833251953125,112,0.2,-43.96482849121094,-0.03297711776394863,1258.0,-2.5468656666666667
3,1273,9,4608,-0.0014088153839111328,0.0004092704424510632,0.0111651905,0.9975695013999939,-0.040864139795303345,0.005352588166715577,0.1719970703125,128,0.2,-43.9262375831604,-0.021819495013915002,1258.0,-2.5468656666666667
4,1264,10,5120,0.012034237384796143,0.0004092704424510632,0.013530593,0.9959736466407776,-0.038865797221660614,0.004293939666240476,0.251220703125,144,0.2,-43.87890112400055,-0.024094369466183707,1258.0,-2.5075385
4,1257,11,5632,0.0005837082862854004,0.0004092704424510632,0.015037,0.9951752424240112,-0.0313316248357296,0.0037923135969322175,0.261474609375,160,0.2,-43.83730900287628,-0.025303138128947467,1258.0,-2.5075385
4,1249,12,6144,0.022913813591003418,0.0004092704424510632,0.012650292,0.9949239492416382,-0.03196439519524574,0.0043406664408394136,0.2154541015625,176,0.2,-43.82134962081909,-0.023365740053122863,1258.0,-2.5075385
5,1240,13,6656,0.009462594985961914,0.0004092704424510632,0.0148996785,0.9953606724739075,-0.03745754063129425,0.00298058518092148,0.240234375,192,0.2,-43.81923997402191,-0.026389451522845775,1258.0,-2.5309473999999996
5,1237,14,7168,0.006810009479522705,0.0004092704424510632,0.015328631,0.9955642819404602,-0.05437920242547989,0.005480558131239377,0.287353515625,208,0.2,-43.83706319332123,-0.031847230486164335,1258.0,-2.5309473999999996
6,1233,15,7680,0.044967710971832275,0.0004092704424510632,0.021299826,0.9938032627105713,-0.041333187371492386,0.0035223892773501575,0.285400390625,224,0.2,-43.8099011182785,-0.028019688528729603,1258.0,-2.512876
6,1230,16,8192,0.010490119457244873,0.0004092704424510632,0.015487779,0.9909125566482544,-0.03657698258757591,0.011971933185122907,0.2381591796875,240,0.2,-43.737656474113464,-0.026599523502227385,1258.0,-2.512876
7,1227,17,8704,0.07475930452346802,0.0004092704424510632,0.017197479,0.9905990362167358,-0.023112783208489418,0.004082760686287656,0.24462890625,256,0.2,-43.67716562747955,-0.026520535728195682,1258.0,-2.512876
7,1224,18,9216,0.09089958667755127,0.0004092704424510632,0.01691407,0.9893267154693604,-0.04621455818414688,0.0024571170506533235,0.2437744140625,272,0.2,-43.66259443759918,-0.028554699776577763,1258.0,-2.486377
7,1221,19,9728,0.008063316345214844,0.0004092704424510632,0.01982782,0.9885680675506592,-0.027526099234819412,0.020954814448487014,0.283447265625,288,0.2,-43.62083864212036,-0.02746357388969045,1258.0,-2.486377
