time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/explained_variance,train/learning_rate,train/approx_kl,train/std,train/loss,train/value_loss,train/clip_fraction,train/n_updates,train/clip_range,train/entropy_loss,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean
0,3496,1,512,,,,,,,,,,,,,
0,1710,2,1024,-2.9184324741363525,0.0004092704424510632,0.015957654,0.9980276823043823,-0.03619912639260292,0.2274466640647006,0.2161865234375,16,0.2,-43.95649325847626,-0.024885714999982156,,
1,1478,3,1536,0.02080702781677246,0.0004092704424510632,0.019679036,0.9969896674156189,-0.04029768705368042,0.003552836220478639,0.2684326171875,32,0.2,-43.906747698783875,-0.028714781190501526,1258.0,-2.633227
1,1384,4,2048,0.008202910423278809,0.0004092704424510632,0.019768983,0.9961605668067932,-0.036759551614522934,0.005206445814110339,0.275634765625,48,0.2,-43.879117131233215,-0.027286763361189514,1258.0,-2.633227
1,1334,5,2560,0.024890661239624023,0.0004092704424510632,0.012894754,0.9934223294258118,-0.03837757930159569,0.004065699555212632,0.189697265625,64,0.2,-43.825345516204834,-0.02323001596960239,1258.0,-2.5146835000000003
2,1304,6,3072,0.013312280178070068,0.0004092704424510632,0.01609496,0.9938408732414246,-0.023816298693418503,0.0045789755749865435,0.26318359375,80,0.2,-43.77928590774536,-0.02698129537748173,1258.0,-2.5146835000000003
2,1281,7,3584,0.00604701042175293,0.0004092704424510632,0.023550315,0.9924405217170715,-0.032882075756788254,0.004443398589501157,0.33837890625,96,0.2,-43.77898180484772,-0.031037768232636154,1258.0,-2.5146835000000003
3,1266,8,4096,0.021515488624572754,0.0004092704424510632,0.018332075,0.9932136535644531,-0.04332955181598663,0.002982800448080525,0.3070068359375,112,0.2,-43.74850833415985,-0.03261763100454118,1258.0,-2.553361
3,1255,9,4608,0.012220263481140137,0.0004092704424510632,0.021313224,0.9950224161148071,-0.030931448563933372,0.009456746862269938,0.2705078125,128,0.2,-43.79613542556763,-0.03035377463675104,1258.0,-2.553361
4,1242,10,5120,0.0695197582244873,0.0004092704424510632,0.01963362,0.9961832761764526,-0.041785359382629395,0.003371331848029513,0.267578125,144,0.2,-43.85032045841217,-0.028958297421922907,1258.0,-2.5468052500000002
4,1234,11,5632,0.0117453932762146,0.0004092704424510632,0.022573357,0.9971339106559753,-0.019418932497501373,0.01672684887307696,0.32666015625,160,0.2,-43.87408757209778,-0.035379297129111364,1258.0,-2.5468052500000002
5,1227,12,6144,0.12614232301712036,0.0004092704424510632,0.017412685,0.9969592094421387,-0.03730568289756775,0.0039043989600031637,0.2352294921875,176,0.2,-43.8917053937912,-0.026801166066434234,1258.0,-2.5468052500000002
5,1223,13,6656,0.06455308198928833,0.0004092704424510632,0.01585449,0.9980583190917969,-0.040527958422899246,0.0028287022505537607,0.2469482421875,192,0.2,-43.89530873298645,-0.026346393788116984,1258.0,-2.5452264
5,1219,14,7168,0.01851785182952881,0.0004092704424510632,0.021056721,0.9966468214988708,-0.017178159207105637,0.030226376722566783,0.2735595703125,208,0.2,-43.901623487472534,-0.024418285160209052,1258.0,-2.5452264
6,1216,15,7680,0.45718836784362793,0.0004092704424510632,0.016870093,0.9958500266075134,-0.04130468890070915,0.0023799148548278026,0.2467041015625,224,0.2,-43.852097392082214,-0.025722607111674733,1258.0,-2.544445
6,1214,16,8192,0.09307819604873657,0.0004092704424510632,0.024419846,0.9949880242347717,-0.012320457026362419,0.034511124016717076,0.279296875,240,0.2,-43.833213329315186,-0.028830929630203173,1258.0,-2.544445
7,1212,17,8704,0.5861808061599731,0.0004092704424510632,0.019939434,0.995080292224884,-0.04595177620649338,0.002430129057756858,0.25732421875,256,0.2,-43.81337034702301,-0.026883795362664387,1258.0,-2.544445
7,1210,18,9216,0.20115607976913452,0.0004092704424510632,0.017493565,0.9966769814491272,-0.033718474209308624,0.0036052760769962333,0.2393798828125,272,0.2,-43.834144830703735,-0.023831320460885763,1258.0,-2.5425918571428574
8,1207,19,9728,0.025929272174835205,0.0004092704424510632,0.020409444,0.9969549775123596,-0.013818802312016487,0.043999870715197176,0.2613525390625,288,0.2,-43.87359178066254,-0.025269846912124194,1258.0,-2.5425918571428574
8,1205,20,10240,0.15271645784378052,0.0004092704424510632,0.0127724,0.9953762888908386,-0.03504446893930435,0.004003253030532505,0.1949462890625,304,0.2,-43.85419535636902,-0.021593095210846514,1258.0,-2.539073
