train/n_updates,time/time_elapsed,time/fps,time/total_timesteps,train/learning_rate,train/ent_coef,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,train/ent_coef_loss
4791,181,26,4892,0.0008459126528049375,0.019256500527262688,-122.11103057861328,0.8213455677032471,-4.146359,4,1223.0,-166.6033477783203
9683,376,25,9784,0.0008459126528049375,0.001261634286493063,-127.43082427978516,63.912933349609375,-3.257095,8,1223.0,-78.70175170898438
14575,576,25,14676,0.0008459126528049375,0.0011155310785397887,-132.71505737304688,65.29107666015625,-2.649937833333334,12,1223.0,51.925262451171875
19467,752,26,19568,0.0008459126528049375,0.0007397583103738725,-133.0237579345703,0.8151557445526123,-2.3190639375,16,1223.0,17.289447784423828
24359,926,26,24460,0.0008459126528049375,0.000736093265004456,-137.3253631591797,1.9910696744918823,-2.1380218500000003,20,1223.0,35.671634674072266
29251,155,27,29352,0.0008459126528049375,0.000995255191810429,-140.901611328125,1.2351666688919067,-1.9581352499999998,24,1223.0,51.785362243652344
34143,344,26,34244,0.0008459126528049375,0.00047399444156326354,-141.62869262695312,2.4882569313049316,-1.8611348571428568,28,1223.0,153.7239227294922
39035,538,26,39136,0.0008459126528049375,0.0006255945190787315,-145.349365234375,4.467795372009277,-1.79327559375,32,1223.0,45.820167541503906
43927,711,26,44028,0.0008459126528049375,0.0009367555030621588,-145.91775512695312,7.714877128601074,-1.7427081944444442,36,1223.0,36.82223129272461
48819,873,27,48920,0.0008459126528049375,0.0005683643976226449,-149.53317260742188,2.829397201538086,-1.691223725,40,1223.0,50.96668243408203
53711,125,30,53812,0.0008459126528049375,0.0011773622827604413,-150.62281799316406,13.206108093261719,-1.636434568181818,44,1223.0,14.96011734008789
58603,279,31,58704,0.0008459126528049375,0.0010163187980651855,-152.50233459472656,6.704193115234375,-1.5913944583333333,48,1223.0,-5.505846977233887
63495,428,31,63596,0.0008459126528049375,0.001251738634891808,-154.19668579101562,4.533601760864258,-1.5662415,52,1223.0,-37.338645935058594
68387,579,31,68488,0.0008459126528049375,0.001642518094740808,-157.48907470703125,4.698785781860352,-1.536904607142857,56,1223.0,-11.639840126037598
73279,746,31,73380,0.0008459126528049375,0.0015047157648950815,-160.46556091308594,78.51461029052734,-1.5118924499999997,60,1223.0,-70.40023040771484
78171,124,26,78272,0.0008459126528049375,0.0014174138195812702,-159.87986755371094,5.431491374969482,-1.48474684375,64,1223.0,47.431243896484375
83063,292,27,83164,0.0008459126528049375,0.0010932288132607937,-160.6332550048828,83.35197448730469,-1.4681141911764706,68,1223.0,1.956926703453064
87955,457,28,88056,0.0008459126528049375,0.0016640182584524155,-163.099853515625,2.7353601455688477,-1.455448013888889,72,1223.0,-15.18398666381836
92847,631,28,92948,0.0008459126528049375,0.0012142296181991696,-164.9250030517578,6.339852333068848,-1.440002947368421,76,1223.0,-11.368643760681152
97739,787,29,97840,0.0008459126528049375,0.001964934403076768,-163.47776794433594,4.451320648193359,-1.4237924249999998,80,1223.0,1.2592859268188477
