train/n_updates,time/time_elapsed,time/fps,time/total_timesteps,train/learning_rate,train/ent_coef,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,train/ent_coef_loss
4791,165,29,4892,0.0008459126528049375,0.019503209739923477,-122.33615112304688,58.776092529296875,-4.22537525,4,1223.0,-189.9730682373047
9683,308,31,9784,0.0008459126528049375,0.0011406729463487864,-129.10142517089844,0.3741641640663147,-3.260314375,8,1223.0,-48.034122467041016
14575,453,32,14676,0.0008459126528049375,0.0008391738520003855,-134.5609893798828,0.7868683338165283,-2.6167195833333334,12,1223.0,29.596294403076172
19467,625,31,19568,0.0008459126528049375,0.0007007017848081887,-138.3620147705078,0.7171769142150879,-2.3495630625,16,1223.0,26.16734504699707
24359,801,30,24460,0.0008459126528049375,0.000759705260861665,-142.7264404296875,3.097257614135742,-2.1622821500000002,20,1223.0,-53.64704132080078
29251,155,27,29352,0.0008459126528049375,0.0011587846092879772,-143.56427001953125,72.2225341796875,-2.113418375,24,1223.0,6.487598419189453
34143,322,28,34244,0.0008459126528049375,0.0008989585330709815,-145.65028381347656,73.61209106445312,-2.0475742500000003,28,1223.0,-19.205690383911133
39035,465,30,39136,0.0008459126528049375,0.0007682383293285966,-149.2265167236328,2.1051456928253174,-1.9937120625,32,1223.0,-69.91427612304688
43927,633,30,44028,0.0008459126528049375,0.0003301436663605273,-151.56988525390625,3.2614359855651855,-1.9324098055555554,36,1223.0,4.775384902954102
48819,777,30,48920,0.0008459126528049375,0.001012485008686781,-152.45040893554688,3.060882329940796,-1.8804216249999999,40,1223.0,-3.0691404342651367
53711,110,34,53812,0.0008459126528049375,0.000961556623224169,-154.22520446777344,4.645079612731934,-1.8555335227272727,44,1223.0,7.079641342163086
58603,264,32,58704,0.0008459126528049375,0.0009445077739655972,-154.09811401367188,2.859908103942871,-1.827247875,48,1223.0,34.819576263427734
63495,441,30,63596,0.0008459126528049375,0.0015869385097175837,-156.27745056152344,2.5312328338623047,-1.807614442307692,52,1223.0,-44.519439697265625
68387,620,29,68488,0.0008459126528049375,0.0015838133404031396,-155.55316162109375,2.402885913848877,-1.797806232142857,56,1223.0,0.8923971056938171
73279,800,29,73380,0.0008459126528049375,0.0013362170429900289,-157.02642822265625,76.63504791259766,-1.78973045,60,1223.0,10.80067253112793
78171,124,26,78272,0.0008459126528049375,0.001037586247548461,-156.74884033203125,3.554975986480713,-1.78697678125,64,1223.0,-50.889278411865234
83063,305,26,83164,0.0008459126528049375,0.0012672657612711191,-160.6588134765625,3.450855016708374,-1.7576073529411762,68,1223.0,-8.212961196899414
87955,476,27,88056,0.0008459126528049375,0.0025435148272663355,-160.9927978515625,8.06561279296875,-1.7432046249999997,72,1223.0,43.483070373535156
92847,661,27,92948,0.0008459126528049375,0.001431077136658132,-164.6963348388672,3.4073190689086914,-1.7434939210526312,76,1223.0,35.851131439208984
97739,836,27,97840,0.0008459126528049375,0.0013210583711043,-165.53977966308594,4.25904655456543,-1.7392237125,80,1223.0,22.080150604248047
