time/episodes,rollout/ep_len_mean,train/ent_coef_loss,rollout/ep_rew_mean,time/total_timesteps,train/actor_loss,train/ent_coef,time/time_elapsed,train/critic_loss,time/fps,train/learning_rate,train/n_updates
4,1258.0,-178.57774353027344,-4.9451805,5032,-122.33719635009766,0.0175178125500679,188,0.7395820617675781,26,0.0008459126528049375,4931
8,1258.0,-35.52773666381836,-3.94165125,10064,-128.88670349121094,0.0012122649932280183,365,2.2950572967529297,27,0.0008459126528049375,9963
12,1258.0,7.086515426635742,-3.299429,15096,-132.56149291992188,0.0011752796126529574,526,1.320162057876587,28,0.0008459126528049375,14995
16,1258.0,40.87139129638672,-2.9525405,20128,-136.23873901367188,0.0006761222612112761,690,1.7498061656951904,29,0.0008459126528049375,20027
20,1258.0,-64.96546173095703,-2.76463605,25160,-137.90603637695312,0.0010629914468154311,4,1.525780200958252,35,0.0008459126528049375,25059
24,1258.0,4.499524116516113,-2.6027343333333333,30192,-139.50875854492188,0.001176494057290256,142,1.704369306564331,36,0.0008459126528049375,30091
28,1258.0,26.68869400024414,-2.4839444285714287,35224,-143.39602661132812,0.0011517251841723919,279,2.2187647819519043,36,0.0008459126528049375,35123
32,1258.0,69.53803253173828,-2.4322830937499997,40256,-144.35806274414062,0.0010082944063469768,416,3.053203582763672,36,0.0008459126528049375,40155
36,1258.0,-76.01185607910156,-2.3889692777777776,45288,-147.71673583984375,0.0007577982032671571,554,4.297731399536133,36,0.0008459126528049375,45187
40,1258.0,-56.79108428955078,-2.391587725,50320,-146.15420532226562,0.0005769922863692045,8,3.348947048187256,36,0.0008459126528049375,50219
44,1258.0,-33.205135345458984,-2.382830931818182,55352,-145.47386169433594,0.0008417571661993861,146,4.176804542541504,36,0.0008459126528049375,55251
48,1258.0,15.019693374633789,-2.3685729583333335,60384,-145.93179321289062,0.001654797582887113,284,3.2957146167755127,36,0.0008459126528049375,60283
52,1258.0,-23.87093162536621,-2.3262454423076924,65416,-145.88600158691406,0.0017835641046985984,423,3.3759164810180664,36,0.0008459126528049375,65315
56,1258.0,-18.99761199951172,-2.3112937142857146,70448,-146.295166015625,0.0015641167992725968,564,57.14555358886719,36,0.0008459126528049375,70347
60,1258.0,-10.671664237976074,-2.2937697500000005,75480,-146.5006103515625,0.001445041038095951,13,56.29944610595703,34,0.0008459126528049375,75379
64,1258.0,-8.875252723693848,-2.287699828125,80512,-143.5353240966797,0.001448446186259389,163,6.157728672027588,33,0.0008459126528049375,80411
68,1258.0,-0.4867188334465027,-2.288248205882353,85544,-141.49404907226562,0.0016813611146062613,314,3.8408284187316895,33,0.0008459126528049375,85443
72,1258.0,-42.66653060913086,-2.2829245416666666,90576,-142.72210693359375,0.001676672720350325,464,3.81834077835083,33,0.0008459126528049375,90475
76,1258.0,-19.67062759399414,-2.280078381578947,95608,-143.31207275390625,0.001365504926070571,637,5.26970100402832,32,0.0008459126528049375,95507
