time/episodes,rollout/ep_len_mean,train/ent_coef_loss,rollout/ep_rew_mean,time/total_timesteps,train/actor_loss,train/ent_coef,time/time_elapsed,train/critic_loss,time/fps,train/learning_rate,train/n_updates
4,1258.0,-164.77816772460938,-5.1034725,5032,-122.4584732055664,0.017879238352179527,126,1.1667263507843018,39,0.0008459126528049375,4931
8,1258.0,-94.71968841552734,-3.8923868750000006,10064,-128.98086547851562,0.0013931796420365572,254,0.7470179796218872,39,0.0008459126528049375,9963
12,1258.0,-65.00630950927734,-3.2186046666666677,15096,-135.2677001953125,0.0009253405733034015,382,1.2804601192474365,39,0.0008459126528049375,14995
16,1258.0,21.368515014648438,-2.90219525,20128,-137.4947509765625,0.0006912015378475189,509,1.867849349975586,39,0.0008459126528049375,20027
20,1258.0,39.24940490722656,-2.6926499,25160,-139.01104736328125,0.0007600614335387945,4,1.6738001108169556,39,0.0008459126528049375,25059
24,1258.0,-22.08661651611328,-2.5632040833333334,30192,-139.38479614257812,0.0009241301449947059,154,2.1705923080444336,33,0.0008459126528049375,30091
28,1258.0,52.326866149902344,-2.4172165,35224,-141.3936309814453,0.0008245787466876209,305,2.1125550270080566,33,0.0008459126528049375,35123
32,1258.0,82.39797973632812,-2.31963925,40256,-143.4217071533203,0.000894729106221348,454,3.9363930225372314,33,0.0008459126528049375,40155
36,1258.0,20.741374969482422,-2.2534934166666662,45288,-145.61802673339844,0.0007656038505956531,612,2.2165169715881348,33,0.0008459126528049375,45187
40,1258.0,1.6352465152740479,-2.1953550749999997,50320,-143.4666748046875,0.0009347827872261405,10,2.795497179031372,31,0.0008459126528049375,50219
44,1258.0,112.95854949951172,-2.1324384090909088,55352,-147.9496612548828,0.0009554021526128054,160,3.3562026023864746,33,0.0008459126528049375,55251
48,1258.0,-39.68939971923828,-2.1002471041666664,60384,-144.74905395507812,0.0008667063666507602,294,5.1725358963012695,35,0.0008459126528049375,60283
52,1258.0,-64.27690887451172,-2.0664246346153847,65416,-148.75173950195312,0.0010171226458624005,429,7.546883583068848,35,0.0008459126528049375,65315
56,1258.0,-29.98894500732422,-2.0508593035714284,70448,-151.8839111328125,0.0010289393831044436,565,4.502355098724365,36,0.0008459126528049375,70347
60,1258.0,45.34882736206055,-2.0433685166666664,75480,-148.57749938964844,0.0010190655011683702,13,4.834785461425781,35,0.0008459126528049375,75379
64,1258.0,77.94966888427734,-2.0289047499999997,80512,-146.76370239257812,0.0010848153615370393,161,4.448897361755371,34,0.0008459126528049375,80411
68,1258.0,-36.84199142456055,-2.0029058970588234,85544,-144.15188598632812,0.0015799904940649867,311,4.752669334411621,33,0.0008459126528049375,85443
72,1258.0,-10.383750915527344,-1.9887932777777775,90576,-141.0076904296875,0.0008977569523267448,462,51.870113372802734,33,0.0008459126528049375,90475
76,1258.0,-26.052919387817383,-1.9564045131578944,95608,-137.34718322753906,0.0015015098033472896,612,23.735763549804688,33,0.0008459126528049375,95507
