time/episodes,rollout/ep_len_mean,train/ent_coef_loss,rollout/ep_rew_mean,time/total_timesteps,train/actor_loss,train/ent_coef,time/time_elapsed,train/critic_loss,time/fps,train/learning_rate,train/n_updates
4,1258.0,-169.9718475341797,-4.910130499999999,5032,-123.17121887207031,0.01735774241387844,130,1.3070087432861328,38,0.0008459126528049375,4931
8,1258.0,78.6915283203125,-3.8170201249999995,10064,-129.621337890625,0.0011521097039803863,264,1.7655450105667114,38,0.0008459126528049375,9963
12,1258.0,-5.4813385009765625,-3.1873278333333324,15096,-132.91104125976562,0.0010352407116442919,411,1.0579547882080078,36,0.0008459126528049375,14995
16,1258.0,89.43378448486328,-2.844432875,20128,-136.8812255859375,0.0008431309834122658,571,1.4594522714614868,35,0.0008459126528049375,20027
20,1258.0,53.70410919189453,-2.6281719999999997,25160,-140.487060546875,0.0012031672522425652,5,1.44063138961792,30,0.0008459126528049375,25059
24,1258.0,121.09315490722656,-2.511259791666667,30192,-144.31597900390625,0.0005067322636023164,172,4.2621846199035645,30,0.0008459126528049375,30091
28,1258.0,24.413291931152344,-2.3782251071428573,35224,-145.8001251220703,0.0007701544091105461,338,3.946101665496826,30,0.0008459126528049375,35123
32,1258.0,-30.63391876220703,-2.2771984375,40256,-147.8244171142578,0.0009153510327450931,503,65.56559753417969,30,0.0008459126528049375,40155
36,1258.0,-47.56757354736328,-2.210847638888889,45288,-145.4875030517578,0.0006330080213956535,668,3.2945427894592285,30,0.0008459126528049375,45187
40,1258.0,12.072349548339844,-2.15804465,50320,-150.30606079101562,0.0008271088590845466,10,64.54671478271484,30,0.0008459126528049375,50219
44,1258.0,-24.584434509277344,-2.114426613636364,55352,-150.53211975097656,0.001244084443897009,176,4.1005120277404785,30,0.0008459126528049375,55251
48,1258.0,88.29862976074219,-2.0656232083333337,60384,-149.1207275390625,0.0005630648229271173,342,3.14158296585083,30,0.0008459126528049375,60283
52,1258.0,6.504715919494629,-2.0230232500000005,65416,-148.8839111328125,0.0012272029416635633,488,62.44194793701172,31,0.0008459126528049375,65315
56,1258.0,-34.37010192871094,-1.9782372321428574,70448,-150.27450561523438,0.0013393389526754618,631,4.608768463134766,32,0.0008459126528049375,70347
60,1258.0,20.27517318725586,-1.9444402500000002,75480,-151.03370666503906,0.0016247769817709923,14,4.062477111816406,33,0.0008459126528049375,75379
64,1258.0,-23.95119285583496,-1.9230808281249998,80512,-149.64874267578125,0.0012192673748359084,168,62.73542404174805,32,0.0008459126528049375,80411
68,1258.0,93.56549072265625,-1.8878481911764704,85544,-151.68226623535156,0.001405516522936523,323,4.3551435470581055,32,0.0008459126528049375,85443
72,1258.0,56.20619201660156,-1.8661105000000002,90576,-150.355224609375,0.0011103245196864009,478,3.589772939682007,32,0.0008459126528049375,90475
76,1258.0,35.90657424926758,-1.856323289473684,95608,-151.64981079101562,0.0017094975337386131,631,4.0332536697387695,32,0.0008459126528049375,95507
