rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/ent_coef,train/learning_rate,time/time_elapsed,train/n_updates,train/ent_coef_loss,train/critic_loss,time/fps,time/episodes,train/actor_loss
1258.0,5032,-4.21214125,0.017438113689422607,0.0008459126528049375,380,4931,-166.61611938476562,5.429093360900879,13,4,-123.99223327636719
1258.0,10064,-3.2158943750000004,0.0011641334276646376,0.0008459126528049375,770,9963,38.07886505126953,7.337785720825195,13,8,-130.66795349121094
1258.0,15096,-2.5900095000000003,0.0013834957499057055,0.0008459126528049375,1152,14995,-15.952751159667969,7.163445472717285,13,12,-122.56063079833984
1258.0,20128,-2.2746190625000002,0.0012994868448004127,0.0008459126528049375,1529,20027,12.799179077148438,6.701056957244873,13,16,-108.147705078125
1258.0,25160,-2.09722995,0.0007386786164715886,0.0008459126528049375,11,25059,83.63755798339844,3.44638729095459,13,20,-106.26990509033203
1258.0,30192,-2.007543875,0.0006676193443126976,0.0008459126528049375,381,30091,-80.35743713378906,7.7703070640563965,13,24,-99.38430786132812
1258.0,35224,-1.9431542857142858,0.00043240675586275756,0.0008459126528049375,755,35123,43.89057540893555,1.7536665201187134,13,28,-99.310791015625
1258.0,40256,-1.8787004999999999,0.0008380857179872692,0.0008459126528049375,1120,40155,-57.974365234375,2.779630184173584,13,32,-88.36219787597656
1258.0,45288,-1.8110580555555553,0.0006976242875680327,0.0008459126528049375,1492,45187,82.37769317626953,1.5415109395980835,13,36,-89.5652084350586
1258.0,50320,-1.7701060249999998,0.0009955965215340257,0.0008459126528049375,23,50219,75.1508560180664,2.340329647064209,13,40,-88.25135040283203
1258.0,55352,-1.7447399545454543,0.0008254473796114326,0.0008459126528049375,389,55251,-5.133171558380127,3.9904191493988037,13,44,-56.75142288208008
