train/ent_coef,train/critic_loss,rollout/ep_rew_mean,time/time_elapsed,train/actor_loss,rollout/ep_len_mean,time/episodes,train/learning_rate,train/n_updates,time/total_timesteps,train/ent_coef_loss,time/fps
0.019317492842674255,1.1579835414886475,-4.5403305,457,-123.65000915527344,1223.0,4,0.0008459126528049375,4791,4892,-152.5011749267578,10
0.0013876422308385372,3.1111021041870117,-3.604591,926,-127.32737731933594,1223.0,8,0.0008459126528049375,9683,9784,-41.91834259033203,10
0.0010664361761882901,10.619110107421875,-2.954022166666667,1387,-117.95148468017578,1223.0,12,0.0008459126528049375,14575,14676,-27.321624755859375,10
0.0008471423643641174,4.503270149230957,-2.610088125,1854,-109.96884155273438,1223.0,16,0.0008459126528049375,19467,19568,-26.383604049682617,10
0.0008429239969700575,3.660104274749756,-2.38870675,2323,-108.40442657470703,1223.0,20,0.0008459126528049375,24359,24460,22.001705169677734,10
0.00035660192952491343,2.840613842010498,-2.232519958333333,412,-108.50702667236328,1223.0,24,0.0008459126528049375,29251,29352,90.66975402832031,10
0.0003671472368296236,3.036288261413574,-2.140938857142857,877,-106.34117126464844,1223.0,28,0.0008459126528049375,34143,34244,90.20245361328125,10
0.0003627885307651013,0.5287902355194092,-2.043830125,1342,-105.62152862548828,1223.0,32,0.0008459126528049375,39035,39136,5.455411434173584,10
0.00037318814429454505,1.3375226259231567,-1.9919874166666665,1810,-87.96267700195312,1223.0,36,0.0008459126528049375,43927,44028,1.3252290487289429,10
0.000589051516726613,6.248066425323486,-1.9534004249999999,2279,-86.46903228759766,1223.0,40,0.0008459126528049375,48819,48920,108.67237854003906,10
0.0003451199154369533,2.8648736476898193,-1.927182545454545,370,-82.64570617675781,1223.0,44,0.0008459126528049375,53711,53812,0.9382120370864868,10
0.0005103159346617758,5.224156856536865,-1.8791359791666666,841,-81.15074157714844,1223.0,48,0.0008459126528049375,58603,58704,-38.090065002441406,10
0.000625612388830632,3.2104392051696777,-1.8446295384615385,1300,-78.73160552978516,1223.0,52,0.0008459126528049375,63495,63596,-11.288642883300781,10
0.0009547818917781115,18.602603912353516,-1.808518482142857,1761,-75.48466491699219,1223.0,56,0.0008459126528049375,68387,68488,-50.11963653564453,10
0.0011124814627692103,2.5285844802856445,-1.780091983333333,2221,-72.36536407470703,1223.0,60,0.0008459126528049375,73279,73380,74.11040496826172,10
0.00037838381831534207,3.569741725921631,-1.76215846875,314,-64.11338806152344,1223.0,64,0.0008459126528049375,78171,78272,-63.616973876953125,10
0.00044073216849938035,2.5525975227355957,-1.7255821176470587,789,-51.62540054321289,1223.0,68,0.0008459126528049375,83063,83164,-40.381500244140625,10
0.0003655136388260871,5.394680976867676,-1.704717263888889,1285,-50.035438537597656,1223.0,72,0.0008459126528049375,87955,88056,-67.16392517089844,10
0.0005425047129392624,1.480648398399353,-1.6886361184210525,1744,-47.70952606201172,1223.0,76,0.0008459126528049375,92847,92948,-4.136016845703125,10
