train/actor_loss,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/ent_coef,train/ent_coef_loss,time/episodes,train/learning_rate,rollout/ep_len_mean,train/n_updates,time/total_timesteps,train/critic_loss
-122.88268280029297,33,150,-4.3320375,0.017217399552464485,-175.57086181640625,4,0.0008459126528049375,1258.0,4931,5032,1.1149585247039795
-130.2325897216797,31,324,-3.42450425,0.0011603288585320115,50.337486267089844,8,0.0008459126528049375,1258.0,9963,10064,3.3859124183654785
-131.2891845703125,30,492,-2.7358508333333336,0.0009652615990489721,-51.97882843017578,12,0.0008459126528049375,1258.0,14995,15096,7.029045104980469
-130.95152282714844,30,654,-2.3923985625,0.0011573615483939648,18.530916213989258,16,0.0008459126528049375,1258.0,20027,20128,3.585494041442871
-130.32345581054688,33,4,-2.1808501,0.0005514103686437011,18.53741455078125,20,0.0008459126528049375,1258.0,25059,25160,6.848422050476074
-124.12007141113281,29,176,-2.058467,0.0006690234877169132,40.27100372314453,24,0.0008459126528049375,1258.0,30091,30192,8.294039726257324
-106.4096908569336,28,356,-1.9577542500000003,0.0012553639244288206,-5.762307167053223,28,0.0008459126528049375,1258.0,35123,35224,7.236446380615234
-104.56057739257812,28,532,-1.8650501562500001,0.0010021885391324759,-20.0089111328125,32,0.0008459126528049375,1258.0,40155,40256,2.4041314125061035
-101.6786117553711,29,694,-1.7966443055555557,0.0006323404377326369,34.65227127075195,36,0.0008459126528049375,1258.0,45187,45288,3.921726703643799
-97.67169952392578,33,9,-1.7569334250000002,0.000589260773267597,-20.579666137695312,40,0.0008459126528049375,1258.0,50219,50320,2.063429355621338
-94.11421966552734,31,168,-1.7115198636363635,0.0004777771537192166,15.47800064086914,44,0.0008459126528049375,1258.0,55251,55352,3.978656053543091
-82.44832611083984,29,354,-1.7006344166666665,0.0011116245295852423,4.279601097106934,48,0.0008459126528049375,1258.0,60283,60384,9.706875801086426
-75.37837219238281,30,512,-1.6728337115384613,0.001018259092234075,-30.336013793945312,52,0.0008459126528049375,1258.0,65315,65416,8.79643440246582
-67.80257415771484,30,677,-1.6479375,0.000940721423830837,-16.796142578125,56,0.0008459126528049375,1258.0,70347,70448,16.82925796508789
-57.36469268798828,28,17,-1.6278859333333338,0.0008424357511103153,-10.3493070602417,60,0.0008459126528049375,1258.0,75379,75480,12.769739151000977
-48.690677642822266,29,189,-1.5944364531250002,0.0017360266065225005,2.7555737495422363,64,0.0008459126528049375,1258.0,80411,80512,22.857887268066406
-30.82709503173828,29,356,-1.5688248823529412,0.001253315364010632,-26.259033203125,68,0.0008459126528049375,1258.0,85443,85544,10.905656814575195
-26.770565032958984,29,531,-1.551958361111111,0.000876926991622895,-6.478466033935547,72,0.0008459126528049375,1258.0,90475,90576,20.098796844482422
-4.835545539855957,29,700,-1.5356022763157895,0.0005485719884745777,21.678142547607422,76,0.0008459126528049375,1258.0,95507,95608,12.561838150024414
