train/learning_rate,train/ent_coef_loss,train/n_updates,time/episodes,train/actor_loss,train/critic_loss,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/ent_coef,time/fps,rollout/ep_rew_mean
0.0008459126528049375,-179.857421875,4791,4,-121.78430938720703,1.1811833381652832,223,4892,1223.0,0.019584501162171364,21,-4.1438292500000005
0.0008459126528049375,38.55712127685547,9683,8,-132.46363830566406,5.585553169250488,464,9784,1223.0,0.0011291037080809474,21,-3.266490625
0.0008459126528049375,-23.520875930786133,14575,12,-135.60340881347656,2.044098377227783,698,14676,1223.0,0.000873139186296612,20,-2.6004610833333333
0.0008459126528049375,15.484668731689453,19467,16,-121.16324615478516,4.346619129180908,934,19568,1223.0,0.0005992873921059072,20,-2.2802694375
0.0008459126528049375,-41.56257629394531,24359,20,-111.50848388671875,4.345781326293945,1167,24460,1223.0,0.00080975511809811,20,-2.1058879
0.0008459126528049375,-40.338558197021484,29251,24,-111.65779113769531,1.2025976181030273,209,29352,1223.0,0.0004036376776639372,20,-1.9709164999999997
0.0008459126528049375,-35.4725456237793,34143,28,-109.91390228271484,2.601292133331299,446,34244,1223.0,0.0004580671957228333,20,-1.8816734642857142
0.0008459126528049375,151.10360717773438,39035,32,-102.7998046875,2.992300510406494,680,39136,1223.0,0.0003733971097972244,20,-1.78960321875
0.0008459126528049375,79.88858032226562,43927,36,-99.78369903564453,1.8743510246276855,911,44028,1223.0,0.00022719890694133937,20,-1.7291218611111112
0.0008459126528049375,36.845829010009766,48819,40,-61.447975158691406,6.9304914474487305,1147,48920,1223.0,0.0009598612086847425,20,-1.6678603500000002
0.0008459126528049375,-38.18351364135742,53711,44,-54.97884750366211,3.1617369651794434,182,53812,1223.0,0.0005286819068714976,20,-1.6257931363636366
0.0008459126528049375,-116.87622833251953,58603,48,-41.208343505859375,4.1577653884887695,419,58704,1223.0,0.0003645955875981599,20,-1.585510958333333
0.0008459126528049375,66.33367156982422,63495,52,-34.42136764526367,4.4440226554870605,652,63596,1223.0,0.000589056289754808,20,-1.5465278461538463
0.0008459126528049375,1.6984193325042725,68387,56,-28.918502807617188,2.08300518989563,903,68488,1223.0,0.0004593257326632738,20,-1.5198291964285713
0.0008459126528049375,29.3759708404541,73279,60,-20.109222412109375,1.8345913887023926,1136,73380,1223.0,0.0005475786165334284,20,-1.4922502833333335
0.0008459126528049375,1.9624214172363281,78171,64,-16.702484130859375,0.9881939888000488,162,78272,1223.0,0.000309181195916608,20,-1.471812515625
0.0008459126528049375,-39.782752990722656,83063,68,-14.880234718322754,1.3060120344161987,412,83164,1223.0,0.0006313049234449863,19,-1.4730777499999999
0.0008459126528049375,-100.8406753540039,87955,72,-3.068782329559326,3.8111748695373535,649,88056,1223.0,0.0007725414470769465,20,-1.453523875
0.0008459126528049375,-65.04509735107422,92847,76,1.9169660806655884,2.0781097412109375,896,92948,1223.0,0.0005691400147043169,20,-1.4583625
0.0008459126528049375,-24.182964324951172,97739,80,4.168527126312256,1.8877089023590088,1144,97840,1223.0,0.00034552827128209174,19,-1.4546305375
