time/fps,train/critic_loss,train/n_updates,rollout/ep_len_mean,train/ent_coef_loss,time/episodes,rollout/ep_rew_mean,train/learning_rate,time/total_timesteps,train/ent_coef,time/time_elapsed,train/actor_loss
11,1.2127766609191895,4931,1258.0,-180.46466064453125,4,-4.37183925,0.0008459126528049375,5032,0.017107224091887474,425,-123.2486801147461
11,3.277194023132324,9963,1258.0,-59.82081604003906,8,-3.423087875,0.0008459126528049375,10064,0.0009599856566637754,867,-131.45578002929688
11,4.153087615966797,14995,1258.0,-23.602310180664062,12,-2.851315083333333,0.0008459126528049375,15096,0.0012265617260709405,1311,-133.6983642578125
11,7.0978827476501465,20027,1258.0,7.070969104766846,16,-2.5678571249999997,0.0008459126528049375,20128,0.0010133510222658515,1763,-136.5646209716797
11,14.758598327636719,25059,1258.0,54.33955383300781,20,-2.3894542999999997,0.0008459126528049375,25160,0.0007064890814945102,14,-133.9159393310547
11,8.735713958740234,30091,1258.0,-29.932209014892578,24,-2.2390596666666664,0.0008459126528049375,30192,0.001116860075853765,453,-115.27413940429688
11,11.506731033325195,35123,1258.0,-33.576271057128906,28,-2.1684278928571428,0.0008459126528049375,35224,0.0011438025394454598,901,-102.59687042236328
11,9.15924072265625,40155,1258.0,24.52817153930664,32,-2.08907034375,0.0008459126528049375,40256,0.0010026775998994708,1346,-99.77799987792969
11,8.047769546508789,45187,1258.0,16.686939239501953,36,-2.031048388888889,0.0008459126528049375,45288,0.000621807062998414,1775,-98.55225372314453
10,3.4882285594940186,50219,1258.0,55.621036529541016,40,-1.9780772,0.0008459126528049375,50320,0.0005011626635678113,29,-94.89403533935547
11,2.854494571685791,55251,1258.0,64.16938781738281,44,-1.9297323409090907,0.0008459126528049375,55352,0.0004833776911254972,474,-80.64897155761719
11,2.5323314666748047,60283,1258.0,28.192279815673828,48,-1.8900194166666668,0.0008459126528049375,60384,0.0004649143374990672,921,-77.3580551147461
11,7.610291481018066,65315,1258.0,25.175556182861328,52,-1.8360563846153848,0.0008459126528049375,65416,0.0009031545487232506,1374,-71.62706756591797
11,2.6257851123809814,70347,1258.0,-6.233072280883789,56,-1.7944446964285716,0.0008459126528049375,70448,0.000748292775824666,1824,-69.83592224121094
10,2.379845380783081,75379,1258.0,-35.863887786865234,60,-1.7774797166666665,0.0008459126528049375,75480,0.0007867555250413716,44,-66.76024627685547
10,3.98490309715271,80411,1258.0,-19.832786560058594,64,-1.743861265625,0.0008459126528049375,80512,0.0006805828306823969,515,-61.43752670288086
10,11.437272071838379,85443,1258.0,-58.66213607788086,68,-1.7205660147058826,0.0008459126528049375,85544,0.0007111920276656747,979,-55.3564567565918
10,5.331563949584961,90475,1258.0,-14.717178344726562,72,-1.7018145972222223,0.0008459126528049375,90576,0.0006277792272157967,1437,-53.523277282714844
