time/episodes,rollout/ep_rew_mean,train/learning_rate,train/ent_coef,train/actor_loss,rollout/ep_len_mean,train/ent_coef_loss,train/n_updates,train/critic_loss,time/total_timesteps,time/fps,time/time_elapsed
4,-4.445391,0.0008459126528049375,0.017358146607875824,-122.42990112304688,1258.0,-161.6318817138672,4931,2.905412435531616,5032,33,152
8,-3.450322125,0.0008459126528049375,0.0016019976465031505,-125.45487976074219,1258.0,35.9115104675293,9963,11.48404312133789,10064,32,307
12,-2.8415910833333338,0.0008459126528049375,0.0010165078565478325,-119.42857360839844,1258.0,2.0544118881225586,14995,20.44670295715332,15096,32,462
16,-2.521268375,0.0008459126528049375,0.0008199791191145778,-112.3333511352539,1258.0,18.893186569213867,20027,2.651455879211426,20128,32,618
20,-2.3298069499999996,0.0008459126528049375,0.0008322122739627957,-90.7620620727539,1258.0,16.93588638305664,25059,10.803375244140625,25160,32,4
24,-2.2119290833333336,0.0008459126528049375,0.0007046998362056911,-89.00194549560547,1258.0,77.9891357421875,30091,7.522214889526367,30192,32,160
28,-2.0979185714285715,0.0008459126528049375,0.0014880343805998564,-73.23986053466797,1258.0,-16.871849060058594,35123,7.615647792816162,35224,32,317
32,-2.085607125,0.0008459126528049375,0.0006345175206661224,-66.99983978271484,1258.0,-67.36103820800781,40155,1.8611688613891602,40256,32,473
36,-2.080848277777778,0.0008459126528049375,0.00014581222785636783,-61.90656280517578,1258.0,22.57357406616211,45187,1.8876066207885742,45288,33,608
40,-2.00839055,0.0008459126528049375,0.0005255882279016078,-59.40121841430664,1258.0,-60.144744873046875,50219,2.4108645915985107,50320,44,7
44,-1.962369863636364,0.0008459126528049375,0.0005252447444945574,-54.91221237182617,1258.0,92.51747131347656,55251,9.813100814819336,55352,44,121
48,-1.9186613333333333,0.0008459126528049375,0.000614601478446275,-49.68891525268555,1258.0,-36.01764678955078,60283,5.9940361976623535,60384,43,236
52,-1.881117076923077,0.0008459126528049375,0.0014864741824567318,-40.6185188293457,1258.0,-18.83631706237793,65315,3.7437262535095215,65416,42,358
56,-1.8425765714285716,0.0008459126528049375,0.0008613404934294522,-36.405303955078125,1258.0,30.75908088684082,70347,2.698899269104004,70448,39,517
60,-1.817435016666667,0.0008459126528049375,0.0006185747333802283,-32.07813262939453,1258.0,51.67721939086914,75379,38.243736267089844,75480,30,15
64,-1.787025875,0.0008459126528049375,0.0014501552795991302,-31.230741500854492,1258.0,-20.4957275390625,80411,2.528796672821045,80512,29,186
68,-1.7642561764705882,0.0008459126528049375,0.0008059826213866472,-20.308198928833008,1258.0,-26.2685546875,85443,50.34281921386719,85544,29,357
72,-1.7522596527777778,0.0008459126528049375,0.00128250103443861,-13.067182540893555,1258.0,-2.4082531929016113,90475,4.050146102905273,90576,29,529
