time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/clip_range,train/approx_kl,train/loss,train/clip_fraction,train/entropy_loss,train/n_updates,train/learning_rate,train/std,train/policy_gradient_loss,train/value_loss,train/explained_variance,rollout/ep_len_mean,rollout/ep_rew_mean
512,0,4004,1,,,,,,,,,,,,,
1024,0,1833,2,0.2,0.016872935,-0.04349318891763687,0.234619140625,-43.98580348491669,16,0.0004092704424510632,0.9996704459190369,-0.03013091736647766,0.18724080815445632,-0.640426516532898,,
1536,0,1573,3,0.2,0.015087917,-0.022408945485949516,0.2320556640625,-43.95310664176941,32,0.0004092704424510632,0.998134195804596,-0.02508973440853879,0.004074128963111434,-0.04817855358123779,1257.0,-2.398532
2048,1,1465,4,0.2,0.017710498,-0.03894182667136192,0.260498046875,-43.93361556529999,48,0.0004092704424510632,0.9990112781524658,-0.02820370052359067,0.01025393238523975,0.01532810926437378,1257.0,-2.398532
2560,1,1404,5,0.2,0.013931802,-0.015549076721072197,0.211181640625,-43.9498165845871,64,0.0004092704424510632,0.9985477328300476,-0.020802157057914883,0.0035557677838369273,-0.00042700767517089844,1257.0,-2.3807384999999996
3072,2,1368,6,0.2,0.017710425,-0.0328349769115448,0.2510986328125,-43.94128346443176,80,0.0004092704424510632,0.9990742206573486,-0.02627212810330093,0.0029145594126021024,0.0029047727584838867,1257.0,-2.3807384999999996
3584,2,1343,7,0.2,0.01639981,-0.04058319702744484,0.288818359375,-43.941338896751404,96,0.0004092704424510632,0.9978854656219482,-0.03316319332225248,0.0019761046896746848,0.014947056770324707,1257.0,-2.3807384999999996
4096,3,1324,8,0.2,0.016009197,-0.020469892770051956,0.205810546875,-43.88484811782837,112,0.0004092704424510632,0.9959340691566467,-0.023027524730423465,0.002812716509652091,-0.0029413700103759766,1257.0,-2.4025416666666666
4608,3,1309,9,0.2,0.02404822,-0.04116431623697281,0.3248291015625,-43.85064399242401,128,0.0004092704424510632,0.9959805607795715,-0.030490323551930487,0.00413888363254955,0.015231013298034668,1257.0,-2.4025416666666666
5120,3,1301,10,0.2,0.014532071,-0.03207407519221306,0.2667236328125,-43.84713625907898,144,0.0004092704424510632,0.9952805042266846,-0.02518174900615122,0.004029972726129927,0.004072248935699463,1257.0,-2.3669452499999997
5632,4,1292,11,0.2,0.01765806,-0.023595623672008514,0.277099609375,-43.80237543582916,160,0.0004092704424510632,0.9933090209960938,-0.024385190670727752,0.006264532668865286,0.006554663181304932,1257.0,-2.3669452499999997
6144,4,1285,12,0.2,0.015664667,-0.040014274418354034,0.2821044921875,-43.77258765697479,176,0.0004092704424510632,0.994065523147583,-0.030098709059529938,0.002487660098267952,0.01254129409790039,1257.0,-2.3669452499999997
