time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/clip_range,train/approx_kl,train/loss,train/clip_fraction,train/entropy_loss,train/n_updates,train/learning_rate,train/std,train/policy_gradient_loss,train/value_loss,train/explained_variance,rollout/ep_len_mean,rollout/ep_rew_mean
12288,9,1240,24,0.2,0.021283653,-0.003196120262145996,0.28759765625,-43.877673268318176,368,0.0004092704424510632,0.9985698461532593,-0.02788273844635114,0.09467007755301893,0.002483546733856201,1257.0,-2.4666605555555554
12800,10,1239,25,0.2,0.01838555,-0.03502797707915306,0.222412109375,-43.92700695991516,384,0.0004092704424510632,0.9993447065353394,-0.025583611117326654,0.005702119124180172,-0.29590773582458496,1257.0,-2.4580574
13312,10,1238,26,0.2,0.024883691,-0.008120384067296982,0.266845703125,-43.90628433227539,400,0.0004092704424510632,0.9970280528068542,-0.029275650100316852,0.11088692676275969,0.0007874965667724609,1257.0,-2.4580574
13824,11,1238,27,0.2,0.01660787,-0.03929126635193825,0.2125244140625,-43.832263469696045,416,0.0004092704424510632,0.9958803653717041,-0.024681022972799838,0.004929607239319012,-0.10641002655029297,1257.0,-2.4580574
14336,11,1238,28,0.2,0.018361492,-0.03366217389702797,0.2452392578125,-43.82089650630951,432,0.0004092704424510632,0.9956478476524353,-0.02751507272478193,0.0019364399940968724,0.001461029052734375,1257.0,-2.4525415454545456
14848,11,1238,29,0.2,0.026135476,-0.011521168053150177,0.2755126953125,-43.81089103221893,448,0.0004092704424510632,0.995548665523529,-0.019447858605417423,0.020706132127088495,0.0003733634948730469,1257.0,-2.4525415454545456
15360,12,1236,30,0.2,0.020824153,-0.053372710943222046,0.251953125,-43.81135308742523,464,0.0004092704424510632,0.9956442713737488,-0.03202149961725809,0.003790585382375866,-0.0018346309661865234,1257.0,-2.4486565
15872,12,1236,31,0.2,0.01723387,0.029572373256087303,0.1826171875,-43.7992969751358,480,0.0004092704424510632,0.9949657917022705,-0.019238674751250073,0.14034026791341603,0.0007203221321105957,1257.0,-2.4486565
16384,13,1236,32,0.2,0.018916357,-0.02863078936934471,0.2515869140625,-43.77429223060608,496,0.0004092704424510632,0.9944538474082947,-0.026422241993714124,0.0036765460754395463,-0.06020057201385498,1257.0,-2.4391274615384613
16896,13,1236,33,0.2,0.013029827,0.05033168941736221,0.17236328125,-43.75958824157715,512,0.0004092704424510632,0.9938333630561829,-0.019491715560434386,0.14007265958935022,-0.0009286403656005859,1257.0,-2.4391274615384613
17408,14,1236,34,0.2,0.022007074,-0.022799016907811165,0.2515869140625,-43.72260940074921,528,0.0004092704424510632,0.9924060702323914,-0.024245738160971086,0.0026371649546490517,-0.40302491188049316,1257.0,-2.4391274615384613
17920,14,1235,35,0.2,0.014779959,-0.0196963120251894,0.17626953125,-43.68171453475952,544,0.0004092704424510632,0.9908866882324219,-0.01940604782430455,0.003915645866072737,2.3603439331054688e-05,1257.0,-2.4213412857142855
18432,14,1235,36,0.2,0.016513912,0.03607373684644699,0.19384765625,-43.66458487510681,560,0.0004092704424510632,0.9919108748435974,-0.019876493766787462,0.1519158435985446,0.0006552934646606445,1257.0,-2.4213412857142855
