time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/clip_range,train/approx_kl,train/loss,train/clip_fraction,train/entropy_loss,train/n_updates,train/learning_rate,train/std,train/policy_gradient_loss,train/value_loss,train/explained_variance,rollout/ep_len_mean,rollout/ep_rew_mean
512,0,3908,1,,,,,,,,,,,,,
1024,0,1847,2,0.2,0.017283633,-0.05213410407304764,0.2408447265625,-43.97277498245239,16,0.0004092704424510632,0.999204695224762,-0.03049643328995444,0.11543986033575493,-1.6131749153137207,,
1536,0,1567,3,0.2,0.016047888,-0.018919751048088074,0.1943359375,-43.95857584476471,32,0.0004092704424510632,0.9990618228912354,-0.019991972018033266,0.0037555841627181508,0.0028354525566101074,1257.0,-2.336222
2048,1,1462,4,0.2,0.017701823,-0.02351837232708931,0.278564453125,-43.950164437294006,48,0.0004092704424510632,0.9984860420227051,-0.030002019528183155,0.019724289886653423,-0.0037010908126831055,1257.0,-2.336222
2560,1,1403,5,0.2,0.012832258,-0.02386048436164856,0.203125,-43.92023503780365,64,0.0004092704424510632,0.9973530173301697,-0.01997148482769262,0.0034606579902174417,-0.0008062124252319336,1257.0,-2.279625
3072,2,1364,6,0.2,0.013258384,-0.016077212989330292,0.218017578125,-43.8816796541214,80,0.0004092704424510632,0.9961976408958435,-0.023567070078570396,0.026302973099518567,-0.0015683174133300781,1257.0,-2.279625
3584,2,1341,7,0.2,0.01571196,-0.04509012773633003,0.23291015625,-43.852482080459595,96,0.0004092704424510632,0.9957133531570435,-0.02653692979947664,0.0025798271562962327,0.013991296291351318,1257.0,-2.279625
4096,3,1323,8,0.2,0.013721749,-0.02172023244202137,0.1954345703125,-43.84366512298584,112,0.0004092704424510632,0.9956894516944885,-0.020631793289794587,0.003173638520820532,0.005070149898529053,1257.0,-2.348914333333333
4608,3,1309,9,0.2,0.030869974,-0.021462487056851387,0.344970703125,-43.85059320926666,128,0.0004092704424510632,0.9963915348052979,-0.032288877919199876,0.03239354974357411,0.0029405951499938965,1257.0,-2.348914333333333
5120,3,1297,10,0.2,0.015994199,-0.037682127207517624,0.22412109375,-43.86201751232147,144,0.0004092704424510632,0.995901882648468,-0.02318200825538952,0.002698390806472162,-0.027750134468078613,1257.0,-2.3232497499999996
5632,4,1288,11,0.2,0.022751197,-0.014792006462812424,0.32666015625,-43.82784032821655,160,0.0004092704424510632,0.9941171407699585,-0.03082067013019696,0.04444502922706306,0.0003656148910522461,1257.0,-2.3232497499999996
6144,4,1282,12,0.2,0.014749475,-0.05092652142047882,0.25634765625,-43.757856249809265,176,0.0004092704424510632,0.9919844269752502,-0.0272398313973099,0.00210111737033003,-0.05817902088165283,1257.0,-2.3232497499999996
6656,5,1273,13,0.2,0.015351497,-0.025135857984423637,0.23681640625,-43.72252631187439,192,0.0004092704424510632,0.9922679662704468,-0.025332794553833082,0.0025319310116174165,0.012699782848358154,1257.0,-2.3565053999999996
7168,5,1267,14,0.2,0.01809548,-0.009546792134642601,0.26318359375,-43.74618697166443,208,0.0004092704424510632,0.9929617643356323,-0.025407743378309533,0.05421513458713889,0.0033625364303588867,1257.0,-2.3565053999999996
7680,6,1257,15,0.2,0.017212719,-0.035465069115161896,0.2523193359375,-43.73624920845032,224,0.0004092704424510632,0.9916856288909912,-0.02947313291952014,0.003135432561975904,-0.09862875938415527,1257.0,-2.365852
