train/n_updates,rollout/ep_rew_mean,train/actor_loss,time/total_timesteps,train/ent_coef_loss,time/time_elapsed,train/learning_rate,time/fps,time/episodes,train/critic_loss,train/ent_coef,rollout/ep_len_mean
4931,-5.477998,-121.21063232421875,5032,-173.1080780029297,432,0.0008459126528049375,11,4,0.7608838081359863,0.017341600731015205,1258.0
9963,-4.519122374999999,-128.35516357421875,10064,-23.389297485351562,881,0.0008459126528049375,11,8,4.283134460449219,0.0013748615747317672,1258.0
14995,-3.883492333333333,-131.4783477783203,15096,57.659584045410156,1331,0.0008459126528049375,11,12,3.565552234649658,0.0009779231622815132,1258.0
20027,-3.4372282500000004,-134.77256774902344,20128,1.499887228012085,1781,0.0008459126528049375,11,16,13.963438987731934,0.0007268059998750687,1258.0
25059,-3.2355769000000003,-137.65480041503906,25160,-55.456993103027344,14,0.0008459126528049375,11,20,3.2097854614257812,0.0011657415889203548,1258.0
30091,-3.1061962916666666,-140.4438018798828,30192,-6.53756046295166,470,0.0008459126528049375,11,24,5.473172664642334,0.0007750357035547495,1258.0
35123,-2.9934356071428576,-140.82777404785156,35224,76.36228942871094,927,0.0008459126528049375,11,28,3.733884572982788,0.000704179226886481,1258.0
40155,-2.9345514687499996,-139.2446746826172,40256,-40.60383605957031,1384,0.0008459126528049375,11,32,5.005378723144531,0.00035765007487498224,1258.0
45187,-2.9218236944444436,-121.5350341796875,45288,28.737194061279297,1845,0.0008459126528049375,10,36,8.077767372131348,0.0013487586984410882,1258.0
50219,-2.887785175,-119.18062591552734,50320,37.32344055175781,29,0.0008459126528049375,10,40,5.794548034667969,0.00059787422651425,1258.0
55251,-2.8257931590909084,-121.09684753417969,55352,-40.258094787597656,485,0.0008459126528049375,11,44,3.661057472229004,0.001091203885152936,1258.0
60283,-2.7984656041666667,-117.511962890625,60384,-61.952274322509766,938,0.0008459126528049375,11,48,4.9306488037109375,0.0009296637144871056,1258.0
65315,-2.756896326923077,-109.55709838867188,65416,-11.359756469726562,1396,0.0008459126528049375,11,52,3.8663759231567383,0.0008471645996905863,1258.0
70347,-2.7341437500000003,-102.70403289794922,70448,-47.1118278503418,1834,0.0008459126528049375,11,56,19.390705108642578,0.000998547999188304,1258.0
75379,-2.715203933333334,-90.38462829589844,75480,52.18088912963867,42,0.0008459126528049375,11,60,63.01823806762695,0.0007940873620100319,1258.0
80411,-2.68007415625,-76.70075988769531,80512,13.59488296508789,490,0.0008459126528049375,11,64,7.641823768615723,0.001632023835554719,1258.0
85443,-2.6765228970588235,-68.66958618164062,85544,27.916156768798828,937,0.0008459126528049375,11,68,2.4181323051452637,0.000820501649286598,1258.0
90475,-2.6782934444444444,-64.11497497558594,90576,27.22335433959961,1384,0.0008459126528049375,11,72,1.3569025993347168,0.0005278551834635437,1258.0
