time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/clip_range,train/approx_kl,train/loss,train/std,train/learning_rate,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean
512,3985,0,1,,,,,,,,,,,,,
1024,2491,0,2,16,-0.0342934790533036,-0.19180798530578613,0.1159469766280381,0.2947998046875,0.2,0.019525077,-0.03689354285597801,0.9985733032226562,0.0004092704424510632,-43.96602749824524,,
1536,2211,0,3,32,-0.026535370998317376,-0.0255202054977417,0.005406179050623905,0.227294921875,0.2,0.01880356,-0.0323231965303421,0.9990066885948181,0.0004092704424510632,-43.945167779922485,1257.0,-2.945332
2048,2102,0,4,48,-0.03525598513078876,-0.005371212959289551,0.01498219114728272,0.3245849609375,0.2,0.02718715,-0.0334571972489357,0.9972227811813354,0.0004092704424510632,-43.93361556529999,1257.0,-2.945332
2560,2047,1,5,64,-0.03392246246221475,0.03847748041152954,0.006140820914879441,0.36474609375,0.2,0.027012961,-0.03792649507522583,0.9978064298629761,0.0004092704424510632,-43.89484965801239,1257.0,-2.8353845
3072,2013,1,6,80,-0.027223231096286327,-0.0006861686706542969,0.027692074072547257,0.30810546875,0.2,0.021675922,-0.017065443098545074,0.9957594871520996,0.0004092704424510632,-43.89635097980499,1257.0,-2.8353845
3584,1985,1,7,96,-0.03865359103656374,0.02668309211730957,0.011152423947351053,0.358154296875,0.2,0.029664125,-0.03706827387213707,0.9934862852096558,0.0004092704424510632,-43.810991287231445,1257.0,-2.8353845
4096,1971,2,8,112,-0.026475642851437442,-0.017504572868347168,0.005979208508506417,0.2607421875,0.2,0.01521682,-0.030531911179423332,0.9921404719352722,0.0004092704424510632,-43.75568509101868,1257.0,-2.8845263333333335
4608,1946,2,9,128,-0.026269600086379796,0.0029030442237854004,0.06297405087389052,0.305419921875,0.2,0.020209884,-0.003925468772649765,0.9936754703521729,0.0004092704424510632,-43.753527760505676,1257.0,-2.8845263333333335
5120,1934,2,10,144,-0.03308251935231965,0.03218311071395874,0.002464496654283721,0.286865234375,0.2,0.016826604,-0.04327690228819847,0.9933934211730957,0.0004092704424510632,-43.783299803733826,1257.0,-2.950837
5632,1928,2,11,160,-0.02376891073072329,0.0065160393714904785,0.05907123477663845,0.287841796875,0.2,0.02214963,-0.00017449073493480682,0.9947038292884827,0.0004092704424510632,-43.78583288192749,1257.0,-2.950837
6144,1925,3,12,176,-0.03362424443184864,0.015467464923858643,0.008243237127317116,0.3402099609375,0.2,0.027303096,-0.03655265271663666,0.9955020546913147,0.0004092704424510632,-43.82524621486664,1257.0,-2.950837
6656,1916,3,13,192,-0.029353176767472178,-0.0038338899612426758,0.00536093016853556,0.2625732421875,0.2,0.019096978,-0.04391907528042793,0.995987057685852,0.0004092704424510632,-43.84335935115814,1257.0,-2.9178072
7168,1911,3,14,208,-0.029842316012945957,0.005686759948730469,0.09987291973084211,0.2547607421875,0.2,0.017251458,-0.008684657514095306,0.9969412088394165,0.0004092704424510632,-43.86162221431732,1257.0,-2.9178072
7680,1907,4,15,224,-0.02568288557813503,-1.0293726921081543,0.0037545937921095174,0.2362060546875,0.2,0.01205384,-0.033828623592853546,0.9973495602607727,0.0004092704424510632,-43.885621070861816,1257.0,-2.9426513333333335
8192,1904,4,16,240,-0.029765366401989013,0.022169888019561768,0.07772016478702426,0.2957763671875,0.2,0.021549918,-0.005455140024423599,1.000108242034912,0.0004092704424510632,-43.926838397979736,1257.0,-2.9426513333333335
8704,1899,4,17,256,-0.024857071868609637,0.017794907093048096,0.017010765412123874,0.261474609375,0.2,0.026521232,-0.029759535565972328,1.0001859664916992,0.0004092704424510632,-43.98789989948273,1257.0,-2.9426513333333335
9216,1898,4,18,272,-0.031121350766625255,0.008066356182098389,0.00530623863596702,0.2808837890625,0.2,0.0188138,-0.036015503108501434,1.0001791715621948,0.0004092704424510632,-43.9718804359436,1257.0,-2.964474
9728,1895,5,19,288,-0.028196144936373457,0.015321969985961914,0.12554862769320607,0.2921142578125,0.2,0.021254078,0.011388525366783142,1.0001717805862427,0.0004092704424510632,-43.98653197288513,1257.0,-2.964474
10240,1893,5,20,304,-0.025545541051542386,-0.7731670141220093,0.0041745298585738055,0.2449951171875,0.2,0.016948292,-0.032864656299352646,1.0004713535308838,0.0004092704424510632,-43.98261773586273,1257.0,-2.9638723750000002
10752,1883,5,21,320,-0.025784182216739282,0.11615580320358276,0.10422784835100174,0.2764892578125,0.2,0.017374266,0.03169025853276253,1.002110481262207,0.0004092704424510632,-44.010947465896606,1257.0,-2.9638723750000002
11264,1864,6,22,336,-0.02812807119335048,-0.03326714038848877,0.02182036856538616,0.2979736328125,0.2,0.020630043,-0.033429935574531555,1.003091812133789,0.0004092704424510632,-44.055620431900024,1257.0,-2.9638723750000002
11776,1859,6,23,352,-0.020870447100605816,-1.1771903038024902,0.005546693078940734,0.2232666015625,0.2,0.017289557,-0.025981180369853973,1.0036590099334717,0.0004092704424510632,-44.07667803764343,1257.0,-2.9631295555555557
12288,1854,6,24,368,-0.026930672116577625,0.03830617666244507,0.10536246793344617,0.3399658203125,0.2,0.023857538,-0.007524488493800163,1.003530740737915,0.0004092704424510632,-44.080812215805054,1257.0,-2.9631295555555557
12800,1852,6,25,384,-0.023479838942876086,-1.09531831741333,0.01231964395265095,0.1934814453125,0.2,0.012914899,-0.026907050982117653,1.004258394241333,0.0004092704424510632,-44.08855426311493,1257.0,-2.9766007
13312,1850,7,26,400,-0.031116824480704963,0.1756983995437622,0.09000497625675052,0.3260498046875,0.2,0.030836917,-0.006492123007774353,1.003931999206543,0.0004092704424510632,-44.10016322135925,1257.0,-2.9766007
13824,1846,7,27,416,-0.023750417807605118,0.44687825441360474,0.01882428422686644,0.2662353515625,0.2,0.018628975,-0.020678099244832993,1.0025074481964111,0.0004092704424510632,-44.07100260257721,1257.0,-2.9766007
14336,1843,7,28,432,-0.029128144669812173,0.3433040380477905,0.022014659363776445,0.245361328125,0.2,0.015768234,-0.038607701659202576,1.0015774965286255,0.0004092704424510632,-44.031670689582825,1257.0,-2.9634615454545457
14848,1843,8,29,448,-0.019039455946767703,0.244662344455719,0.02466213222942315,0.23828125,0.2,0.020120554,-0.023098234087228775,1.001380205154419,0.0004092704424510632,-44.01080107688904,1257.0,-2.9634615454545457
15360,1842,8,30,464,-0.02513404135243036,-0.6343182325363159,0.010503615587367676,0.2376708984375,0.2,0.015341239,-0.02743980661034584,1.0007972717285156,0.0004092704424510632,-43.99965238571167,1257.0,-2.966144666666667
15872,1841,8,31,480,-0.02827359107322991,0.18884098529815674,0.0865876020397991,0.2718505859375,0.2,0.026248552,-0.013129215687513351,1.0009225606918335,0.0004092704424510632,-43.983967542648315,1257.0,-2.966144666666667
16384,1839,8,32,496,-0.01943665638100356,0.35994094610214233,0.015458709967788309,0.2039794921875,0.2,0.016508814,-0.030231591314077377,1.0007948875427246,0.0004092704424510632,-43.98562753200531,1257.0,-2.9575290000000005
