time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/clip_range,train/approx_kl,train/loss,train/std,train/learning_rate,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean
512,4235,0,1,,,,,,,,,,,,,
1024,2681,0,2,16,-0.03598591001355089,-0.1947263479232788,0.19484403694514185,0.3348388671875,0.2,0.018491438,-0.038037676364183426,1.0002586841583252,0.0004092704424510632,-43.991172313690186,,
1536,2375,0,3,32,-0.02675454199197702,-0.063362717628479,0.005008177235140465,0.2646484375,0.2,0.017129203,-0.0362262986600399,0.9987960457801819,0.0004092704424510632,-43.974865317344666,1257.0,-2.836533
2048,2254,0,4,48,-0.02643307956168428,-0.003022909164428711,0.0033084022434195504,0.240478515625,0.2,0.015285861,-0.02895219251513481,0.9996154308319092,0.0004092704424510632,-43.95481014251709,1257.0,-2.836533
2560,2183,1,5,64,-0.027419383404776454,0.009499132633209229,0.005398816203523893,0.305908203125,0.2,0.018233236,-0.035824794322252274,1.0020356178283691,0.0004092704424510632,-44.007545709609985,1257.0,-2.8328645000000003
3072,2142,1,6,80,-0.033240462420508265,-0.0018055438995361328,0.012388313101837412,0.353759765625,0.2,0.032289527,-0.03974204882979393,1.0005991458892822,0.0004092704424510632,-44.0339115858078,1257.0,-2.8328645000000003
3584,2110,1,7,96,-0.030437766283284873,0.00523000955581665,0.013011557835852727,0.3011474609375,0.2,0.026025882,-0.02904134802520275,1.0000636577606201,0.0004092704424510632,-43.98764503002167,1257.0,-2.8328645000000003
4096,2088,1,8,112,-0.032166971286642365,-0.007228374481201172,0.006175040136440657,0.2860107421875,0.2,0.020410843,-0.0463964082300663,0.9985250234603882,0.0004092704424510632,-43.96509087085724,1257.0,-2.923904333333333
4608,2069,2,9,128,-0.026222734202747233,-0.0012167692184448242,0.033617822162341326,0.311767578125,0.2,0.024530105,-0.015243619680404663,0.997158408164978,0.0004092704424510632,-43.912941098213196,1257.0,-2.923904333333333
5120,2060,2,10,144,-0.029450119414832443,0.004852890968322754,0.002430069107504096,0.280029296875,0.2,0.022049146,-0.044506121426820755,0.9956406950950623,0.0004092704424510632,-43.87363386154175,1257.0,-2.912839
5632,2051,2,11,160,-0.02805303269997239,0.0016562342643737793,0.03534184698946774,0.2919921875,0.2,0.0253241,-0.020868666470050812,0.9950018525123596,0.0004092704424510632,-43.83280611038208,1257.0,-2.912839
6144,2043,3,12,176,-0.02347834879765287,-0.0001239776611328125,0.011682448122883216,0.24169921875,0.2,0.019555781,-0.026161957532167435,0.9965025782585144,0.0004092704424510632,-43.84228479862213,1257.0,-2.912839
6656,2030,3,13,192,-0.03186821221606806,-0.00793159008026123,0.005541328704566695,0.2930908203125,0.2,0.0243071,-0.04518618434667587,0.9968973994255066,0.0004092704424510632,-43.8806529045105,1257.0,-2.9342536
7168,2022,3,14,208,-0.02975686197169125,0.0010564923286437988,0.06066990166436881,0.2657470703125,0.2,0.01887396,-0.015116140246391296,0.9964364171028137,0.0004092704424510632,-43.877193212509155,1257.0,-2.9342536
7680,2014,3,15,224,-0.02446866947138915,-0.02174520492553711,0.004537267624982633,0.2452392578125,0.2,0.017402109,-0.049342602491378784,0.9985734820365906,0.0004092704424510632,-43.888909339904785,1257.0,-2.9223345
8192,2009,4,16,240,-0.029343617643462494,0.0007120966911315918,0.06368730426765978,0.26953125,0.2,0.02266445,-0.018636809661984444,1.000504732131958,0.0004092704424510632,-43.96070456504822,1257.0,-2.9223345
8704,2004,4,17,256,-0.0282147068210179,0.010158956050872803,0.012665110465604812,0.2276611328125,0.2,0.020822402,-0.03433867543935776,1.002511739730835,0.0004092704424510632,-44.0190190076828,1257.0,-2.9223345
9216,1999,4,18,272,-0.028349815518595278,-0.0020862817764282227,0.006542036586324684,0.2608642578125,0.2,0.023317598,-0.041295528411865234,1.0038256645202637,0.0004092704424510632,-44.0768666267395,1257.0,-2.951114857142857
9728,1995,4,19,288,-0.02481104276375845,0.0005374550819396973,0.09869467024691403,0.238525390625,0.2,0.022247858,0.010460566729307175,1.0026508569717407,0.0004092704424510632,-44.07842946052551,1257.0,-2.951114857142857
10240,1992,5,20,304,-0.021877343533560634,-0.23723876476287842,0.0034965069753525313,0.2020263671875,0.2,0.01842383,-0.028692027553915977,1.0015913248062134,0.0004092704424510632,-44.034722685813904,1257.0,-2.9561305
10752,1989,5,21,320,-0.026279315585270524,0.0023360848426818848,0.08518913330044597,0.27294921875,0.2,0.023916386,-0.0063652656972408295,0.9995402693748474,0.0004092704424510632,-43.99803125858307,1257.0,-2.9561305
11264,1988,5,22,336,-0.031848082930082455,0.0850454568862915,0.016484845953527838,0.2662353515625,0.2,0.027508287,-0.04070474952459335,0.996483325958252,0.0004092704424510632,-43.91326129436493,1257.0,-2.9561305
11776,1982,5,23,352,-0.024084228090941906,-0.03437399864196777,0.004325081310526002,0.197998046875,0.2,0.016492173,-0.027036471292376518,0.9962431192398071,0.0004092704424510632,-43.850011229515076,1257.0,-2.9447233333333336
12288,1980,6,24,368,-0.019973607544670813,0.0015543103218078613,0.12748125474900007,0.22021484375,0.2,0.019607946,0.03825276717543602,0.9953533411026001,0.0004092704424510632,-43.8478217124939,1257.0,-2.9447233333333336
12800,1979,6,25,384,-0.02752239111578092,-0.0539698600769043,0.005115470310556702,0.21826171875,0.2,0.017968878,-0.04512917995452881,0.993713915348053,0.0004092704424510632,-43.799171805381775,1257.0,-2.9510135
13312,1977,6,26,400,-0.02530960412696004,0.004153788089752197,0.12513759615831077,0.2469482421875,0.2,0.02080014,0.03960699588060379,0.9925577044487,0.0004092704424510632,-43.752187609672546,1257.0,-2.9510135
13824,1976,6,27,416,-0.021438247626065277,0.12280398607254028,0.014678629697300494,0.2252197265625,0.2,0.0228808,-0.02463003806769848,0.9929822683334351,0.0004092704424510632,-43.736445903778076,1257.0,-2.9510135
14336,1974,7,28,432,-0.02169575751759112,0.12817025184631348,0.007178834188380279,0.1641845703125,0.2,0.015525197,-0.033768877387046814,0.9942452311515808,0.0004092704424510632,-43.76560199260712,1257.0,-2.971453363636364
14848,1972,7,29,448,-0.023606788672623225,0.05597466230392456,0.03382659639464691,0.262451171875,0.2,0.028499626,-0.018646463751792908,0.9935665726661682,0.0004092704424510632,-43.7782518863678,1257.0,-2.971453363636364
