time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/clip_range,train/approx_kl,train/loss,train/std,train/learning_rate,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean
512,3982,0,1,,,,,,,,,,,,,
1024,2384,0,2,16,-0.028855500044301152,-0.23736846446990967,0.19671051393379457,0.2418212890625,0.2,0.013301309,-0.030387014150619507,1.0014616250991821,0.0004092704424510632,-44.01459002494812,,
1536,2172,0,3,32,-0.032292858930304646,0.014068424701690674,0.005190452626266051,0.2696533203125,0.2,0.020412361,-0.03427642583847046,0.9986376762390137,0.0004092704424510632,-43.997429966926575,1257.0,-3.056721
2048,2081,0,4,48,-0.021468013641424477,0.014574229717254639,0.005921665011555888,0.239990234375,0.2,0.015779845,-0.02505389414727688,0.9968058466911316,0.0004092704424510632,-43.907817363739014,1257.0,-3.056721
2560,2043,1,5,64,-0.02899094222811982,-0.000701904296875,0.006779805495170876,0.3814697265625,0.2,0.031370416,-0.040865737944841385,0.9971076250076294,0.0004092704424510632,-43.88964140415192,1257.0,-3.0121
3072,2009,1,6,80,-0.020848008687607944,0.018074214458465576,0.00394381390651688,0.220703125,0.2,0.01586031,-0.036340612918138504,0.9958491325378418,0.0004092704424510632,-43.87887620925903,1257.0,-3.0121
3584,1966,1,7,96,-0.03132033656584099,0.003143131732940674,0.012585890828631818,0.3280029296875,0.2,0.02714888,-0.04134127125144005,0.9952375292778015,0.0004092704424510632,-43.841702580451965,1257.0,-3.0121
4096,1934,2,8,112,-0.034117302304366603,0.0010228157043457031,0.006934704986633733,0.2911376953125,0.2,0.018028263,-0.03651701658964157,0.9963525533676147,0.0004092704424510632,-43.84950935840607,1257.0,-3.050561666666667
4608,1910,2,9,128,-0.022519818565342575,-0.002623438835144043,0.01541846664622426,0.2774658203125,0.2,0.020500673,-0.027813829481601715,0.9947410225868225,0.0004092704424510632,-43.850234031677246,1257.0,-3.050561666666667
5120,1886,2,10,144,-0.03175795434799511,0.017319202423095703,0.002273465444886824,0.2838134765625,0.2,0.018557511,-0.035181958228349686,0.9934960603713989,0.0004092704424510632,-43.79847717285156,1257.0,-3.087969
5632,1873,3,11,160,-0.026533020092756487,-0.001784205436706543,0.016006220364943147,0.2630615234375,0.2,0.017718757,-0.025411836802959442,0.9902408719062805,0.0004092704424510632,-43.7365003824234,1257.0,-3.087969
6144,1863,3,12,176,-0.027899653374333866,-0.022229552268981934,0.011201402638107538,0.26953125,0.2,0.019970125,-0.03153826296329498,0.9891543388366699,0.0004092704424510632,-43.65225827693939,1257.0,-3.087969
6656,1858,3,13,192,-0.025208930193912238,-0.0010197162628173828,0.004883676672761794,0.2432861328125,0.2,0.01564158,-0.032331328839063644,0.9880194067955017,0.0004092704424510632,-43.62308704853058,1257.0,-3.097325
7168,1854,3,14,208,-0.02955103157000849,-0.00010395050048828125,0.04660460620652884,0.283203125,0.2,0.019611428,-0.026408057659864426,0.9868821501731873,0.0004092704424510632,-43.58399975299835,1257.0,-3.097325
7680,1851,4,15,224,-0.03168687147262972,-0.0020312070846557617,0.004444198057171889,0.293701171875,0.2,0.024344932,-0.04566853493452072,0.9881614446640015,0.0004092704424510632,-43.58078587055206,1257.0,-3.079540833333333
8192,1849,4,16,240,-0.029833207896444947,8.654594421386719e-05,0.047254175995476544,0.3079833984375,0.2,0.027591402,-0.010116320103406906,0.9860231280326843,0.0004092704424510632,-43.58494257926941,1257.0,-3.079540833333333
8704,1851,4,17,256,-0.025497721857391298,0.00899583101272583,0.014854418492177501,0.2791748046875,0.2,0.01957564,-0.028048982843756676,0.9868599772453308,0.0004092704424510632,-43.539641976356506,1257.0,-3.079540833333333
9216,1852,4,18,272,-0.026034558395622298,-0.00035762786865234375,0.0064466402982361615,0.2325439453125,0.2,0.016129155,-0.03871975094079971,0.986295223236084,0.0004092704424510632,-43.56422257423401,1257.0,-3.0724704285714286
9728,1850,5,19,288,-0.0239294764760416,0.0002639293670654297,0.08492912875954062,0.2469482421875,0.2,0.022692453,0.007560838013887405,0.9846885204315186,0.0004092704424510632,-43.52725446224213,1257.0,-3.0724704285714286
10240,1850,5,20,304,-0.031782369362190366,-0.0016720294952392578,0.004366606925032102,0.28955078125,0.2,0.023096379,-0.04299372807145119,0.9813172221183777,0.0004092704424510632,-43.45080292224884,1257.0,-3.027577
10752,1840,5,21,320,-0.02971281556528993,0.000425875186920166,0.08144051872659475,0.31298828125,0.2,0.029922348,-0.00325065478682518,0.9796440005302429,0.0004092704424510632,-43.35440468788147,1257.0,-3.027577
11264,1835,6,22,336,-0.026345706690335646,-0.0006204843521118164,0.008495482776197605,0.2825927734375,0.2,0.026128486,-0.032044168561697006,0.9797309041023254,0.0004092704424510632,-43.33618438243866,1257.0,-3.027577
11776,1829,6,23,352,-0.027256589601165615,0.00043135881423950195,0.006411834503524005,0.222900390625,0.2,0.014456609,-0.034850843250751495,0.9818853735923767,0.0004092704424510632,-43.36764872074127,1257.0,-3.024974444444444
12288,1826,6,24,368,-0.022545665480720345,0.0007759928703308105,0.12696665013208985,0.23681640625,0.2,0.02166068,0.02328784391283989,0.9833906292915344,0.0004092704424510632,-43.43129110336304,1257.0,-3.024974444444444
12800,1825,7,25,384,-0.02777252440864686,-0.005856990814208984,0.004343864267866593,0.2623291015625,0.2,0.020880673,-0.03792494535446167,0.9825342297554016,0.0004092704424510632,-43.44256401062012,1257.0,-3.0243453
13312,1824,7,26,400,-0.027642169166938402,0.0009183287620544434,0.12781725893728435,0.271240234375,0.2,0.02269266,0.028972387313842773,0.9811962246894836,0.0004092704424510632,-43.404757142066956,1257.0,-3.0243453
13824,1823,7,27,416,-0.03133743567741476,0.04334467649459839,0.010476381023181602,0.3170166015625,0.2,0.034141414,-0.042330291122198105,0.9807526469230652,0.0004092704424510632,-43.372923851013184,1257.0,-3.0243453
14336,1824,7,28,432,-0.024667132129252423,-0.015857815742492676,0.005439952343294863,0.238037109375,0.2,0.0177764,-0.03773150220513344,0.9792287945747375,0.0004092704424510632,-43.34930920600891,1257.0,-3.0213089999999996
14848,1825,8,29,448,-0.021296171747962944,0.0030367374420166016,0.030237925820983946,0.2822265625,0.2,0.033864394,-0.004381351172924042,0.9799314141273499,0.0004092704424510632,-43.326279282569885,1257.0,-3.0213089999999996
15360,1826,8,30,464,-0.019804969560937025,0.004863739013671875,0.006051069489330985,0.1778564453125,0.2,0.01124128,-0.03483977168798447,0.9808558821678162,0.0004092704424510632,-43.356436133384705,1257.0,-3.02294875
15872,1824,8,31,480,-0.024625948834000155,0.001014411449432373,0.19288477627560496,0.2362060546875,0.2,0.0209922,0.06412728875875473,0.9807915091514587,0.0004092704424510632,-43.37075972557068,1257.0,-3.02294875
16384,1817,9,32,496,-0.02428302212501876,0.07571446895599365,0.009512602744507603,0.2650146484375,0.2,0.027929751,-0.02042536810040474,0.9811004996299744,0.0004092704424510632,-43.370917558670044,1257.0,-3.026766076923077
16896,1807,9,33,512,-0.02245941586443223,0.0031995773315429688,0.19999456219375134,0.2142333984375,0.2,0.021266758,0.0493771992623806,0.9797711372375488,0.0004092704424510632,-43.36098635196686,1257.0,-3.026766076923077
17408,1797,9,34,528,-0.025189987325575203,-0.0019396543502807617,0.01291844411753118,0.2608642578125,0.2,0.023589108,-0.021320700645446777,0.9791516065597534,0.0004092704424510632,-43.31650137901306,1257.0,-3.026766076923077
17920,1789,10,35,544,-0.029879799607442692,0.0036399364471435547,0.004527128592599183,0.2647705078125,0.2,0.019741729,-0.04461454972624779,0.9784637689590454,0.0004092704424510632,-43.30562424659729,1257.0,-3.006993428571429
18432,1781,10,36,560,-0.03053331424598582,0.0007395148277282715,0.22865781700238585,0.2913818359375,0.2,0.018302428,0.07857900857925415,0.9793389439582825,0.0004092704424510632,-43.29998743534088,1257.0,-3.006993428571429
18944,1771,10,37,576,-0.02555620251223445,-0.324745774269104,0.00204650933665107,0.2547607421875,0.2,0.017497385,-0.033943064510822296,0.9796602129936218,0.0004092704424510632,-43.32856249809265,1257.0,-2.989185866666667
19456,1763,11,38,592,-0.023717767762718722,0.005362749099731445,0.18796358117833734,0.2655029296875,0.2,0.02097259,0.05682051554322243,0.9789348840713501,0.0004092704424510632,-43.31921100616455,1257.0,-2.989185866666667
19968,1756,11,39,608,-0.027442362101282924,0.019533634185791016,0.01520496534067206,0.2806396484375,0.2,0.025503166,-0.03052464872598648,0.9797284603118896,0.0004092704424510632,-43.30956017971039,1257.0,-2.989185866666667
20480,1748,11,40,624,-0.027943814842728898,-0.0012682676315307617,0.004958520956279244,0.2369384765625,0.2,0.016060697,-0.027519822120666504,0.9793369174003601,0.0004092704424510632,-43.3258935213089,1257.0,-2.986696375
20992,1741,12,41,640,-0.02947014247183688,0.00018960237503051758,0.2411059527657926,0.2886962890625,0.2,0.023866244,0.09174374490976334,0.9782876372337341,0.0004092704424510632,-43.30035364627838,1257.0,-2.986696375
21504,1736,12,42,656,-0.03344691146048717,-0.07934725284576416,0.003899388524587266,0.3035888671875,0.2,0.024790805,-0.03361579775810242,0.9794023633003235,0.0004092704424510632,-43.293312788009644,1257.0,-2.9928151764705886
22016,1731,12,43,672,-0.023524988326244056,0.00010544061660766602,0.23083566362038255,0.2459716796875,0.2,0.019727156,0.0864386186003685,0.9785324335098267,0.0004092704424510632,-43.314634561538696,1257.0,-2.9928151764705886
22528,1726,13,44,688,-0.02079665863129776,0.000179290771484375,0.015421598218381405,0.2618408203125,0.2,0.017915841,-0.04057565703988075,0.9793477058410645,0.0004092704424510632,-43.30011475086212,1257.0,-2.9928151764705886
23040,1721,13,45,704,-0.02835404662619112,-0.00025975704193115234,0.005229980233707465,0.273193359375,0.2,0.014703225,-0.04168843477964401,0.9791426658630371,0.0004092704424510632,-43.32071769237518,1257.0,-2.9958585
23552,1715,13,46,720,-0.028697360830847174,0.00023698806762695312,0.2741264603100717,0.2950439453125,0.2,0.018341094,0.11416573822498322,0.9792103171348572,0.0004092704424510632,-43.31082212924957,1257.0,-2.9958585
24064,1711,14,47,736,-0.025716171905514784,-0.005013465881347656,0.005107265860715415,0.2379150390625,0.2,0.015493413,-0.04076205566525459,0.9788547158241272,0.0004092704424510632,-43.30925369262695,1257.0,-2.9935536315789477
24576,1708,14,48,752,-0.03138625479186885,0.0012461543083190918,0.2455137106589973,0.321044921875,0.2,0.032522827,0.07379745692014694,0.9779077768325806,0.0004092704424510632,-43.28334999084473,1257.0,-2.9935536315789477
25088,1704,14,49,768,-0.02580470303655602,0.03262495994567871,0.016943896131124347,0.2779541015625,0.2,0.025092196,-0.038102079182863235,0.9776325821876526,0.0004092704424510632,-43.25637245178223,1257.0,-2.9935536315789477
25600,1701,15,50,784,-0.026396410539746284,-0.0006502866744995117,0.005378325062338263,0.216552734375,0.2,0.013123586,-0.03245310112833977,0.9793959856033325,0.0004092704424510632,-43.27827799320221,1257.0,-2.9919254500000005
26112,1698,15,51,800,-0.023984747764188796,0.00032150745391845703,0.2989774406887591,0.313720703125,0.2,0.027771031,0.08048484474420547,0.9799678921699524,0.0004092704424510632,-43.32230496406555,1257.0,-2.9919254500000005
26624,1696,15,52,816,-0.021159490395803005,-0.1826796531677246,0.0054246229119598866,0.1844482421875,0.2,0.014542734,-0.02295251004397869,0.9793046712875366,0.0004092704424510632,-43.32139265537262,1257.0,-2.9938072857142863
27136,1690,16,53,832,-0.01920442990376614,0.0010614395141601562,0.2658378113992512,0.200439453125,0.2,0.01668469,0.07257212698459625,0.9784424304962158,0.0004092704424510632,-43.29644536972046,1257.0,-2.9938072857142863
27648,1687,16,54,848,-0.024910977750550956,0.17347848415374756,0.013687517057405785,0.3228759765625,0.2,0.023000486,-0.025051258504390717,0.9777989983558655,0.0004092704424510632,-43.26751089096069,1257.0,-2.9938072857142863
28160,1685,16,55,864,-0.03420823132182704,0.00722193717956543,0.0068916501477360725,0.3360595703125,0.2,0.022417385,-0.046226438134908676,0.9770809412002563,0.0004092704424510632,-43.25072252750397,1257.0,-2.9874110000000003
28672,1683,17,56,880,-0.019245585790486075,0.0028401613235473633,0.08422272221650928,0.316162109375,0.2,0.03928749,0.027041718363761902,0.9773595333099365,0.0004092704424510632,-43.23530638217926,1257.0,-2.9874110000000003
29184,1679,17,57,896,-0.03502189338905737,-0.5494681596755981,0.005587093481153715,0.3201904296875,0.2,0.01995181,-0.045769501477479935,0.9770554900169373,0.0004092704424510632,-43.24448359012604,1257.0,-2.991034608695652
29696,1676,17,58,912,-0.01813316710467916,0.0013948678970336914,0.30989143531769514,0.1900634765625,0.2,0.014676069,0.08271825313568115,0.9763877987861633,0.0004092704424510632,-43.225887417793274,1257.0,-2.991034608695652
30208,1674,18,59,928,-0.026467663410585374,0.046439945697784424,0.008478637610096484,0.3240966796875,0.2,0.027079476,-0.03035595454275608,0.976786196231842,0.0004092704424510632,-43.21472442150116,1257.0,-2.9885195833333333
30720,1672,18,60,944,-0.018897417408879846,0.00011456012725830078,0.345335035584867,0.2098388671875,0.2,0.01641038,0.15438134968280792,0.9772463440895081,0.0004092704424510632,-43.23112940788269,1257.0,-2.9885195833333333
31232,1671,18,61,960,-0.027944225585088134,-0.00032532215118408203,0.012703714135568589,0.2901611328125,0.2,0.028412543,-0.032689135521650314,0.9775027632713318,0.0004092704424510632,-43.23778033256531,1257.0,-2.9885195833333333
31744,1670,19,62,976,-0.02235970105539309,-0.0006598234176635742,0.00516173530195374,0.243896484375,0.2,0.021264713,-0.02684422954916954,0.9766438603401184,0.0004092704424510632,-43.23200511932373,1257.0,-2.98616468
32256,1669,19,63,992,-0.026221554522635415,0.00018268823623657227,0.38200896605849266,0.282470703125,0.2,0.021210924,0.15941575169563293,0.9760241508483887,0.0004092704424510632,-43.20319676399231,1257.0,-2.98616468
32768,1667,19,64,1008,-0.028387058759108186,-0.005696415901184082,0.00219230158290884,0.273193359375,0.2,0.018116897,-0.04162942245602608,0.976131021976471,0.0004092704424510632,-43.190377950668335,1257.0,-2.9877003076923074
