time/episodes,train/ent_coef,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/actor_loss,train/n_updates,train/learning_rate,train/ent_coef_loss,train/critic_loss
4,0.017283335328102112,460,5028,1257.0,-4.6562607499999995,10,-123.89529418945312,4927,0.0008459126528049375,-170.7295379638672,2.178208827972412
8,0.0013570742448791862,937,10056,1257.0,-3.5215877499999997,10,-128.81829833984375,9955,0.0008459126528049375,10.13931655883789,3.9566829204559326
12,0.001063631847500801,1425,15084,1257.0,-2.986282083333333,10,-130.75494384765625,14983,0.0008459126528049375,55.875938415527344,5.433215141296387
16,0.0014913837658241391,1894,20112,1257.0,-2.674507125,10,-112.00222778320312,20011,0.0008459126528049375,140.07159423828125,11.219963073730469
20,0.0011246738722547889,12,25140,1257.0,-2.46965395,10,-92.77516174316406,25039,0.0008459126528049375,-70.15933227539062,7.908980369567871
24,0.0006017907289788127,473,30168,1257.0,-2.3294797499999995,10,-88.54589080810547,30067,0.0008459126528049375,22.679195404052734,3.5554380416870117
28,0.0008513526408933103,932,35196,1257.0,-2.2345373571428566,10,-86.89160919189453,35095,0.0008459126528049375,4.456531524658203,1.3778679370880127
32,0.0007875876617617905,1390,40224,1257.0,-2.1743266875,10,-68.52783966064453,40123,0.0008459126528049375,-34.48600769042969,1.5838297605514526
36,0.0006582954665645957,1847,45252,1257.0,-2.1225213333333333,10,-55.86745071411133,45151,0.0008459126528049375,-22.99863052368164,0.9339922666549683
40,0.0005036233924329281,26,50280,1257.0,-2.0673739,10,-53.10493469238281,50179,0.0008459126528049375,17.725475311279297,2.3945953845977783
44,0.000589853385463357,499,55308,1257.0,-2.0385428409090913,10,-51.321937561035156,55207,0.0008459126528049375,15.777240753173828,1.728937029838562
48,0.0009266029228456318,979,60336,1257.0,-2.0048150208333335,10,-48.315982818603516,60235,0.0008459126528049375,-35.011268615722656,3.6538281440734863
52,0.0010891204001381993,1466,65364,1257.0,-1.95402325,10,-40.903404235839844,65263,0.0008459126528049375,11.090120315551758,20.089889526367188
56,0.0009919401491060853,1961,70392,1257.0,-1.9141969285714286,10,-24.628019332885742,70291,0.0008459126528049375,-20.275808334350586,3.099823474884033
60,0.0028627493884414434,42,75420,1257.0,-1.8665305,9,-15.682823181152344,75319,0.0008459126528049375,-14.874674797058105,21.858116149902344
64,0.001414066064171493,559,80448,1257.0,-1.86478921875,9,-5.483748435974121,80347,0.0008459126528049375,-25.972702026367188,3.337717056274414
68,0.0004762413736898452,1080,85476,1257.0,-1.861503882352941,9,1.6315655708312988,85375,0.0008459126528049375,-39.26347351074219,3.641695976257324
72,0.00047800983884371817,1600,90504,1257.0,-1.8462544027777779,9,4.260305404663086,90403,0.0008459126528049375,-28.66291618347168,1.4021620750427246
76,0.00017755918088369071,2119,95532,1257.0,-1.819493355263158,9,4.976555347442627,95431,0.0008459126528049375,-27.896080017089844,0.09802635759115219
