time/time_elapsed,time/total_timesteps,train/learning_rate,train/ent_coef_loss,train/actor_loss,time/episodes,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/ent_coef,train/critic_loss,train/n_updates
139,5032,0.0008459126528049375,-157.1226348876953,-122.88894653320312,4,-4.45619275,36,1258.0,0.01727285608649254,1.3006508350372314,4931
281,10064,0.0008459126528049375,58.850135803222656,-126.58600616455078,8,-3.5375799999999997,35,1258.0,0.0011768448166549206,2.2288055419921875,9963
422,15096,0.0008459126528049375,204.1565704345703,-134.0523223876953,12,-2.9803782499999993,35,1258.0,0.0010931366123259068,2.2291793823242188,14995
566,20128,0.0008459126528049375,1.9820737838745117,-137.4976806640625,16,-2.6744876875,35,1258.0,0.0006143336649984121,2.0884337425231934,20027
4,25160,0.0008459126528049375,-38.70376205444336,-138.45706176757812,20,-2.55685365,34,1258.0,0.000773199659306556,39.73356628417969,25059
151,30192,0.0008459126528049375,261.92919921875,-136.07989501953125,24,-2.435773666666667,34,1258.0,0.0003703583206515759,2.7814414501190186,30091
304,35224,0.0008459126528049375,18.3093318939209,-133.26156616210938,28,-2.3264700357142862,33,1258.0,0.0012942601460963488,4.0487871170043945,35123
486,40256,0.0008459126528049375,-29.150470733642578,-122.10842895507812,32,-2.24399178125,31,1258.0,0.0015375070506706834,2.9795479774475098,40155
669,45288,0.0008459126528049375,61.81008529663086,-110.4908218383789,36,-2.1881008055555555,30,1258.0,0.0016232761554419994,10.128866195678711,45187
11,50320,0.0008459126528049375,108.26406860351562,-95.85499572753906,40,-2.1608836499999997,27,1258.0,0.0009791316697373986,25.568832397460938,50219
193,55352,0.0008459126528049375,-22.013286590576172,-97.4573745727539,44,-2.128244727272727,27,1258.0,0.0008920414838939905,2.23983097076416,55251
374,60384,0.0008459126528049375,78.89456939697266,-94.97438049316406,48,-2.101795041666667,27,1258.0,0.0006499653100036085,12.197212219238281,60283
556,65416,0.0008459126528049375,-25.68712615966797,-85.55282592773438,52,-2.0786524038461542,27,1258.0,0.0008976050303317606,4.854681015014648,65315
737,70448,0.0008459126528049375,32.46430969238281,-89.3030776977539,56,-2.055683267857143,27,1258.0,0.0004505300603341311,1.8465869426727295,70347
18,75480,0.0008459126528049375,-18.180049896240234,-85.6352310180664,60,-2.0399292499999997,26,1258.0,0.00044276739936321974,2.237131118774414,75379
210,80512,0.0008459126528049375,44.04283905029297,-82.76617431640625,64,-2.0379569374999997,26,1258.0,0.0007712929509580135,19.396556854248047,80411
405,85544,0.0008459126528049375,27.119213104248047,-80.61254119873047,68,-2.0203815882352933,26,1258.0,0.0006713982438668609,2.8713722229003906,85443
601,90576,0.0008459126528049375,-10.10843276977539,-69.47026062011719,72,-2.003062375,25,1258.0,0.0009709979058243334,1.8493804931640625,90475
796,95608,0.0008459126528049375,-41.17241668701172,-56.393211364746094,76,-1.9892238684210524,25,1258.0,0.0008114267839118838,4.417516231536865,95507
