train/actor_loss,time/episodes,train/n_updates,time/fps,train/critic_loss,time/time_elapsed,rollout/ep_rew_mean,train/ent_coef,train/ent_coef_loss,rollout/ep_len_mean,time/total_timesteps,train/learning_rate
-122.42537689208984,4,4931,23,2.447025775909424,212,-4.907008750000001,0.017574245110154152,-166.4897918701172,1258.0,5032,0.0008459126528049375
-126.27747344970703,8,9963,23,4.639678955078125,429,-3.8701325,0.0009981952607631683,7.948419094085693,1258.0,10064,0.0008459126528049375
-126.86663818359375,12,14995,23,8.649170875549316,646,-3.126147000000001,0.0009836803656071424,1.3819525241851807,1258.0,15096,0.0008459126528049375
-127.63291931152344,16,20027,23,1.77013099193573,863,-2.7393338125,0.0010745205217972398,61.394020080566406,1258.0,20128,0.0008459126528049375
-123.01222229003906,20,25059,23,3.0924038887023926,6,-2.5375003499999997,0.0007442854694090784,-9.6632719039917,1258.0,25160,0.0008459126528049375
-122.0604248046875,24,30091,23,1.5885645151138306,222,-2.424541,0.0005866727442480624,91.7594223022461,1258.0,30192,0.0008459126528049375
-121.99207305908203,28,35123,23,5.260763168334961,442,-2.33008075,0.0008372948504984379,73.69805145263672,1258.0,35224,0.0008459126528049375
-118.9404525756836,32,40155,23,1.8792616128921509,660,-2.25105396875,0.0003948835073970258,-27.514564514160156,1258.0,40256,0.0008459126528049375
-113.56145477294922,36,45187,23,2.3376400470733643,877,-2.183091944444444,0.000243274393142201,-21.797182083129883,1258.0,45288,0.0008459126528049375
-112.23912048339844,40,50219,23,5.177065372467041,13,-2.124255975,0.00048117805272340775,-1.9491971731185913,1258.0,50320,0.0008459126528049375
-105.34712982177734,44,55251,21,3.8635988235473633,248,-2.083810568181818,0.0006416897522285581,4.873279571533203,1258.0,55352,0.0008459126528049375
-101.4815444946289,48,60283,21,1.6166260242462158,484,-2.046449645833333,0.0004123650724068284,67.42859649658203,1258.0,60384,0.0008459126528049375
-104.45008087158203,52,65315,21,3.2833218574523926,721,-2.0143390384615385,0.0006029348005540669,-30.672138214111328,1258.0,65416,0.0008459126528049375
-99.16903686523438,56,70347,21,2.3080081939697266,958,-1.9798510714285713,0.0006605707458220422,-6.632277011871338,1258.0,70448,0.0008459126528049375
-97.47169494628906,60,75379,20,3.329024314880371,23,-1.957575083333333,0.0011008867295458913,-4.603482723236084,1258.0,75480,0.0008459126528049375
-93.07230377197266,64,80411,19,8.65725326538086,283,-1.942434171875,0.0008002868271432817,6.6221418380737305,1258.0,80512,0.0008459126528049375
-95.6224594116211,68,85443,19,6.901395320892334,549,-1.9382724852941176,0.0011779721826314926,-22.91754913330078,1258.0,85544,0.0008459126528049375
-81.15984344482422,72,90475,19,23.94032096862793,801,-1.9201799444444443,0.001878235605545342,-12.62747859954834,1258.0,90576,0.0008459126528049375
-68.69404602050781,76,95507,19,8.592426300048828,1056,-1.901119986842105,0.0011182413436472416,-60.940486907958984,1258.0,95608,0.0008459126528049375
