train/n_updates,train/actor_loss,train/learning_rate,train/critic_loss,train/ent_coef_loss,train/ent_coef,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps
4931,-122.87525177001953,0.0008459126528049375,1.2634060382843018,-159.8636932373047,0.017551148310303688,4,75,1258.0,-5.09954625,5032,66
9963,-129.4131317138672,0.0008459126528049375,8.938084602355957,26.897506713867188,0.0008908691233955324,8,153,1258.0,-4.067387500000001,10064,65
14995,-131.02413940429688,0.0008459126528049375,2.7856264114379883,115.08622741699219,0.0005738371983170509,12,231,1258.0,-3.4197135833333334,15096,65
20027,-118.68017578125,0.0008459126528049375,4.26920223236084,-17.99622344970703,0.0010491879656910896,16,310,1258.0,-3.100481625,20128,64
25059,-106.12786865234375,0.0008459126528049375,3.320094108581543,-14.140714645385742,0.0008849421283230186,20,2,1258.0,-2.8679339500000003,25160,65
30091,-87.53753662109375,0.0008459126528049375,3.9689173698425293,36.529762268066406,0.0009236891637556255,24,79,1258.0,-2.6954077916666663,30192,65
35123,-82.83850860595703,0.0008459126528049375,1.4498201608657837,-66.56556701660156,0.0006111900438554585,28,156,1258.0,-2.581496142857143,35224,65
40155,-69.38824462890625,0.0008459126528049375,3.3997600078582764,-19.632722854614258,0.0006121198530308902,32,234,1258.0,-2.488692875,40256,65
45187,-54.26594924926758,0.0008459126528049375,2.1956851482391357,-30.994993209838867,0.0005281839985400438,36,312,1258.0,-2.417087333333333,45288,64
50219,-51.24079513549805,0.0008459126528049375,1.8263341188430786,30.978782653808594,0.0002865622809622437,40,4,1258.0,-2.36801835,50320,64
55251,-49.360843658447266,0.0008459126528049375,1.1688289642333984,-4.65924072265625,0.00034921354381367564,44,82,1258.0,-2.308382590909091,55352,65
60283,-43.99825668334961,0.0008459126528049375,1.3113231658935547,28.38062286376953,0.0002898445527534932,48,158,1258.0,-2.2619615625,60384,65
65315,-39.27780532836914,0.0008459126528049375,2.0720484256744385,-12.034791946411133,0.000133307054056786,52,233,1258.0,-2.2262306538461534,65416,65
70347,-39.78544998168945,0.0008459126528049375,1.2507092952728271,-50.20026397705078,0.00015339934907387942,56,309,1258.0,-2.1917906785714285,70448,65
75379,-35.40726089477539,0.0008459126528049375,0.8857101798057556,-93.6371841430664,0.00025526664103381336,60,7,1258.0,-2.1473328166666668,75480,64
80411,-27.374435424804688,0.0008459126528049375,0.6189627647399902,6.936763286590576,0.0002991022483911365,64,87,1258.0,-2.110391140625,80512,62
85443,-25.78877830505371,0.0008459126528049375,1.9646024703979492,0.5605280995368958,0.0003148907271679491,68,168,1258.0,-2.0788027058823526,85544,62
90475,-22.319286346435547,0.0008459126528049375,5.164117813110352,-26.214876174926758,0.0004947071429342031,72,248,1258.0,-2.0542754999999997,90576,62
95507,-15.42123794555664,0.0008459126528049375,4.331482410430908,-12.839508056640625,0.0005461527616716921,76,329,1258.0,-2.0384878947368423,95608,62
