time/total_timesteps,train/ent_coef_loss,rollout/ep_len_mean,train/critic_loss,train/n_updates,rollout/ep_rew_mean,train/ent_coef,train/learning_rate,time/fps,time/time_elapsed,train/actor_loss,time/episodes
5032,-175.12554931640625,1258.0,4.990208625793457,4931,-4.203702,0.017201004549860954,0.0008459126528049375,22,223,-124.04060363769531,4
10064,-5.607056140899658,1258.0,4.827020168304443,9963,-3.26508675,0.001070275204256177,0.0008459126528049375,22,453,-130.2699432373047,8
15096,-51.245361328125,1258.0,7.239073753356934,14995,-2.5429344166666668,0.0006982322665862739,0.0008459126528049375,22,673,-134.916015625,12
20128,-34.42422103881836,1258.0,4.43467378616333,20027,-2.250819625,0.0007850916008464992,0.0008459126528049375,22,903,-137.47232055664062,16
25160,-55.743247985839844,1258.0,7.945826530456543,25059,-2.0515967,0.00142155890353024,0.0008459126528049375,21,7,-127.4483871459961,20
30192,-32.46942138671875,1258.0,5.654106616973877,30091,-1.9041336666666666,0.0011782209621742368,0.0008459126528049375,22,235,-119.41728973388672,24
35224,-104.92190551757812,1258.0,8.234821319580078,35123,-1.801057857142857,0.0018321673851460218,0.0008459126528049375,21,464,-110.36365509033203,28
40256,56.71946716308594,1258.0,6.356669902801514,40155,-1.7303870625000002,0.0005009700544178486,0.0008459126528049375,22,688,-101.24594116210938,32
45288,-36.75522232055664,1258.0,3.104851722717285,45187,-1.6629022777777778,0.00047126165009103715,0.0008459126528049375,21,929,-101.4929428100586,36
50320,-31.617664337158203,1258.0,2.446381092071533,50219,-1.6285224249999999,0.0005314670852385461,0.0008459126528049375,20,15,-95.08648681640625,40
55352,16.5513858795166,1258.0,9.042901992797852,55251,-1.6068657045454549,0.0005644186167046428,0.0008459126528049375,21,245,-82.5635986328125,44
60384,24.619089126586914,1258.0,3.3626489639282227,60283,-1.5733519791666666,0.0005966709577478468,0.0008459126528049375,21,476,-76.80460357666016,48
65416,-12.074763298034668,1258.0,10.798871994018555,65315,-1.5510567307692307,0.000777708541136235,0.0008459126528049375,21,713,-66.33081817626953,52
70448,-20.32126235961914,1258.0,9.820326805114746,70347,-1.5172436607142856,0.0009744780836626887,0.0008459126528049375,21,951,-65.04190063476562,56
75480,10.879080772399902,1258.0,2.8620104789733887,75379,-1.4835393000000001,0.001080679940059781,0.0008459126528049375,21,22,-52.82334518432617,60
80512,-16.343490600585938,1258.0,12.762601852416992,80411,-1.470912703125,0.001861573662608862,0.0008459126528049375,19,285,-53.464622497558594,64
85544,45.661373138427734,1258.0,62.39625549316406,85443,-1.4481407647058824,0.001511600916273892,0.0008459126528049375,19,551,-49.204811096191406,68
90576,-28.309436798095703,1258.0,23.401905059814453,90475,-1.427607527777778,0.0009313506889156997,0.0008459126528049375,19,796,-39.406185150146484,72
95608,-2.423999309539795,1258.0,13.474841117858887,95507,-1.403724855263158,0.00337840523570776,0.0008459126528049375,19,1034,-34.51521301269531,76
