rollout/ep_len_mean,train/ent_coef,train/actor_loss,train/ent_coef_loss,rollout/ep_rew_mean,train/critic_loss,time/time_elapsed,time/total_timesteps,time/episodes,train/learning_rate,train/n_updates,time/fps
1258.0,0.016904346644878387,-121.49817657470703,-185.46009826660156,-4.363544,1.4850046634674072,468,5032,4,0.0008459126528049375,4931,10
1258.0,0.0009535283898003399,-129.88523864746094,-73.69523620605469,-3.231043,4.782489776611328,931,10064,8,0.0008459126528049375,9963,10
1258.0,0.001121704583056271,-128.50869750976562,1.383570671081543,-2.5136225833333334,5.858877182006836,1400,15096,12,0.0008459126528049375,14995,10
1258.0,0.000669082801323384,-123.66194152832031,27.48005485534668,-2.175949375,2.456970691680908,1867,20128,16,0.0008459126528049375,20027,10
1258.0,0.0019794940017163754,-114.65765380859375,37.413475036621094,-1.9247176,5.630034446716309,14,25160,20,0.0008459126528049375,25059,10
1258.0,0.0006924234330654144,-110.88475799560547,25.35138511657715,-1.7604791666666666,2.3002853393554688,480,30192,24,0.0008459126528049375,30091,10
1258.0,0.00048538390547037125,-111.58638000488281,-21.046003341674805,-1.6283890000000003,2.255108118057251,962,35224,28,0.0008459126528049375,35123,10
1258.0,0.0005730977864004672,-110.21998596191406,-8.579584121704102,-1.5474411562500001,1.106762409210205,1435,40256,32,0.0008459126528049375,40155,10
1258.0,0.0009055893169716001,-83.15489196777344,88.5743179321289,-1.4957883055555559,5.9173583984375,1900,45288,36,0.0008459126528049375,45187,10
1258.0,0.0008133054943755269,-78.07654571533203,20.48630142211914,-1.451433025,2.925086498260498,30,50320,40,0.0008459126528049375,50219,10
1258.0,0.0009105462813749909,-75.26814270019531,27.155067443847656,-1.3949293636363636,1.7756010293960571,491,55352,44,0.0008459126528049375,55251,10
1258.0,0.0008514635264873505,-72.98162841796875,12.133062362670898,-1.3663254583333335,9.734234809875488,956,60384,48,0.0008459126528049375,60283,10
1258.0,0.0006757400115020573,-73.15931701660156,7.694061756134033,-1.3405604615384616,9.39012622833252,1430,65416,52,0.0008459126528049375,65315,10
