time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/clip_fraction,train/learning_rate,train/explained_variance,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/loss,train/n_updates,train/value_loss,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
4007,512,1,0,,,,,,,,,,,,,
2256,1024,2,0,0.259521484375,0.0004092704424510632,-1.2586097717285156,0.021215405,-43.994261622428894,-0.03346105554373935,0.2,-0.03582765534520149,16,0.10318443849610048,1.0005745887756348,,
1971,1536,3,0,0.2467041015625,0.0004092704424510632,0.01320117712020874,0.019130906,-43.989561915397644,-0.02755862203775905,0.2,-0.031186304986476898,32,0.0023354200820904225,0.9993171095848083,-2.260347,1258.0
1855,2048,4,1,0.3154296875,0.0004092704424510632,0.004874289035797119,0.025179151,-43.925230979919434,-0.031804428552277386,0.2,-0.03446201980113983,48,0.009972306550480425,0.9966796636581421,-2.260347,1258.0
1797,2560,5,1,0.3189697265625,0.0004092704424510632,0.017904698848724365,0.017361347,-43.886093735694885,-0.030654149217298254,0.2,-0.046652715653181076,64,0.0023978464705578517,0.9977790117263794,-2.251286,1258.0
1755,3072,6,1,0.27734375,0.0004092704424510632,0.010173976421356201,0.017503984,-43.92295682430267,-0.027995749143883586,0.2,-0.0284745953977108,80,0.015714557230239734,0.99819415807724,-2.251286,1258.0
1727,3584,7,2,0.28369140625,0.0004092704424510632,-0.027555346488952637,0.01664098,-43.91051185131073,-0.027398526668548584,0.2,-0.03517816215753555,96,0.0014314384752651677,0.9969993829727173,-2.251286,1258.0
1710,4096,8,2,0.2254638671875,0.0004092704424510632,0.019631266593933105,0.014706275,-43.8719619512558,-0.020839598029851913,0.2,-0.02475067786872387,112,0.005933328051469289,0.9960389137268066,-2.2950146666666664,1258.0
1693,4608,9,2,0.2685546875,0.0004092704424510632,0.00480198860168457,0.016254608,-43.85938000679016,-0.029202597186667845,0.2,-0.03293068706989288,128,0.02331059449352324,0.9962608814239502,-2.2950146666666664,1258.0
1681,5120,10,3,0.3114013671875,0.0004092704424510632,0.017707645893096924,0.020853618,-43.8593932390213,-0.029451799593516625,0.2,-0.04071873426437378,144,0.0023237386412802152,0.995695173740387,-2.35336725,1258.0
1669,5632,11,3,0.2596435546875,0.0004092704424510632,0.005734860897064209,0.016983977,-43.82010078430176,-0.024985488562379032,0.2,-0.02317386493086815,160,0.03866482060402632,0.9937427639961243,-2.35336725,1258.0
1659,6144,12,3,0.2359619140625,0.0004092704424510632,0.07615584135055542,0.0136584435,-43.773664236068726,-0.023512830419349484,0.2,-0.025901488959789276,176,0.0013668444807990454,0.993454098701477,-2.35336725,1258.0
1651,6656,13,4,0.2657470703125,0.0004092704424510632,0.05008816719055176,0.01719436,-43.74911642074585,-0.027689827227732167,0.2,-0.04050704836845398,192,0.005514862190466374,0.9915194511413574,-2.3735052,1258.0
1641,7168,14,4,0.2230224609375,0.0004092704424510632,0.013384759426116943,0.015718253,-43.687957406044006,-0.0253386775002582,0.2,-0.020260989665985107,208,0.042124063707888126,0.9901429414749146,-2.3735052,1258.0
1633,7680,15,4,0.2911376953125,0.0004092704424510632,-0.12879586219787598,0.025273526,-43.637298822402954,-0.03117019817000255,0.2,-0.019975954666733742,224,0.003985501098213717,0.9882365465164185,-2.348466833333333,1258.0
1628,8192,16,5,0.255126953125,0.0004092704424510632,0.008439183235168457,0.022142826,-43.59190821647644,-0.02583250546013005,0.2,-0.0009759236127138138,240,0.05879992735572159,0.9873086214065552,-2.348466833333333,1258.0
1624,8704,17,5,0.2095947265625,0.0004092704424510632,-0.12572336196899414,0.020326877,-43.6129584312439,-0.023439879150828347,0.2,-0.04502801224589348,256,0.0023989701257960405,0.9902721047401428,-2.348466833333333,1258.0
1618,9216,18,5,0.2344970703125,0.0004092704424510632,0.02411717176437378,0.020788409,-43.69080185890198,-0.024935110443038866,0.2,-0.036180634051561356,272,0.006356069527100772,0.9912757277488708,-2.33878,1258.0
1614,9728,19,6,0.249267578125,0.0004092704424510632,0.009242236614227295,0.02295351,-43.67615008354187,-0.024061968360911123,0.2,-0.00903104618191719,288,0.06820354878436774,0.9894605875015259,-2.33878,1258.0
1612,10240,20,6,0.213134765625,0.0004092704424510632,-0.2037639617919922,0.01777557,-43.626975655555725,-0.0261631493922323,0.2,-0.03598412126302719,304,0.002854481390386354,0.9888116717338562,-2.34186425,1258.0
1610,10752,21,6,0.2388916015625,0.0004092704424510632,0.03432101011276245,0.018425029,-43.59813737869263,-0.023952538656885736,0.2,-0.008186385035514832,320,0.07449169747997075,0.9872472286224365,-2.34186425,1258.0
1609,11264,22,7,0.2025146484375,0.0004092704424510632,-1.8628158569335938,0.015815124,-43.55144143104553,-0.022818414567154832,0.2,-0.021687855944037437,336,0.0035368564113014145,0.9859026074409485,-2.34186425,1258.0
1608,11776,23,7,0.2901611328125,0.0004092704424510632,0.23203045129776,0.023029694,-43.50038158893585,-0.030688929982716218,0.2,-0.05143614113330841,352,0.005374886794015765,0.9841397404670715,-2.325651666666667,1258.0
1606,12288,24,7,0.307861328125,0.0004092704424510632,0.26216375827789307,0.032040183,-43.44888091087341,-0.029394404496997595,0.2,0.008465718477964401,368,0.08564400020986795,0.9827517867088318,-2.325651666666667,1258.0
1604,12800,25,7,0.187255859375,0.0004092704424510632,-3.1223201751708984,0.016545618,-43.40950548648834,-0.02178749597806018,0.2,-0.042080845683813095,384,0.011561135903320974,0.9814890623092651,-2.3122266,1258.0
1602,13312,26,8,0.2552490234375,0.0004092704424510632,0.032185494899749756,0.02940558,-43.39556288719177,-0.030698863323777914,0.2,-0.0017362050712108612,400,0.08976219897158444,0.9818537831306458,-2.3122266,1258.0
1601,13824,27,8,0.1942138671875,0.0004092704424510632,-0.7708635330200195,0.01373771,-43.39157521724701,-0.021894172939937562,0.2,-0.030739784240722656,416,0.003283793637820054,0.9810269474983215,-2.3122266,1258.0
1600,14336,28,8,0.2083740234375,0.0004092704424510632,0.39039134979248047,0.016141351,-43.361204624176025,-0.02573706689872779,0.2,-0.03230903670191765,432,0.0044930714793736115,0.9800543785095215,-2.3041040909090906,1258.0
1598,14848,29,9,0.3056640625,0.0004092704424510632,0.18608218431472778,0.041266106,-43.312952280044556,-0.025433412854908966,0.2,-0.013239802792668343,448,0.046928685856983066,0.9781129956245422,-2.3041040909090906,1258.0
1597,15360,30,9,0.20751953125,0.0004092704424510632,-3.2630844116210938,0.018677909,-43.24634397029877,-0.02241299717570655,0.2,-0.026733366772532463,464,0.005127724536578171,0.9752308130264282,-2.2949385833333333,1258.0
1595,15872,31,9,0.22607421875,0.0004092704424510632,0.019719064235687256,0.023530196,-43.17061400413513,-0.024070958723314106,0.2,0.016762875020503998,480,0.12578998692333698,0.9741144776344299,-2.2949385833333333,1258.0
1596,16384,32,10,0.2408447265625,0.0004092704424510632,-0.407741904258728,0.024986062,-43.171488523483276,-0.028265032844501548,0.2,-0.04514175280928612,496,0.002572809738921933,0.9754161834716797,-2.2924344615384618,1258.0
1597,16896,33,10,0.199462890625,0.0004092704424510632,0.2248360514640808,0.020026734,-43.19359624385834,-0.02451959255267866,0.2,0.005458742380142212,512,0.11991615616716444,0.974873960018158,-2.2924344615384618,1258.0
1599,17408,34,10,0.1591796875,0.0004092704424510632,-1.0134882926940918,0.014531946,-43.17992687225342,-0.021016742473875638,0.2,-0.02818790264427662,528,0.010020484158303589,0.9754749536514282,-2.2924344615384618,1258.0
1602,17920,35,11,0.2117919921875,0.0004092704424510632,-0.005488872528076172,0.018317604,-43.193283677101135,-0.0259136549429968,0.2,-0.0313296765089035,544,0.0026384131706436165,0.9750258326530457,-2.285983714285714,1258.0
1604,18432,36,11,0.1976318359375,0.0004092704424510632,0.06417691707611084,0.018077403,-43.15982282161713,-0.021982843958539888,0.2,0.014291806146502495,560,0.13220369420014322,0.9743266105651855,-2.285983714285714,1258.0
1607,18944,37,11,0.2183837890625,0.0004092704424510632,-1.5319182872772217,0.02436696,-43.13542187213898,-0.0311551999184303,0.2,-0.0456419438123703,576,0.008506773505359888,0.9733765125274658,-2.2775328666666668,1258.0
1609,19456,38,12,0.15966796875,0.0004092704424510632,0.16828423738479614,0.021701843,-43.11052143573761,-0.023677776247495785,0.2,0.03676890209317207,592,0.1644981859717518,0.9729742407798767,-2.2775328666666668,1258.0
1612,19968,39,12,0.2235107421875,0.0004092704424510632,-1.4402227401733398,0.017145544,-43.089664578437805,-0.02781142278399784,0.2,-0.0378476157784462,608,0.002749527120613493,0.9718220829963684,-2.2775328666666668,1258.0
1614,20480,40,12,0.2103271484375,0.0004092704424510632,0.05559593439102173,0.018140167,-43.037052512168884,-0.021479542134329677,0.2,-0.026645397767424583,624,0.005082494921225589,0.969642162322998,-2.2727638750000003,1258.0
1616,20992,41,12,0.18310546875,0.0004092704424510632,0.06884229183197021,0.01982707,-42.991634011268616,-0.02224554234999232,0.2,0.030603602528572083,640,0.15393866272643209,0.9694828987121582,-2.2727638750000003,1258.0
1618,21504,42,13,0.1719970703125,0.0004092704424510632,-7.338583946228027,0.01248705,-42.981810450553894,-0.02070449703023769,0.2,-0.026727136224508286,656,0.006809868042182643,0.9685115814208984,-2.282845941176471,1258.0
1620,22016,43,13,0.2071533203125,0.0004092704424510632,0.07185029983520508,0.019866755,-42.937023997306824,-0.01922274348908104,0.2,0.036381326615810394,672,0.19789445749484003,0.9667547941207886,-2.282845941176471,1258.0
1622,22528,44,13,0.2760009765625,0.0004092704424510632,-4.879073143005371,0.023429662,-42.907397985458374,-0.030792468794970773,0.2,-0.04926810413599014,688,0.007313651680306066,0.966941773891449,-2.282845941176471,1258.0
