train/learning_rate,train/ent_coef,train/actor_loss,train/ent_coef_loss,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/n_updates,time/fps,train/critic_loss,time/episodes
0.0008459126528049375,0.01746753230690956,-121.02802276611328,-164.37307739257812,1258.0,-4.2236277499999995,398,5032,4931,12,1.6468908786773682,4
0.0008459126528049375,0.0011289491085335612,-123.28639221191406,15.301068305969238,1258.0,-3.1822758749999998,812,10064,9963,12,5.491235733032227,8
0.0008459126528049375,0.0009191150311380625,-117.76397705078125,26.848289489746094,1258.0,-2.5405510833333333,1231,15096,14995,12,65.12538146972656,12
0.0008459126528049375,0.0018907277844846249,-100.17450714111328,-89.3392562866211,1258.0,-2.1758691875,1649,20128,20027,12,15.446710586547852,16
0.0008459126528049375,0.0011457568034529686,-97.93962860107422,-36.36979293823242,1258.0,-1.9983867,13,25160,25059,11,3.5378360748291016,20
0.0008459126528049375,0.000730588159058243,-96.94142150878906,35.85724639892578,1258.0,-1.8205930416666665,441,30192,30091,11,1.9726066589355469,24
0.0008459126528049375,0.0009988642996177077,-90.15129852294922,-6.329890727996826,1258.0,-1.7199500357142854,872,35224,35123,11,1.8587443828582764,28
0.0008459126528049375,0.0007504277746193111,-86.29952239990234,-24.114036560058594,1258.0,-1.62112165625,1288,40256,40155,11,3.0260510444641113,32
0.0008459126528049375,0.0008062440319918096,-62.235252380371094,361.30419921875,1258.0,-1.556467611111111,1717,45288,45187,11,55.411216735839844,36
0.0008459126528049375,0.0013416202273219824,-52.69098663330078,-15.668624877929688,1258.0,-1.5236060249999999,27,50320,50219,11,3.7789876461029053,40
0.0008459126528049375,0.0006473097018897533,-45.5807991027832,-53.566959381103516,1258.0,-1.4924280454545455,460,55352,55251,11,5.786985397338867,44
0.0008459126528049375,0.0010184674756601453,-36.60831832885742,66.4175796508789,1258.0,-1.4634735624999997,883,60384,60283,11,8.045547485351562,48
0.0008459126528049375,0.0011813172604888678,-29.17037582397461,-3.1214406490325928,1258.0,-1.4296259999999998,1309,65416,65315,11,3.67881441116333,52
0.0008459126528049375,0.0014028075383976102,-30.983482360839844,-37.618778228759766,1258.0,-1.4043975,1738,70448,70347,11,77.22816467285156,56
0.0008459126528049375,0.0008177795680239797,-27.541818618774414,16.00412940979004,1258.0,-1.3826650333333332,39,75480,75379,12,4.177309989929199,60
0.0008459126528049375,0.000932923227082938,-18.480131149291992,9.553327560424805,1258.0,-1.367712796875,471,80512,80411,11,6.380534648895264,64
0.0008459126528049375,0.0006908341310918331,-13.247913360595703,-5.664689540863037,1258.0,-1.3685151764705883,917,85544,85443,11,12.055553436279297,68
0.0008459126528049375,0.0012280968949198723,-10.340385437011719,23.291358947753906,1258.0,-1.351846402777778,1357,90576,90475,11,13.893978118896484,72
