time/total_timesteps,time/time_elapsed,train/ent_coef_loss,rollout/ep_rew_mean,train/critic_loss,train/ent_coef,time/fps,time/episodes,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/actor_loss
4892,460,-147.8732147216797,-4.444217,1.1048200130462646,0.0194338858127594,10,4,1223.0,4791,0.0008459126528049375,-124.08182525634766
9784,940,-58.38220977783203,-3.4286232500000002,32.871559143066406,0.0011831105221062899,10,8,1223.0,9683,0.0008459126528049375,-129.723388671875
14676,1423,131.2082977294922,-2.715894666666667,81.17806243896484,0.0009774812497198582,10,12,1223.0,14575,0.0008459126528049375,-123.8119125366211
19568,1906,76.39212799072266,-2.3285586875,4.380857944488525,0.0009125662036240101,10,16,1223.0,19467,0.0008459126528049375,-119.72431945800781
24460,2377,63.86882781982422,-2.1161973,2.367971897125244,0.0007113161846064031,10,20,1223.0,24359,0.0008459126528049375,-115.07383728027344
29352,415,-11.123758316040039,-1.9763020416666668,2.1316375732421875,0.0005952274077571929,10,24,1223.0,29251,0.0008459126528049375,-108.99063110351562
34244,882,-26.688892364501953,-1.8444356785714286,2.540006160736084,0.000613293144851923,10,28,1223.0,34143,0.0008459126528049375,-107.25324249267578
39136,1349,28.9127197265625,-1.77558871875,8.219573974609375,0.0007243495201691985,10,32,1223.0,39035,0.0008459126528049375,-105.59199523925781
44028,1812,-105.2904281616211,-1.7271575277777778,4.9039506912231445,0.0004678719269577414,10,36,1223.0,43927,0.0008459126528049375,-82.8831558227539
48920,2278,70.88472747802734,-1.677055425,4.875622749328613,0.0007394595886580646,10,40,1223.0,48819,0.0008459126528049375,-60.79655838012695
53812,368,0.5220450162887573,-1.6356556136363638,3.772721290588379,0.0005652117542922497,10,44,1223.0,53711,0.0008459126528049375,-49.975059509277344
58704,839,14.547465324401855,-1.6015751875,2.34926438331604,0.0005934532964602113,10,48,1223.0,58603,0.0008459126528049375,-42.533241271972656
63596,1312,-40.99953079223633,-1.5847702499999998,5.646559238433838,0.0007453260477632284,10,52,1223.0,63495,0.0008459126528049375,-39.887657165527344
