rollout/ep_rew_mean,train/critic_loss,time/total_timesteps,time/time_elapsed,train/ent_coef,train/ent_coef_loss,time/fps,time/episodes,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/actor_loss
-4.643153,0.6870704889297485,5032,400,0.01748248003423214,-176.61868286132812,12,4,1258.0,4931,0.0008459126528049375,-123.67633056640625
-3.5420435,1.9790494441986084,10064,813,0.0011589984642341733,-69.33462524414062,12,8,1258.0,9963,0.0008459126528049375,-132.50743103027344
-3.0292160000000004,1.0474185943603516,15096,1243,0.0013183292467147112,-41.552215576171875,12,12,1258.0,14995,0.0008459126528049375,-136.51739501953125
-2.8226920625,1.6382365226745605,20128,1676,0.0010441710473969579,-32.62981414794922,12,16,1258.0,20027,0.0008459126528049375,-138.73159790039062
-2.60607395,2.6511974334716797,25160,14,0.0009234474273398519,-10.227385520935059,11,20,1258.0,25059,0.0008459126528049375,-144.9277801513672
-2.4871047083333333,1.6818791627883911,30192,453,0.0008565501193515956,87.605712890625,11,24,1258.0,30091,0.0008459126528049375,-146.2084503173828
-2.4401529642857143,1.743415117263794,35224,901,0.000771678111050278,-89.44458770751953,11,28,1258.0,35123,0.0008459126528049375,-148.29708862304688
-2.34793084375,3.232992649078369,40256,1349,0.0010414117714390159,44.2448844909668,11,32,1258.0,40155,0.0008459126528049375,-147.86790466308594
-2.28622075,5.5635881423950195,45288,1796,0.0008597004343755543,63.22606658935547,11,36,1258.0,45187,0.0008459126528049375,-150.7183380126953
-2.2565206,63.36689758300781,50320,27,0.0008758187759667635,-88.83392333984375,11,40,1258.0,50219,0.0008459126528049375,-147.88279724121094
-2.2561978863636365,65.24969482421875,55352,459,0.001084989751689136,7.262999057769775,11,44,1258.0,55251,0.0008459126528049375,-151.0637969970703
-2.256118625,4.19735050201416,60384,891,0.001450329553335905,-0.3929974436759949,11,48,1258.0,60283,0.0008459126528049375,-154.64707946777344
-2.2616572692307693,6.496834754943848,65416,1319,0.0013641876867040992,-39.42637634277344,11,52,1258.0,65315,0.0008459126528049375,-154.85052490234375
-2.2477633928571428,21.19878578186035,70448,1757,0.0016230610199272633,29.776077270507812,11,56,1258.0,70347,0.0008459126528049375,-154.1520233154297
-2.2320048166666666,4.197536945343018,75480,44,0.0014791421126574278,-16.393299102783203,10,60,1258.0,75379,0.0008459126528049375,-154.03302001953125
-2.2363409375,5.374317169189453,80512,499,0.0022522732615470886,-46.987403869628906,11,64,1258.0,80411,0.0008459126528049375,-159.58529663085938
-2.2576039558823533,3.4901528358459473,85544,968,0.0010258222464472055,18.321212768554688,10,68,1258.0,85443,0.0008459126528049375,-158.81442260742188
