rollout/ep_len_mean,time/time_elapsed,train/critic_loss,train/actor_loss,train/learning_rate,train/ent_coef_loss,time/fps,rollout/ep_rew_mean,train/n_updates,train/ent_coef,time/total_timesteps,time/episodes
1258.0,455,0.7002753019332886,-121.65595245361328,0.0008459126528049375,-177.406982421875,11,-4.55029075,4931,0.017472779378294945,5032,4
1258.0,914,2.0293188095092773,-128.91966247558594,0.0008459126528049375,-13.913324356079102,11,-3.5498902500000002,9963,0.0009527534712105989,10064,8
1258.0,1371,1.6500271558761597,-131.54672241210938,0.0008459126528049375,-4.014167308807373,11,-2.92261525,14995,0.0010419214377179742,15096,12
1258.0,1820,6.1225996017456055,-135.25369262695312,0.0008459126528049375,47.29345703125,11,-2.528946,20027,0.0011012211907655,20128,16
1258.0,14,3.2007226943969727,-136.77182006835938,0.0008459126528049375,-32.71895217895508,11,-2.32234385,25059,0.0010725456522777677,25160,20
1258.0,469,3.6470437049865723,-135.2914581298828,0.0008459126528049375,15.297830581665039,11,-2.2008387083333334,30091,0.001006247359327972,30192,24
1258.0,929,5.095292091369629,-130.69528198242188,0.0008459126528049375,51.98716354370117,10,-2.11215975,35123,0.0005546312313526869,35224,28
1258.0,1380,5.170157432556152,-129.85589599609375,0.0008459126528049375,56.2171516418457,11,-2.00923234375,40155,0.0006240636575967073,40256,32
1258.0,1833,23.344324111938477,-120.02851104736328,0.0008459126528049375,199.8385467529297,11,-1.9379261666666663,45187,0.0005029778112657368,45288,36
1258.0,28,19.25448989868164,-110.00264739990234,0.0008459126528049375,10.505160331726074,11,-1.8628363499999998,50219,0.0008691315306350589,50320,40
1258.0,481,14.147710800170898,-100.70158386230469,0.0008459126528049375,-40.88771057128906,11,-1.7983539318181818,55251,0.001159123843535781,55352,44
1258.0,934,7.227237701416016,-75.98148345947266,0.0008459126528049375,-36.935665130615234,11,-1.7560333125000003,60283,0.001858937437646091,60384,48
1258.0,1384,3.8720004558563232,-68.27940368652344,0.0008459126528049375,-31.00113296508789,11,-1.737069980769231,65315,0.0009709432488307357,65416,52
1258.0,1827,12.201896667480469,-69.56478881835938,0.0008459126528049375,-15.230669975280762,11,-1.7110940357142859,70347,0.000547938805539161,70448,56
1258.0,42,5.070627212524414,-66.3508071899414,0.0008459126528049375,41.890323638916016,11,-1.6844515833333336,75379,0.0004967888235114515,75480,60
1258.0,513,2.1619975566864014,-62.15879440307617,0.0008459126528049375,-36.622093200683594,10,-1.6563066718750001,80411,0.0005680785397998989,80512,64
1258.0,979,5.8152360916137695,-52.21931838989258,0.0008459126528049375,-32.48243713378906,10,-1.6349477500000003,85443,0.0006132691632956266,85544,68
1258.0,1430,12.992951393127441,-49.47087860107422,0.0008459126528049375,-34.29128646850586,10,-1.612964875,90475,0.0008152165682986379,90576,72
