time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/std,train/policy_gradient_loss,train/learning_rate,train/loss,train/clip_fraction,train/entropy_loss,train/explained_variance,train/approx_kl,train/value_loss,train/n_updates,train/clip_range,rollout/ep_rew_mean,rollout/ep_len_mean
1,512,0,3807,,,,,,,,,,,,,
2,1024,0,2198,1.0022624731063843,-0.022889991523697972,0.0004092704424510632,-0.03058331273496151,0.2001953125,-44.023608803749084,-1.6613078117370605,0.013521399,0.1401407547891722,16,0.2,,
3,1536,0,1900,1.0050764083862305,-0.0254747184808366,0.0004092704424510632,-0.03563772141933441,0.2216796875,-44.09808683395386,-0.0930478572845459,0.016181478,0.002669628767762333,32,0.2,-2.223716,1258.0
4,2048,1,1735,1.0051321983337402,-0.03538661799393594,0.0004092704424510632,-0.022377600893378258,0.33251953125,-44.151957750320435,-0.0049533843994140625,0.024553558,0.03794224903685972,48,0.2,-2.223716,1258.0
5,2560,1,1609,1.004372239112854,-0.030629110102381674,0.0004092704424510632,-0.04979754984378815,0.2889404296875,-44.13129699230194,0.07729244232177734,0.018279135,0.0026810662566276733,64,0.2,-2.329955,1258.0
6,3072,2,1508,1.0045055150985718,-0.025327428371383576,0.0004092704424510632,-0.006623132154345512,0.2685546875,-44.11963093280792,0.006999671459197998,0.020156074,0.05819445801898837,80,0.2,-2.329955,1258.0
7,3584,2,1500,1.0029782056808472,-0.030364114383701235,0.0004092704424510632,-0.03522944077849388,0.2720947265625,-44.10568332672119,0.04029226303100586,0.014803167,0.0013483327384165023,96,0.2,-2.329955,1258.0
8,4096,2,1497,1.0010236501693726,-0.032185975258471444,0.0004092704424510632,-0.04423808306455612,0.2928466796875,-44.0469833612442,0.13243204355239868,0.020674296,0.004263331618858501,112,0.2,-2.32678,1258.0
9,4608,3,1487,1.0001091957092285,-0.030666288977954537,0.0004092704424510632,-0.01409364864230156,0.30126953125,-43.9973121881485,0.010030806064605713,0.019219548,0.05427474249154329,128,0.2,-2.32678,1258.0
10,5120,3,1491,0.9993737936019897,-0.027630676020635292,0.0004092704424510632,-0.04869440197944641,0.260986328125,-43.972089529037476,0.15132832527160645,0.01987484,0.0023605832320754416,144,0.2,-2.36820525,1258.0
11,5632,3,1486,0.9986323714256287,-0.019894365905201994,0.0004092704424510632,-0.0018644127994775772,0.22216796875,-43.950077414512634,0.16784954071044922,0.01610082,0.0544946831651032,160,0.2,-2.36820525,1258.0
12,6144,4,1487,0.998234212398529,-0.022732754587195814,0.0004092704424510632,-0.03057199902832508,0.2210693359375,-43.92878973484039,0.025442183017730713,0.017887406,0.003939044032449601,176,0.2,-2.36820525,1258.0
13,6656,4,1484,0.9980840086936951,-0.025889007869409397,0.0004092704424510632,-0.04607284069061279,0.2396240234375,-43.92063117027283,0.029137790203094482,0.019017477,0.006109086723881774,192,0.2,-2.3532629999999997,1258.0
14,7168,4,1480,0.998823344707489,-0.02877860437729396,0.0004092704424510632,-0.015437304973602295,0.2562255859375,-43.9269323348999,0.059505999088287354,0.022593627,0.08300384203903377,208,0.2,-2.3532629999999997,1258.0
15,7680,5,1487,0.9967560172080994,-0.026058255505631678,0.0004092704424510632,-0.03364260122179985,0.2139892578125,-43.909053802490234,0.12518024444580078,0.0184993,0.004853789279877674,224,0.2,-2.323529333333333,1258.0
16,8192,5,1479,0.9940537214279175,-0.02542392646864755,0.0004092704424510632,-0.010922247543931007,0.2208251953125,-43.8317106962204,0.3274885416030884,0.018018674,0.05185915238689631,240,0.2,-2.323529333333333,1258.0
17,8704,5,1485,0.9956166744232178,-0.025021400579134934,0.0004092704424510632,-0.031127430498600006,0.197998046875,-43.800458669662476,-0.24393916130065918,0.016680032,0.005229205416981131,256,0.2,-2.323529333333333,1258.0
