time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/std,train/policy_gradient_loss,train/learning_rate,train/loss,train/clip_fraction,train/entropy_loss,train/explained_variance,train/approx_kl,train/value_loss,train/n_updates,train/clip_range,rollout/ep_rew_mean,rollout/ep_len_mean
1,512,0,3823,,,,,,,,,,,,,
2,1024,0,2218,1.0001591444015503,-0.02393938653403893,0.0004092704424510632,-0.03170986846089363,0.225830078125,-43.98674952983856,-2.1176230907440186,0.015353736,0.10971664556836913,16,0.2,,
3,1536,0,1854,1.0004990100860596,-0.026954302622471005,0.0004092704424510632,-0.026399683207273483,0.23828125,-43.99674880504608,-0.06359708309173584,0.017585494,0.002551307316025486,32,0.2,-2.290433,1258.0
4,2048,1,1708,0.9991692304611206,-0.036357115604914725,0.0004092704424510632,-0.029751120135188103,0.392333984375,-43.98624074459076,-0.005887866020202637,0.030368075,0.017180491355247796,48,0.2,-2.290433,1258.0
5,2560,1,1623,1.000059723854065,-0.030283910455182195,0.0004092704424510632,-0.04749599099159241,0.2763671875,-43.964171171188354,-0.020276665687561035,0.018030241,0.0027782961988123134,64,0.2,-2.315132,1258.0
6,3072,1,1622,0.9979462623596191,-0.02550568917649798,0.0004092704424510632,-0.02052956074476242,0.294921875,-43.9672794342041,0.008483469486236572,0.019883402,0.02188599540386349,80,0.2,-2.315132,1258.0
7,3584,2,1612,0.996078610420227,-0.02778572659008205,0.0004092704424510632,-0.039331331849098206,0.2562255859375,-43.884432911872864,0.034999966621398926,0.016346397,0.0013812201832479332,96,0.2,-2.315132,1258.0
8,4096,2,1611,0.9972097277641296,-0.030438429923378862,0.0004092704424510632,-0.03380381315946579,0.2938232421875,-43.87302911281586,0.00413823127746582,0.022568416,0.006306539929937571,112,0.2,-2.3589906666666667,1258.0
9,4608,2,1591,0.9986510276794434,-0.02548555377870798,0.0004092704424510632,-0.023242849856615067,0.2730712890625,-43.92081367969513,0.016884982585906982,0.016990365,0.027382094878703356,128,0.2,-2.3589906666666667,1258.0
10,5120,3,1577,1.0002813339233398,-0.02125858004001202,0.0004092704424510632,-0.02131338231265545,0.2216796875,-43.960431933403015,-0.046732425689697266,0.015370079,0.0024872594512999058,144,0.2,-2.3759947500000003,1258.0
11,5632,3,1558,1.0023622512817383,-0.02532273859833367,0.0004092704424510632,-0.0012031402438879013,0.30078125,-44.02365577220917,0.034769654273986816,0.020496527,0.040427150612231344,160,0.2,-2.3759947500000003,1258.0
12,6144,4,1527,1.0038496255874634,-0.027892484882613644,0.0004092704424510632,-0.04557402431964874,0.280029296875,-44.07905638217926,-0.0719139575958252,0.018842667,0.0016982797224045498,176,0.2,-2.3759947500000003,1258.0
13,6656,4,1491,1.0044797658920288,-0.036247578769689426,0.0004092704424510632,-0.048757657408714294,0.3701171875,-44.1091433763504,0.19970035552978516,0.03043311,0.005479907798871864,192,0.2,-2.3488672,1258.0
14,7168,4,1472,1.0056415796279907,-0.03378417732892558,0.0004092704424510632,-0.03388812765479088,0.2926025390625,-44.1327600479126,0.1220020055770874,0.021131886,0.04421477729920298,208,0.2,-2.3488672,1258.0
15,7680,5,1473,1.0063543319702148,-0.025764887453988194,0.0004092704424510632,-0.03392346203327179,0.2572021484375,-44.16976571083069,0.1808784008026123,0.02109702,0.005405433337728027,224,0.2,-2.363045,1258.0
16,8192,5,1453,1.0093870162963867,-0.030876437609549612,0.0004092704424510632,-0.022290419787168503,0.32177734375,-44.215492725372314,0.15941667556762695,0.030869687,0.044210227322764695,240,0.2,-2.363045,1258.0
17,8704,6,1433,1.0106112957000732,-0.026707876822911203,0.0004092704424510632,-0.03353140130639076,0.2220458984375,-44.29280889034271,-0.10674452781677246,0.018286362,0.0022452303346653935,256,0.2,-2.363045,1258.0
18,9216,6,1437,1.0108797550201416,-0.031627365831809584,0.0004092704424510632,-0.05525076016783714,0.298828125,-44.30989909172058,0.521906852722168,0.017640265,0.0043789174960693344,272,0.2,-2.3639445714285716,1258.0
19,9728,6,1438,1.0101525783538818,-0.02459168856148608,0.0004092704424510632,-0.012284991331398487,0.276123046875,-44.3013436794281,0.40419918298721313,0.021482527,0.033354916755342856,288,0.2,-2.3639445714285716,1258.0
20,10240,7,1446,1.0094640254974365,-0.02323109497956466,0.0004092704424510632,-0.030778121203184128,0.2431640625,-44.275779724121094,0.46245235204696655,0.016225422,0.004335043428000063,304,0.2,-2.380666375,1258.0
21,10752,7,1443,1.0105712413787842,-0.02661693826667033,0.0004092704424510632,-0.007451435551047325,0.2840576171875,-44.28095531463623,0.6020584106445312,0.023412636,0.04396644199732691,320,0.2,-2.380666375,1258.0
22,11264,7,1437,1.0094295740127563,-0.02392461057752371,0.0004092704424510632,-0.02906734123826027,0.2117919921875,-44.28764367103577,0.008777379989624023,0.0148077905,0.004941097446135245,336,0.2,-2.380666375,1258.0
23,11776,8,1443,1.007610559463501,-0.026775170030305162,0.0004092704424510632,-0.04499686136841774,0.264892578125,-44.23342847824097,0.4104955792427063,0.018145202,0.005892420347663574,352,0.2,-2.3925258888888887,1258.0
24,12288,8,1445,1.0060029029846191,-0.023182938050013036,0.0004092704424510632,-0.01370626874268055,0.2496337890625,-44.17706274986267,0.4702759385108948,0.023682583,0.03221569588640705,368,0.2,-2.3925258888888887,1258.0
