time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/std,train/policy_gradient_loss,train/learning_rate,train/loss,train/clip_fraction,train/entropy_loss,train/explained_variance,train/approx_kl,train/value_loss,train/n_updates,train/clip_range,rollout/ep_rew_mean,rollout/ep_len_mean
1,512,0,3754,,,,,,,,,,,,,
2,1024,0,2230,1.001329779624939,-0.03425327263539657,0.0004092704424510632,-0.0403638556599617,0.2989501953125,-44.012250900268555,-1.3128814697265625,0.020027496,0.16927009978098795,16,0.2,,
3,1536,0,1924,1.0012518167495728,-0.021845055307494476,0.0004092704424510632,-0.025131966918706894,0.2318115234375,-44.02548098564148,-0.017684578895568848,0.017203543,0.0031841968011576682,32,0.2,-2.421087,1258.0
4,2048,1,1804,1.0018771886825562,-0.026581790414638817,0.0004092704424510632,-0.030915778130292892,0.26171875,-44.02992630004883,-0.002019643783569336,0.016873859,0.013399299758020788,48,0.2,-2.421087,1258.0
5,2560,1,1708,1.0011887550354004,-0.030762031121412292,0.0004092704424510632,-0.03369828686118126,0.280517578125,-44.037620067596436,0.004896342754364014,0.021283932,0.0029159267178329173,64,0.2,-2.3427990000000003,1258.0
6,3072,1,1652,1.001900553703308,-0.024127299227984622,0.0004092704424510632,-0.03132060915231705,0.259765625,-44.026216983795166,0.015249311923980713,0.020943172,0.007673976506339386,80,0.2,-2.3427990000000003,1258.0
7,3584,2,1624,1.0016560554504395,-0.02555824982118793,0.0004092704424510632,-0.04239758476614952,0.26220703125,-44.04226338863373,-0.01925194263458252,0.01730653,0.0014741558989044279,96,0.2,-2.3427990000000003,1258.0
8,4096,2,1622,1.0035310983657837,-0.02814214551472105,0.0004092704424510632,-0.03784438595175743,0.2772216796875,-44.052396297454834,0.010137081146240234,0.021824505,0.006612723023863509,112,0.2,-2.347821666666667,1258.0
9,4608,2,1604,1.004210114479065,-0.03018980342312716,0.0004092704424510632,-0.04150627553462982,0.284423828125,-44.10728132724762,0.010660767555236816,0.020942163,0.0018868230799853336,128,0.2,-2.347821666666667,1258.0
10,5120,3,1598,1.0041851997375488,-0.032590692047961056,0.0004092704424510632,-0.0446508415043354,0.2684326171875,-44.11303091049194,-0.00028395652770996094,0.021958744,0.0022231936745811254,144,0.2,-2.3182270000000003,1258.0
11,5632,3,1585,1.0016471147537231,-0.028510339121567085,0.0004092704424510632,-0.039940573275089264,0.2454833984375,-44.07679617404938,0.010132312774658203,0.019035473,0.008999927202239633,160,0.2,-2.3182270000000003,1258.0
12,6144,3,1572,1.0013138055801392,-0.023173913767095655,0.0004092704424510632,-0.028616584837436676,0.198974609375,-44.02095556259155,0.003218352794647217,0.01682283,0.0014824434074398596,176,0.2,-2.3182270000000003,1258.0
13,6656,4,1573,1.0012869834899902,-0.023858674845541827,0.0004092704424510632,-0.044341061264276505,0.2276611328125,-44.01970839500427,0.040135324001312256,0.013792831,0.006105605425545946,192,0.2,-2.335658,1258.0
14,7168,4,1574,1.0010405778884888,-0.023642813015612774,0.0004092704424510632,-0.01544014923274517,0.2452392578125,-44.01485788822174,0.013347327709197998,0.017227892,0.010935718804830685,208,0.2,-2.335658,1258.0
15,7680,4,1562,1.0001740455627441,-0.023713092523394153,0.0004092704424510632,-0.032720375806093216,0.2252197265625,-43.99183714389801,0.027931272983551025,0.017839056,0.0020531105001282413,224,0.2,-2.3361826666666667,1258.0
16,8192,5,1560,0.9987967610359192,-0.028381917843944393,0.0004092704424510632,-0.0287507101893425,0.252685546875,-43.96492302417755,0.014804661273956299,0.025616419,0.018748991831671447,240,0.2,-2.3361826666666667,1258.0
17,8704,5,1561,0.9955592751502991,-0.02962082636076957,0.0004092704424510632,-0.036714524030685425,0.251220703125,-43.89168179035187,0.02586263418197632,0.019946951,0.0013236088052508421,256,0.2,-2.3361826666666667,1258.0
18,9216,5,1551,0.9933554530143738,-0.02952575052040629,0.0004092704424510632,-0.04686319828033447,0.24658203125,-43.7937958240509,0.10386979579925537,0.021777011,0.0064724321564426646,272,0.2,-2.3164045714285715,1258.0
19,9728,6,1553,0.9951123595237732,-0.021429033804452047,0.0004092704424510632,-0.023704688996076584,0.223876953125,-43.78802168369293,0.06725811958312988,0.024396487,0.02380289023858495,288,0.2,-2.3164045714285715,1258.0
20,10240,6,1549,0.9919975996017456,-0.03366696200100705,0.0004092704424510632,-0.04720563441514969,0.2752685546875,-43.78715968132019,0.40654683113098145,0.022954334,0.0025250520920963027,304,0.2,-2.320187375,1258.0
21,10752,6,1544,0.9903833866119385,-0.026490802178159356,0.0004092704424510632,-0.025306953117251396,0.2789306640625,-43.69321346282959,0.21425044536590576,0.017947948,0.02732817205833271,320,0.2,-2.320187375,1258.0
22,11264,7,1544,0.9909266829490662,-0.02490348377614282,0.0004092704424510632,-0.03767676651477814,0.2425537109375,-43.680001854896545,0.18732595443725586,0.015842818,0.002950765538116684,336,0.2,-2.320187375,1258.0
23,11776,7,1546,0.9907054305076599,-0.02105035647400655,0.0004092704424510632,-0.02507208101451397,0.2694091796875,-43.689051270484924,0.23850899934768677,0.030381236,0.005263375387585256,352,0.2,-2.3204892222222226,1258.0
24,12288,7,1548,0.9898021221160889,-0.03116546751698479,0.0004092704424510632,-0.042344480752944946,0.279541015625,-43.671414256095886,0.34834784269332886,0.02534473,0.022062891424866393,368,0.2,-2.3204892222222226,1258.0
25,12800,8,1539,0.9903310537338257,-0.02352254872675985,0.0004092704424510632,-0.030581321567296982,0.220947265625,-43.65852606296539,-0.006883382797241211,0.01627738,0.0046722331462660804,384,0.2,-2.3352555,1258.0
26,13312,8,1538,0.9908826351165771,-0.021200459043029696,0.0004092704424510632,-0.020132146775722504,0.219482421875,-43.68257188796997,0.3149711489677429,0.0162841,0.02638764289440587,400,0.2,-2.3352555,1258.0
27,13824,8,1540,0.9926416873931885,-0.033351457270327955,0.0004092704424510632,-0.03521846607327461,0.290283203125,-43.708651304244995,0.027199387550354004,0.026936436,0.0018278941315656994,416,0.2,-2.3352555,1258.0
28,14336,9,1534,0.9924456477165222,-0.025574199440598022,0.0004092704424510632,-0.024329334497451782,0.22265625,-43.7433660030365,0.6065326929092407,0.011112625,0.006549621655722149,432,0.2,-2.338610090909091,1258.0
29,14848,9,1534,0.9918190240859985,-0.02282411008491181,0.0004092704424510632,-0.01551654003560543,0.2703857421875,-43.71518850326538,0.5077880620956421,0.030763615,0.01459991313458886,448,0.2,-2.338610090909091,1258.0
30,15360,9,1537,0.9916272163391113,-0.024471159478707705,0.0004092704424510632,-0.040740568190813065,0.1907958984375,-43.71449875831604,-0.2463463544845581,0.015957786,0.0034336721801082604,464,0.2,-2.3247955,1258.0
31,15872,10,1532,0.9926119446754456,-0.027913943777093664,0.0004092704424510632,-0.025524064898490906,0.2601318359375,-43.716304063797,0.5341770648956299,0.02484005,0.026960144517943263,480,0.2,-2.3247955,1258.0
32,16384,10,1534,0.9918633699417114,-0.022184795729117468,0.0004092704424510632,-0.03804619237780571,0.198486328125,-43.73336327075958,0.531731903553009,0.016268967,0.00604898484016303,496,0.2,-2.3306074615384618,1258.0
33,16896,10,1536,0.992596447467804,-0.030789499869570136,0.0004092704424510632,-0.017295170575380325,0.2784423828125,-43.72077238559723,0.5710908770561218,0.030961024,0.05442126118578017,512,0.2,-2.3306074615384618,1258.0
34,17408,11,1538,0.9920800924301147,-0.026709924975875765,0.0004092704424510632,-0.03967565670609474,0.2572021484375,-43.7282954454422,-0.6431787014007568,0.020307673,0.0065843560369103216,528,0.2,-2.3306074615384618,1258.0
35,17920,11,1536,0.9927554726600647,-0.02611544611863792,0.0004092704424510632,-0.033998556435108185,0.2314453125,-43.720261454582214,0.001556396484375,0.016491652,0.004034477540699299,544,0.2,-2.3242763571428573,1258.0
36,18432,11,1536,0.9941209554672241,-0.021394243522081524,0.0004092704424510632,0.0025704875588417053,0.194091796875,-43.7573823928833,0.01743072271347046,0.0199169,0.11222351004835218,560,0.2,-2.3242763571428573,1258.0
37,18944,12,1537,0.9939714670181274,-0.029325489027542062,0.0004092704424510632,-0.03629770874977112,0.2728271484375,-43.77744543552399,0.04915350675582886,0.024319986,0.004046514906804077,576,0.2,-2.3273610000000002,1258.0
38,19456,12,1531,0.9941986203193665,-0.02605142688844353,0.0004092704424510632,-0.0021653156727552414,0.2110595703125,-43.77528631687164,0.48702675104141235,0.020007286,0.08067011693492532,592,0.2,-2.3273610000000002,1258.0
39,19968,13,1533,0.9936946034431458,-0.022350549334078096,0.0004092704424510632,-0.023631971329450607,0.209716796875,-43.77705466747284,-0.7127207517623901,0.0121308565,0.0024465984242851846,608,0.2,-2.3273610000000002,1258.0
40,20480,13,1530,0.9930351972579956,-0.027085020643426105,0.0004092704424510632,-0.04191175475716591,0.2440185546875,-43.75610399246216,0.16700613498687744,0.025118537,0.004957389232004061,624,0.2,-2.3277751875000003,1258.0
41,20992,13,1532,0.9929553866386414,-0.02772161806933582,0.0004092704424510632,-0.03394836187362671,0.23193359375,-43.73902976512909,0.32331424951553345,0.029927757,0.07133702235296369,640,0.2,-2.3277751875000003,1258.0
42,21504,14,1530,0.993766188621521,-0.02834511078253854,0.0004092704424510632,-0.03185522183775902,0.256591796875,-43.75056052207947,-0.564016580581665,0.018625781,0.004426713130669668,656,0.2,-2.3229485882352945,1258.0
43,22016,14,1528,0.9927846789360046,-0.02428224286995828,0.0004092704424510632,-0.0008038301020860672,0.20458984375,-43.75596308708191,0.07656574249267578,0.022903146,0.1267265728674829,672,0.2,-2.3229485882352945,1258.0
44,22528,14,1530,0.990612268447876,-0.02820800492190756,0.0004092704424510632,-0.04291943460702896,0.2403564453125,-43.70501363277435,-0.7328612804412842,0.017097313,0.0031547635444439948,688,0.2,-2.3229485882352945,1258.0
45,23040,15,1531,0.9893173575401306,-0.03179055463988334,0.0004092704424510632,-0.03716916963458061,0.3082275390625,-43.64006507396698,0.3225509524345398,0.029428937,0.005348654951376375,704,0.2,-2.3178916666666667,1258.0
46,23552,15,1529,0.9896863102912903,-0.026114793043234386,0.0004092704424510632,-0.013636352494359016,0.202392578125,-43.61991357803345,0.5710974335670471,0.018181873,0.062060959404334426,720,0.2,-2.3178916666666667,1258.0
47,24064,15,1528,0.9886100888252258,-0.0217192402924411,0.0004092704424510632,-0.0195859856903553,0.2095947265625,-43.62125778198242,0.19326621294021606,0.012955798,0.00777403311803937,736,0.2,-2.327213894736842,1258.0
48,24576,16,1526,0.9891039133071899,-0.023832841536204796,0.0004092704424510632,-0.008619964122772217,0.1845703125,-43.59369623661041,0.6729776263237,0.01902968,0.06776680203620344,752,0.2,-2.327213894736842,1258.0
49,25088,16,1525,0.9895841479301453,-0.029807344457367435,0.0004092704424510632,-0.05732758343219757,0.270751953125,-43.62197434902191,-0.5609667301177979,0.023671513,0.003587024941225536,768,0.2,-2.327213894736842,1258.0
50,25600,16,1524,0.9898105263710022,-0.020338534137408715,0.0004092704424510632,-0.02261705882847309,0.1949462890625,-43.624828696250916,0.5745021104812622,0.013337955,0.006054487355868332,784,0.2,-2.32540755,1258.0
51,26112,17,1525,0.9902324080467224,-0.020615449699107558,0.0004092704424510632,-0.01868065819144249,0.191650390625,-43.634241461753845,0.5385156273841858,0.024592051,0.05314325279323384,800,0.2,-2.32540755,1258.0
52,26624,17,1522,0.99123615026474,-0.028139699366874993,0.0004092704424510632,-0.030539020895957947,0.2408447265625,-43.655300974845886,-0.20768070220947266,0.020326307,0.00887316430453211,816,0.2,-2.317837,1258.0
53,27136,17,1521,0.9907870292663574,-0.02552964075584896,0.0004092704424510632,-0.0018683411180973053,0.1881103515625,-43.66482162475586,0.4700150489807129,0.025196515,0.0792908153962344,832,0.2,-2.317837,1258.0
54,27648,18,1519,0.9923033118247986,-0.03259978367714211,0.0004092704424510632,-0.05359538644552231,0.2900390625,-43.67212927341461,-0.3872178792953491,0.02679158,0.0021549991179199424,848,0.2,-2.317837,1258.0
55,28160,18,1517,0.9929773807525635,-0.024006822000956163,0.0004092704424510632,-0.017601003870368004,0.2244873046875,-43.71653723716736,0.6375411748886108,0.015190524,0.018739680148428306,864,0.2,-2.3177352727272726,1258.0
56,28672,18,1518,0.9939895868301392,-0.020616853464161977,0.0004092704424510632,-0.025345828384160995,0.2437744140625,-43.73598837852478,0.7627182006835938,0.029955689,0.030486827105050907,880,0.2,-2.3177352727272726,1258.0
57,29184,19,1520,0.9958046078681946,-0.02588030949118547,0.0004092704424510632,-0.030729040503501892,0.2357177734375,-43.782045006752014,-0.866155743598938,0.018338729,0.010867705073906109,896,0.2,-2.3183904782608695,1258.0
58,29696,19,1521,0.9965500235557556,-0.023471406937460415,0.0004092704424510632,-0.021516013890504837,0.1834716796875,-43.82218611240387,0.7043460607528687,0.018978544,0.06736341095529497,912,0.2,-2.3183904782608695,1258.0
59,30208,19,1520,0.996566116809845,-0.022576559291337617,0.0004092704424510632,-0.027871113270521164,0.19580078125,-43.838059067726135,0.07281136512756348,0.01608281,0.005519634752999991,928,0.2,-2.3173667916666667,1258.0
60,30720,20,1521,0.9970052242279053,-0.011423140007536858,0.0004092704424510632,0.03206004202365875,0.09130859375,-43.84403204917908,0.797719419002533,0.011560301,0.11614868883043528,944,0.2,-2.3173667916666667,1258.0
61,31232,20,1519,0.9956294298171997,-0.023539149085991085,0.0004092704424510632,-0.03598485514521599,0.210205078125,-43.835901498794556,-1.264416217803955,0.016850404,0.0076554331462830305,960,0.2,-2.3173667916666667,1258.0
62,31744,20,1518,0.9947658181190491,-0.02404834820481483,0.0004092704424510632,-0.04846947267651558,0.19873046875,-43.79794001579285,0.03822892904281616,0.018402655,0.002168414430343546,976,0.2,-2.3186858,1258.0
63,32256,21,1517,0.9939795136451721,-0.02044438262237236,0.0004092704424510632,-0.0075768716633319855,0.14990234375,-43.774571776390076,0.3289458751678467,0.019840844,0.16405476129148155,992,0.2,-2.3186858,1258.0
64,32768,21,1515,0.9935263395309448,-0.02024082181742415,0.0004092704424510632,-0.022422756999731064,0.20361328125,-43.74970209598541,0.07785004377365112,0.016099012,0.006602620145713445,1008,0.2,-2.312430230769231,1258.0
65,33280,21,1514,0.9939083456993103,-0.013883477251511067,0.0004092704424510632,0.0355137474834919,0.08740234375,-43.74994730949402,0.6969469785690308,0.013711765,0.14766983035951853,1024,0.2,-2.312430230769231,1258.0
66,33792,22,1515,0.9924923777580261,-0.03192274260800332,0.0004092704424510632,-0.0432586744427681,0.3052978515625,-43.737945556640625,-0.9125261306762695,0.025500031,0.0018971539138874505,1040,0.2,-2.312430230769231,1258.0
67,34304,22,1513,0.9912844896316528,-0.028686766512691975,0.0004092704424510632,-0.025904249399900436,0.295654296875,-43.69091987609863,0.06227380037307739,0.026744084,0.005131734054884873,1056,0.2,-2.3120052962962965,1258.0
68,34816,23,1512,0.9905596971511841,-0.017942000355105847,0.0004092704424510632,-0.0004198625683784485,0.1217041015625,-43.666624426841736,0.2986987233161926,0.017537147,0.15401939360890538,1072,0.2,-2.3120052962962965,1258.0
69,35328,23,1514,0.989948570728302,-0.024699003348359838,0.0004092704424510632,-0.04181443899869919,0.2598876953125,-43.640357971191406,-0.4845857620239258,0.019563317,0.003366122138686478,1088,0.2,-2.3077178928571427,1258.0
70,35840,23,1515,0.9894794225692749,-0.013501061006536474,0.0004092704424510632,0.029502086341381073,0.08642578125,-43.624223470687866,0.4654359817504883,0.017867478,0.18402844853699207,1104,0.2,-2.3077178928571427,1258.0
71,36352,24,1513,0.9902013540267944,-0.028088241364457645,0.0004092704424510632,-0.04188866168260574,0.2720947265625,-43.6195855140686,-0.6072957515716553,0.016740944,0.002860805056116078,1120,0.2,-2.3077178928571427,1258.0
72,36864,24,1514,0.9883295893669128,-0.023386053755530156,0.0004092704424510632,-0.024231895804405212,0.2674560546875,-43.61368441581726,0.5003437399864197,0.021587756,0.005510085233254358,1136,0.2,-2.3090950689655174,1258.0
73,37376,24,1513,0.9872611165046692,-0.01950987966847606,0.0004092704424510632,-0.00559987872838974,0.1072998046875,-43.558127880096436,0.5672594308853149,0.015076205,0.12552433728706092,1152,0.2,-2.3090950689655174,1258.0
74,37888,25,1514,0.9867339134216309,-0.02435336131020449,0.0004092704424510632,-0.03769611567258835,0.2646484375,-43.53261065483093,-0.7233337163925171,0.022095026,0.006334352263365872,1168,0.2,-2.307068366666667,1258.0
