time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/approx_kl,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/std,train/learning_rate,train/loss,train/entropy_loss,train/clip_fraction,train/n_updates,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean
11,2,5632,1968,0.016292598,0.0026398301124572754,0.2,-0.025602108507882804,1.0023128986358643,0.0004092704424510632,-0.016469912603497505,-44.067872285842896,0.2718505859375,160,0.02302753136609681,1257.0,-2.66900875
12,3,6144,1954,0.019637411,-0.010947942733764648,0.2,-0.03034885917440988,1.002121090888977,0.0004092704424510632,-0.03841258957982063,-44.0373250246048,0.287841796875,176,0.0030579237136407755,1257.0,-2.66900875
13,3,6656,1947,0.016791305,-0.0050002336502075195,0.2,-0.026290116365998983,1.0028598308563232,0.0004092704424510632,-0.04128234460949898,-44.045726895332336,0.2608642578125,192,0.0029303281553438865,1257.0,-2.6614964
14,3,7168,1940,0.017497838,0.0017109513282775879,0.2,-0.02596735798579175,1.0018155574798584,0.0004092704424510632,-0.0060453861951828,-44.05355906486511,0.266357421875,208,0.03513327369000763,1257.0,-2.6614964
15,3,7680,1933,0.01556927,0.0010530948638916016,0.2,-0.031104191817576066,1.002934455871582,0.0004092704424510632,-0.04594211280345917,-44.03625679016113,0.2645263671875,224,0.004255015279341023,1257.0,-2.6639256666666666
16,4,8192,1929,0.01408319,0.002644956111907959,0.2,-0.0256580539571587,1.002687931060791,0.0004092704424510632,-0.021382464095950127,-44.06415045261383,0.2646484375,240,0.04613485437585041,1257.0,-2.6639256666666666
17,4,8704,1925,0.019270353,-0.21161901950836182,0.2,-0.021759024733910337,1.0017832517623901,0.0004092704424510632,-0.02233869954943657,-44.03845250606537,0.22607421875,256,0.003009775286045624,1257.0,-2.6639256666666666
18,4,9216,1920,0.016881583,0.007350265979766846,0.2,-0.028533058997709304,1.0010370016098022,0.0004092704424510632,-0.04864046350121498,-44.015729784965515,0.2559814453125,272,0.002293994348292472,1257.0,-2.6503727142857145
19,5,9728,1917,0.024765035,0.0008339285850524902,0.2,-0.03140145671204664,1.0018267631530762,0.0004092704424510632,-0.0008212476968765259,-44.00639045238495,0.2919921875,288,0.06276447384152561,1257.0,-2.6503727142857145
20,5,10240,1914,0.020433994,-0.007584333419799805,0.2,-0.026847567729419097,1.0029739141464233,0.0004092704424510632,-0.04180585965514183,-44.04006814956665,0.2291259765625,304,0.004563364491332322,1257.0,-2.643823125
21,5,10752,1911,0.030560888,0.0029938817024230957,0.2,-0.033565593577804975,1.0028990507125854,0.0004092704424510632,-0.012943197041749954,-44.05822491645813,0.319091796875,320,0.06880766071844846,1257.0,-2.643823125
22,5,11264,1909,0.014274435,-0.6682314872741699,0.2,-0.022774076322093606,1.0006086826324463,0.0004092704424510632,-0.043853096663951874,-44.02147626876831,0.20849609375,336,0.003388072636880679,1257.0,-2.643823125
23,6,11776,1908,0.018018175,8.356571197509766e-05,0.2,-0.020547499210806563,0.9993594288825989,0.0004092704424510632,-0.030720094218850136,-43.951385617256165,0.22314453125,352,0.0022090239253884647,1257.0,-2.657588222222222
24,6,12288,1906,0.028251603,0.003764033317565918,0.2,-0.026406813791254535,0.9999935626983643,0.0004092704424510632,-0.0034733563661575317,-43.94791531562805,0.264404296875,368,0.07909508526790887,1257.0,-2.657588222222222
25,6,12800,1903,0.014521597,-0.10897970199584961,0.2,-0.02054999809479341,0.9994790554046631,0.0004092704424510632,-0.025673758238554,-43.95445168018341,0.169677734375,384,0.004424971135449596,1257.0,-2.6477576
26,7,13312,1901,0.025299327,0.007039785385131836,0.2,-0.02777709372458048,0.9993571639060974,0.0004092704424510632,0.00037012994289398193,-43.9356484413147,0.24560546875,400,0.08369636605493724,1257.0,-2.6477576
27,7,13824,1900,0.014385581,-0.9513354301452637,0.2,-0.02649400602967944,0.9983063340187073,0.0004092704424510632,-0.04335680976510048,-43.923375248909,0.2083740234375,416,0.006244970172701869,1257.0,-2.6477576
28,7,14336,1899,0.013777589,0.04772937297821045,0.2,-0.024814221993437968,0.9960395097732544,0.0004092704424510632,-0.037800997495651245,-43.86620533466339,0.1942138671875,432,0.0018366620697634062,1257.0,-2.6392584545454545
29,7,14848,1897,0.039750963,0.006898641586303711,0.2,-0.025081366242375225,0.9965931177139282,0.0004092704424510632,-0.018526557832956314,-43.8327419757843,0.3258056640625,448,0.015320208767661825,1257.0,-2.6392584545454545
30,8,15360,1896,0.01324022,-0.015051722526550293,0.2,-0.023597181512741372,0.9972308874130249,0.0004092704424510632,-0.03812232241034508,-43.85293900966644,0.20458984375,464,0.0041104749907390215,1257.0,-2.64136225
31,8,15872,1895,0.027553407,0.004124641418457031,0.2,-0.028461340683861636,0.9979647397994995,0.0004092704424510632,-0.00960686057806015,-43.869404435157776,0.2891845703125,480,0.09805378667078912,1257.0,-2.64136225
32,8,16384,1894,0.016120728,-0.1775456666946411,0.2,-0.022351341249304824,0.997151255607605,0.0004092704424510632,-0.027638724073767662,-43.87233352661133,0.1910400390625,496,0.006288139818934724,1257.0,-2.647673307692308
33,8,16896,1894,0.01478923,0.11491137742996216,0.2,-0.023577246291097254,0.9966679811477661,0.0004092704424510632,0.003947857767343521,-43.84662592411041,0.212158203125,512,0.0849258661037311,1257.0,-2.647673307692308
34,9,17408,1893,0.01453238,0.08867692947387695,0.2,-0.02408994108554907,0.9969757795333862,0.0004092704424510632,-0.034160468727350235,-43.83784282207489,0.2210693359375,528,0.002446130889438791,1257.0,-2.647673307692308
35,9,17920,1892,0.016592426,-0.2769728899002075,0.2,-0.025371570125571452,0.9953858852386475,0.0004092704424510632,-0.0351511687040329,-43.82297444343567,0.2073974609375,544,0.004379166981379967,1257.0,-2.629656571428572
36,9,18432,1891,0.023267917,0.02186405658721924,0.2,-0.02143824880477041,0.9963103532791138,0.0004092704424510632,0.00038374029099941254,-43.793248295784,0.223388671875,560,0.07854068919550627,1257.0,-2.629656571428572
37,10,18944,1891,0.020869978,-3.6521568298339844,0.2,-0.02809962568426272,0.9967458248138428,0.0004092704424510632,-0.034080132842063904,-43.82716405391693,0.234375,576,0.006331989403406624,1257.0,-2.6365344000000004
38,10,19456,1890,0.02153535,0.015916168689727783,0.2,-0.024718366796150804,0.9957947731018066,0.0004092704424510632,0.0023048035800457,-43.81775104999542,0.225341796875,592,0.08248265995644033,1257.0,-2.6365344000000004
39,10,19968,1890,0.019352626,-0.6601251363754272,0.2,-0.025919236533809453,0.9932955503463745,0.0004092704424510632,-0.03577899932861328,-43.76135241985321,0.2169189453125,608,0.00399123334500473,1257.0,-2.6365344000000004
40,10,20480,1889,0.025367245,-0.011736154556274414,0.2,-0.03700419983942993,0.9941973090171814,0.0004092704424510632,-0.05373276397585869,-43.71785569190979,0.2864990234375,624,0.003193522548826877,1257.0,-2.636637125
41,11,20992,1889,0.027292822,0.012712955474853516,0.2,-0.02582185728533659,0.9962891340255737,0.0004092704424510632,-0.004373457282781601,-43.78039216995239,0.280029296875,640,0.09679404436610639,1257.0,-2.636637125
42,11,21504,1888,0.013823139,-2.875507354736328,0.2,-0.025729995890287682,0.9978060722351074,0.0004092704424510632,-0.046063460409641266,-43.836158752441406,0.1954345703125,656,0.007602344536280725,1257.0,-2.6341236470588236
43,11,22016,1888,0.024410695,0.01359492540359497,0.2,-0.02712825576600153,0.9978604316711426,0.0004092704424510632,-0.008733630180358887,-43.86393082141876,0.266357421875,672,0.0908389805117622,1257.0,-2.6341236470588236
44,11,22528,1888,0.022177197,0.05441778898239136,0.2,-0.018965943083458114,0.9964192509651184,0.0004092704424510632,-0.02990223653614521,-43.839197516441345,0.1971435546875,688,0.008946040587034076,1257.0,-2.6341236470588236
45,12,23040,1888,0.016886687,-1.1871874332427979,0.2,-0.029460923426086083,0.9958194494247437,0.0004092704424510632,-0.048086266964673996,-43.80172312259674,0.2669677734375,704,0.004001668334240094,1257.0,-2.6222682222222224
46,12,23552,1887,0.026851382,0.07451492547988892,0.2,-0.028568527777679265,0.9956285953521729,0.0004092704424510632,-0.01755305379629135,-43.78323137760162,0.2696533203125,720,0.06682763516437262,1257.0,-2.6222682222222224
47,12,24064,1887,0.013227437,-4.797648906707764,0.2,-0.0217148168667336,0.996255099773407,0.0004092704424510632,-0.03219379484653473,-43.788153529167175,0.173828125,736,0.006266472119023092,1257.0,-2.6139967368421053
48,13,24576,1887,0.027863372,0.02706509828567505,0.2,-0.025274784915382043,0.9953891634941101,0.0004092704424510632,-0.013691788539290428,-43.797128081321716,0.285400390625,752,0.06837809272110462,1257.0,-2.6139967368421053
49,13,25088,1886,0.022500433,-1.4293453693389893,0.2,-0.02840082155307755,0.9961620569229126,0.0004092704424510632,-0.03550372272729874,-43.785415172576904,0.23828125,768,0.005210365809034556,1257.0,-2.6139967368421053
50,13,25600,1886,0.01393861,0.061024248600006104,0.2,-0.023679214325966313,0.9955212473869324,0.0004092704424510632,-0.028997249901294708,-43.797033071517944,0.1920166015625,784,0.0016995666519505903,1257.0,-2.6047196500000003
51,13,26112,1885,0.029147927,0.10727459192276001,0.2,-0.028057615942088887,0.9940750598907471,0.0004092704424510632,-0.019160781055688858,-43.759543657302856,0.2781982421875,800,0.04883996554417536,1257.0,-2.6047196500000003
52,14,26624,1885,0.017494723,-2.0331854820251465,0.2,-0.025378018675837666,0.992277204990387,0.0004092704424510632,-0.023210367187857628,-43.70860493183136,0.24267578125,816,0.006891106721013784,1257.0,-2.600190714285714
53,14,27136,1884,0.02239335,0.1516459584236145,0.2,-0.02582344223628752,0.9911924600601196,0.0004092704424510632,-0.010347515344619751,-43.6634316444397,0.2132568359375,832,0.0602375395828858,1257.0,-2.600190714285714
54,14,27648,1884,0.016063252,-2.011396646499634,0.2,-0.024034834816120565,0.9915404915809631,0.0004092704424510632,-0.03571784496307373,-43.64531350135803,0.21044921875,848,0.004738216906844173,1257.0,-2.600190714285714
55,14,28160,1884,0.018817084,0.5520303249359131,0.2,-0.027438699078629725,0.992679238319397,0.0004092704424510632,-0.035932157188653946,-43.669214487075806,0.2220458984375,864,0.0025090245326282457,1257.0,-2.607960363636364
56,15,28672,1884,0.032060176,0.21843934059143066,0.2,-0.02323457828606479,0.9932047724723816,0.0004092704424510632,-0.02679431065917015,-43.68719923496246,0.283203125,880,0.025827276054769754,1257.0,-2.607960363636364
57,15,29184,1883,0.02069987,-2.6999216079711914,0.2,-0.02630298599251546,0.9922305345535278,0.0004092704424510632,-0.04085341840982437,-43.69084990024567,0.2308349609375,896,0.006587041876628064,1257.0,-2.6034188695652176
58,15,29696,1883,0.019709101,0.021285712718963623,0.2,-0.01907765635405667,0.9910127520561218,0.0004092704424510632,-0.01717001013457775,-43.64311969280243,0.19873046875,912,0.0980594860156998,1257.0,-2.6034188695652176
59,16,30208,1883,0.018188154,-2.3091349601745605,0.2,-0.027092207499663346,0.9892339110374451,0.0004092704424510632,-0.04393019154667854,-43.603750228881836,0.2200927734375,928,0.009155190986348316,1257.0,-2.6029803333333335
60,16,30720,1882,0.020356307,0.06459903717041016,0.2,-0.022087724384618923,0.9869381189346313,0.0004092704424510632,-0.017907584086060524,-43.53660070896149,0.2252197265625,944,0.06128405313938856,1257.0,-2.6029803333333335
61,16,31232,1882,0.022540271,-1.1264562606811523,0.2,-0.03005360104725696,0.9872166514396667,0.0004092704424510632,-0.0391373336315155,-43.48581063747406,0.2606201171875,960,0.0045048586471239105,1257.0,-2.6029803333333335
62,16,31744,1882,0.013744738,-0.2364661693572998,0.2,-0.026728944110800512,0.9869926571846008,0.0004092704424510632,-0.03265244513750076,-43.51022982597351,0.258544921875,976,0.0035722126121982,1257.0,-2.5959902
63,17,32256,1881,0.016085062,0.10481858253479004,0.2,-0.02053031959803775,0.985924482345581,0.0004092704424510632,-0.011608097702264786,-43.48046338558197,0.189208984375,992,0.06758874823572114,1257.0,-2.5959902
64,17,32768,1881,0.015940037,-3.9128360748291016,0.2,-0.022610574960708618,0.9844263195991516,0.0004092704424510632,-0.030655285343527794,-43.44076716899872,0.192626953125,1008,0.00795847165863961,1257.0,-2.5916021923076924
65,17,33280,1881,0.02286385,0.05484330654144287,0.2,-0.023347969094174914,0.9845165610313416,0.0004092704424510632,-0.029319941997528076,-43.413365483284,0.2313232421875,1024,0.0625216563930735,1257.0,-2.5916021923076924
66,17,33792,1881,0.015025854,-2.5854153633117676,0.2,-0.019750716834096238,0.9841905236244202,0.0004092704424510632,-0.024378066882491112,-43.414077401161194,0.2017822265625,1040,0.004154445108724758,1257.0,-2.5916021923076924
67,18,34304,1881,0.01893674,-0.04298722743988037,0.2,-0.02504012532881461,0.9856363534927368,0.0004092704424510632,-0.029593251645565033,-43.41551148891449,0.252197265625,1056,0.0028349707208690234,1257.0,-2.583657703703704
68,18,34816,1880,0.020910442,0.06306612491607666,0.2,-0.026364761433796957,0.9858767986297607,0.0004092704424510632,-0.02505498193204403,-43.454309821128845,0.2587890625,1072,0.05970801704097539,1257.0,-2.583657703703704
69,18,35328,1880,0.013993857,-3.6582822799682617,0.2,-0.020539113524137065,0.984727144241333,0.0004092704424510632,-0.02482140064239502,-43.433818101882935,0.1878662109375,1088,0.006595871804165654,1257.0,-2.5853438214285718
70,19,35840,1880,0.02246375,0.1218450665473938,0.2,-0.02854019042570144,0.9850574731826782,0.0004092704424510632,-0.03223961964249611,-43.413378953933716,0.2479248046875,1104,0.05438439466524869,1257.0,-2.5853438214285718
71,19,36352,1880,0.019732136,-0.3949359655380249,0.2,-0.026894003269262612,0.9852627515792847,0.0004092704424510632,-0.03262223303318024,-43.42876434326172,0.254150390625,1120,0.004486129029828589,1257.0,-2.5853438214285718
72,19,36864,1880,0.019110315,-0.21978747844696045,0.2,-0.026524406603130046,0.9838318824768066,0.0004092704424510632,-0.03919167444109917,-43.407464146614075,0.2506103515625,1136,0.002478582831827225,1257.0,-2.587595827586207
73,19,37376,1879,0.019226104,0.15639281272888184,0.2,-0.022862493351567537,0.9822301268577576,0.0004092704424510632,-0.017450015991926193,-43.35227572917938,0.196533203125,1152,0.05678057548357174,1257.0,-2.587595827586207
74,20,37888,1879,0.015805157,-2.140284299850464,0.2,-0.025082019274123013,0.9809087514877319,0.0004092704424510632,-0.04237375408411026,-43.30461061000824,0.220947265625,1168,0.01055041934887413,1257.0,-2.5751636999999996
75,20,38400,1879,0.017168213,0.2739805579185486,0.2,-0.019941863050917163,0.9796261787414551,0.0004092704424510632,-0.02756180800497532,-43.2659547328949,0.182373046875,1184,0.045102503907401115,1257.0,-2.5751636999999996
76,20,38912,1879,0.027006816,-0.010312080383300781,0.2,-0.032805863418616354,0.9790483713150024,0.0004092704424510632,-0.04445135220885277,-43.23505401611328,0.308349609375,1200,0.009574151132255793,1257.0,-2.5751636999999996
77,20,39424,1879,0.016797941,0.3833252787590027,0.2,-0.02406927054107655,0.9795690178871155,0.0004092704424510632,-0.03387392684817314,-43.23673725128174,0.2149658203125,1216,0.012479271477786824,1257.0,-2.5680669032258066
78,21,39936,1879,0.024388667,0.7363118529319763,0.2,-0.02649660801398568,0.9786039590835571,0.0004092704424510632,-0.02153075486421585,-43.24255430698395,0.26708984375,1232,0.03290616883896291,1257.0,-2.5680669032258066
79,21,40448,1879,0.016933423,-2.1570162773132324,0.2,-0.02259485267859418,0.9776918888092041,0.0004092704424510632,-0.03600241616368294,-43.20908546447754,0.20361328125,1248,0.009899915850837715,1257.0,-2.5719498125
80,21,40960,1878,0.016064879,0.40998339653015137,0.2,-0.016335501466528513,0.9770095944404602,0.0004092704424510632,-0.00846989918500185,-43.1824254989624,0.129638671875,1264,0.043767823139205575,1257.0,-2.5719498125
81,22,41472,1878,0.019165624,-1.079498291015625,0.2,-0.02370376168983057,0.975466787815094,0.0004092704424510632,-0.03153402730822563,-43.14683938026428,0.2227783203125,1280,0.00958709501719568,1257.0,-2.5719498125
82,22,41984,1878,0.01820201,0.6579712629318237,0.2,-0.024325433769263327,0.9745504260063171,0.0004092704424510632,-0.024080507457256317,-43.10865104198456,0.211669921875,1296,0.023405736370477825,1257.0,-2.568429090909091
83,22,42496,1878,0.021383505,0.8134214878082275,0.2,-0.025613861027522944,0.9739506840705872,0.0004092704424510632,-0.03058897703886032,-43.08354663848877,0.267333984375,1312,0.013206621690187603,1257.0,-2.568429090909091
84,22,43008,1878,0.025279103,-2.6267271041870117,0.2,-0.028021021222230047,0.9745622873306274,0.0004092704424510632,-0.025959588587284088,-43.074499011039734,0.251708984375,1328,0.006089293630793691,1257.0,-2.5694344705882353
85,23,43520,1878,0.016222648,0.19516324996948242,0.2,-0.024951413630333263,0.9756370186805725,0.0004092704424510632,-0.02006704732775688,-43.10589897632599,0.2103271484375,1344,0.06124148622620851,1257.0,-2.5694344705882353
86,23,44032,1878,0.01890212,-1.3332092761993408,0.2,-0.022800268285209313,0.9770429134368896,0.0004092704424510632,-0.032769154757261276,-43.14392113685608,0.2244873046875,1360,0.009112802843446843,1257.0,-2.5699595714285715
87,23,44544,1878,0.013883466,0.3538896441459656,0.2,-0.015605693610268645,0.9770664572715759,0.0004092704424510632,-0.0056823305785655975,-43.17083191871643,0.12890625,1376,0.05885653005680069,1257.0,-2.5699595714285715
88,23,45056,1878,0.029075116,-0.46675074100494385,0.2,-0.025647251663031057,0.9773331880569458,0.0004092704424510632,-0.036288827657699585,-43.167964935302734,0.2611083984375,1392,0.004601557549904101,1257.0,-2.5699595714285715
89,24,45568,1877,0.016322535,-0.14223003387451172,0.2,-0.022551706628291868,0.9757658243179321,0.0004092704424510632,-0.04341363161802292,-43.150702714920044,0.2183837890625,1408,0.004381336046208162,1257.0,-2.5679370555555554
90,24,46080,1877,0.009616071,0.1666744351387024,0.2,-0.01162674899387639,0.9748856425285339,0.0004092704424510632,-0.008500992320477962,-43.10439467430115,0.094970703125,1424,0.07027645414927974,1257.0,-2.5679370555555554
91,24,46592,1877,0.016983278,-4.0542120933532715,0.2,-0.020066800439963117,0.975786030292511,0.0004092704424510632,-0.02421065792441368,-43.0966522693634,0.2109375,1440,0.007651271065697074,1257.0,-2.5657196216216214
92,25,47104,1877,0.026143085,0.11974018812179565,0.2,-0.028129284968599677,0.9753828644752502,0.0004092704424510632,-0.02788645774126053,-43.117162227630615,0.22509765625,1456,0.07317255809903145,1257.0,-2.5657196216216214
93,25,47616,1877,0.016987586,-1.9045138359069824,0.2,-0.019921176150091924,0.9751872420310974,0.0004092704424510632,-0.01596236042678356,-43.09765434265137,0.2138671875,1472,0.004947123241436202,1257.0,-2.5657196216216214
94,25,48128,1877,0.020537209,-0.24841845035552979,0.2,-0.033355794148519635,0.9750131368637085,0.0004092704424510632,-0.04066077619791031,-43.09728693962097,0.2796630859375,1488,0.0022502939755213447,1257.0,-2.5565818684210524
95,25,48640,1877,0.02070085,0.21514898538589478,0.2,-0.024162669215002097,0.9740637540817261,0.0004092704424510632,-0.018007248640060425,-43.07832944393158,0.2012939453125,1504,0.06239258064306341,1257.0,-2.5565818684210524
96,26,49152,1877,0.022053102,-3.3918700218200684,0.2,-0.026651429128833115,0.9740845561027527,0.0004092704424510632,-0.027810629457235336,-43.05495762825012,0.216796875,1520,0.013783262620563619,1257.0,-2.5540234615384616
97,26,49664,1876,0.017706852,0.11754322052001953,0.2,-0.01892873246106319,0.9737138152122498,0.0004092704424510632,-0.009824167937040329,-43.05439233779907,0.18212890625,1536,0.0682606344926171,1257.0,-2.5540234615384616
98,26,50176,1876,0.023834072,-0.30100059509277344,0.2,-0.030995035951491445,0.9725875854492188,0.0004092704424510632,-0.030924208462238312,-43.03204369544983,0.322265625,1552,0.006721597717842087,1257.0,-2.5540234615384616
99,27,50688,1876,0.0155585855,-2.7404258251190186,0.2,-0.024193673132685944,0.97096186876297,0.0004092704424510632,-0.036501359194517136,-42.988919258117676,0.2213134765625,1568,0.0027012224891223013,1257.0,-2.5483117749999997
100,27,51200,1876,0.014487043,0.1819225549697876,0.2,-0.016444802851765417,0.9709508419036865,0.0004092704424510632,-0.01283289398998022,-42.955517053604126,0.1541748046875,1584,0.05920532264281064,1257.0,-2.5483117749999997
