time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/approx_kl,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/std,train/learning_rate,train/loss,train/entropy_loss,train/clip_fraction,train/n_updates,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean
1,0,512,4031,,,,,,,,,,,,,
2,0,1024,2591,0.016492978,-0.4882155656814575,0.2,-0.03122803775477223,0.9985565543174744,0.0004092704424510632,-0.03738173842430115,-43.96842801570892,0.25146484375,16,0.08617821014922811,,
3,0,1536,2331,0.01853453,-0.038121819496154785,0.2,-0.03264931793091819,0.9958334565162659,0.0004092704424510632,-0.04107973352074623,-43.90114188194275,0.2603759765625,32,0.004361942374089267,1257.0,-2.69968
4,0,2048,2213,0.022654273,-0.0021001100540161133,0.2,-0.02868067352392245,0.9929094910621643,0.0004092704424510632,0.00119069404900074,-43.81007659435272,0.321533203125,48,0.06688325142022222,1257.0,-2.69968
5,1,2560,2153,0.015682,-0.015180706977844238,0.2,-0.026360878779087216,0.9908300638198853,0.0004092704424510632,-0.04261788725852966,-43.7299507856369,0.2391357421875,64,0.0036064911473658867,1257.0,-2.6266125000000002
6,1,3072,2113,0.020680618,0.0008671283721923828,0.2,-0.023576048552058637,0.9901916980743408,0.0004092704424510632,-0.002784986048936844,-43.68381702899933,0.285400390625,80,0.07056645047850907,1257.0,-2.6266125000000002
7,1,3584,2089,0.018790247,0.07922661304473877,0.2,-0.025441348261665553,0.9895741939544678,0.0004092704424510632,-0.03687554597854614,-43.66662287712097,0.2564697265625,96,0.0022041034444555407,1257.0,-2.6266125000000002
8,1,4096,2064,0.017700788,-0.002738475799560547,0.2,-0.029342178095248528,0.9886718392372131,0.0004092704424510632,-0.04335898160934448,-43.645365595817566,0.2821044921875,112,0.004809496371308342,1257.0,-2.7116743333333333
9,2,4608,2049,0.018042434,0.002704024314880371,0.2,-0.028766800503944978,0.9869956970214844,0.0004092704424510632,-0.0054807960987091064,-43.60166597366333,0.2620849609375,128,0.08692542603239417,1257.0,-2.7116743333333333
10,2,5120,2037,0.015675265,-0.32980263233184814,0.2,-0.02396408906497527,0.9880248308181763,0.0004092704424510632,-0.021813595667481422,-43.576817989349365,0.213134765625,144,0.005368493541027419,1257.0,-2.684976
11,2,5632,2027,0.020543326,0.006115853786468506,0.2,-0.027122472529299557,0.9857566952705383,0.0004092704424510632,-0.0008771643042564392,-43.579028725624084,0.2420654296875,160,0.09011247381567955,1257.0,-2.684976
12,3,6144,2020,0.017520662,-1.1295406818389893,0.2,-0.02402959470055066,0.9854588508605957,0.0004092704424510632,-0.03358358517289162,-43.51863610744476,0.2178955078125,176,0.003281814009824302,1257.0,-2.684976
13,3,6656,2014,0.025731329,-0.054850101470947266,0.2,-0.03562588352360763,0.985897421836853,0.0004092704424510632,-0.04809199273586273,-43.52235746383667,0.284423828125,192,0.002676245756447315,1257.0,-2.6623034
14,3,7168,2009,0.019339772,0.012315869331359863,0.2,-0.02763421493000351,0.9846948981285095,0.0004092704424510632,-0.008672531694173813,-43.51790142059326,0.2532958984375,208,0.09676396148279309,1257.0,-2.6623034
15,3,7680,2004,0.027883068,-1.372908115386963,0.2,-0.028484849113738164,0.9820818901062012,0.0004092704424510632,-0.04271281138062477,-43.457926869392395,0.255859375,224,0.007418014531140216,1257.0,-2.6502676666666662
16,4,8192,1998,0.027506124,0.007920026779174805,0.2,-0.029117479221895337,0.9823536276817322,0.0004092704424510632,0.0011972151696681976,-43.40720224380493,0.2569580078125,240,0.074800263508223,1257.0,-2.6502676666666662
17,4,8704,1992,0.011486805,-1.0321414470672607,0.2,-0.020284473022911698,0.9837570190429688,0.0004092704424510632,-0.0351283960044384,-43.441646218299866,0.1759033203125,256,0.0026211072836304083,1257.0,-2.6502676666666662
18,4,9216,1988,0.019511767,0.002303481101989746,0.2,-0.02553282942972146,0.9828657507896423,0.0004092704424510632,-0.03761215880513191,-43.45599818229675,0.223876953125,272,0.0026550655675237067,1257.0,-2.616859428571428
19,4,9728,1985,0.019881774,0.00802922248840332,0.2,-0.02168102363066282,0.981582760810852,0.0004092704424510632,0.006203494966030121,-43.40862774848938,0.220458984375,288,0.09148418111726642,1257.0,-2.616859428571428
20,5,10240,1983,0.015356051,-0.5814450979232788,0.2,-0.02193324887775816,0.9821442365646362,0.0004092704424510632,-0.034302420914173126,-43.397223472595215,0.1776123046875,304,0.005091197388537694,1257.0,-2.61623525
