time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/approx_kl,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/std,train/learning_rate,train/loss,train/entropy_loss,train/clip_fraction,train/n_updates,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean
1,0,512,4018,,,,,,,,,,,,,
2,0,1024,2595,0.018255485,-0.07003021240234375,0.2,-0.03188578228582628,0.9997189044952393,0.0004092704424510632,-0.04090392589569092,-43.976964354515076,0.236328125,16,0.20679163705790415,,
3,0,1536,2329,0.022234662,-0.01265096664428711,0.2,-0.038976282434305176,0.9986106157302856,0.0004092704424510632,-0.05793963000178337,-43.963003635406494,0.332275390625,32,0.0037311687046894804,1257.0,-2.56821
4,0,2048,2207,0.02242383,0.04267990589141846,0.2,-0.03020774574179086,0.9962486028671265,0.0004092704424510632,-0.04938341677188873,-43.90749490261078,0.296875,48,0.00410320427181432,1257.0,-2.56821
5,1,2560,2140,0.014007717,0.006539583206176758,0.2,-0.02524978166911751,0.9954285621643066,0.0004092704424510632,-0.03703376278281212,-43.85186970233917,0.2630615234375,64,0.003364088523085229,1257.0,-2.489783
6,1,3072,2099,0.017018685,-0.0006374120712280273,0.2,-0.027937770093558356,0.9940402507781982,0.0004092704424510632,-0.03754332289099693,-43.82671368122101,0.283203125,80,0.003136792562145274,1257.0,-2.489783
7,1,3584,2071,0.017882608,0.04780036211013794,0.2,-0.029859269852750003,0.993768036365509,0.0004092704424510632,-0.04453692212700844,-43.78788781166077,0.25732421875,96,0.0018477238791092532,1257.0,-2.489783
8,1,4096,2051,0.020050501,0.007179141044616699,0.2,-0.027101515472168103,0.9933534264564514,0.0004092704424510632,-0.03189320117235184,-43.785725235939026,0.297119140625,112,0.003193696233211085,1257.0,-2.5523553333333333
9,2,4608,2038,0.033891514,0.0038160085678100586,0.2,-0.03325542728998698,0.9943343997001648,0.0004092704424510632,-0.028195954859256744,-43.78173625469208,0.3929443359375,128,0.011628251726506278,1257.0,-2.5523553333333333
10,2,5120,2026,0.014765978,-0.004297733306884766,0.2,-0.020876951195532456,0.9948859810829163,0.0004092704424510632,-0.020590243861079216,-43.81483435630798,0.22998046875,144,0.004466032834898215,1257.0,-2.603011
11,2,5632,2015,0.022900935,0.0033829808235168457,0.2,-0.035813407972455025,0.9961192607879639,0.0004092704424510632,-0.014788215979933739,-43.83741343021393,0.3492431640625,160,0.024771243857685477,1257.0,-2.603011
12,3,6144,2007,0.01670235,-0.02709829807281494,0.2,-0.02714975774870254,0.9971815347671509,0.0004092704424510632,-0.034333448857069016,-43.87690722942352,0.2471923828125,176,0.001904505435959436,1257.0,-2.603011
13,3,6656,2001,0.01551495,-0.008240222930908203,0.2,-0.026051907247165218,0.997771680355072,0.0004092704424510632,-0.03299165889620781,-43.89960765838623,0.2420654296875,192,0.0028082005883334205,1257.0,-2.6003414
14,3,7168,1998,0.019912083,0.007414281368255615,0.2,-0.02365555224241689,0.996360182762146,0.0004092704424510632,-0.01711069792509079,-43.89136552810669,0.2640380859375,208,0.02826848905533552,1257.0,-2.6003414
15,3,7680,1993,0.015510265,-0.09153962135314941,0.2,-0.02750176285917405,0.995745062828064,0.0004092704424510632,-0.041221462190151215,-43.84932339191437,0.2459716796875,224,0.003412008249142673,1257.0,-2.5696001666666666
16,4,8192,1989,0.031085694,0.009017586708068848,0.2,-0.03149618503812235,0.9950762987136841,0.0004092704424510632,-0.01469002291560173,-43.83528232574463,0.31787109375,240,0.04048935294849798,1257.0,-2.5696001666666666
