train/actor_loss,time/episodes,train/learning_rate,rollout/ep_len_mean,train/critic_loss,time/time_elapsed,rollout/ep_rew_mean,train/ent_coef,train/ent_coef_loss,time/total_timesteps,time/fps,train/n_updates
-122.96681213378906,4,0.0008459126528049375,1257.0,1.2646348476409912,169,-4.72509025,0.01795198954641819,-172.8491973876953,5028,29,4927
-129.12197875976562,8,0.0008459126528049375,1257.0,1.4345307350158691,338,-3.6660368749999996,0.001493107876740396,-9.193290710449219,10056,29,9955
-134.35943603515625,12,0.0008459126528049375,1257.0,2.634329319000244,484,-3.030493833333333,0.0012300033122301102,30.358177185058594,15084,31,14983
-141.52398681640625,16,0.0008459126528049375,1257.0,3.755286693572998,647,-2.70356125,0.001339898444712162,24.526477813720703,20112,31,20011
-143.08590698242188,20,0.0008459126528049375,1257.0,4.190656661987305,4,-2.50503315,0.0010181431425735354,49.452659606933594,25140,28,25039
-146.72891235351562,24,0.0008459126528049375,1257.0,3.605964422225952,162,-2.396367666666667,0.000577789091039449,-31.38372039794922,30168,31,30067
-143.68991088867188,28,0.0008459126528049375,1257.0,4.046510219573975,313,-2.24937775,0.0011972809443250299,77.16691589355469,35196,32,35095
-144.51412963867188,32,0.0008459126528049375,1257.0,9.463963508605957,465,-2.16472528125,0.0015288438880816102,42.073455810546875,40224,32,40123
-142.0994415283203,36,0.0008459126528049375,1257.0,2.8448734283447266,632,-2.0906491666666667,0.0013432890409603715,14.134222030639648,45252,32,45151
-138.89743041992188,40,0.0008459126528049375,1257.0,4.26455545425415,10,-2.039887425,0.0005855311173945665,-29.044424057006836,50280,27,50179
-132.32760620117188,44,0.0008459126528049375,1257.0,7.594686508178711,186,-1.9794598409090909,0.0018897291738539934,-4.722052097320557,55308,28,55207
-129.37460327148438,48,0.0008459126528049375,1257.0,3.568258762359619,368,-1.9446263333333331,0.0019986832048743963,-86.89240264892578,60336,28,60235
-125.30703735351562,52,0.0008459126528049375,1257.0,4.1266069412231445,551,-1.9145034807692307,0.0017400245415046811,-6.847232818603516,65364,27,65263
-122.36666870117188,56,0.0008459126528049375,1257.0,41.13349914550781,736,-1.8772467678571427,0.0024037850089371204,-6.016883850097656,70392,27,70291
-107.3846435546875,60,0.0008459126528049375,1257.0,23.38970184326172,13,-1.87763435,0.001015850342810154,-12.05373764038086,75420,31,75319
-103.37828826904297,64,0.0008459126528049375,1257.0,2.406386613845825,177,-1.8498533906249999,0.0008866307907737792,-74.70448303222656,80448,30,80347
-86.29185485839844,68,0.0008459126528049375,1257.0,124.79701232910156,343,-1.8296587352941178,0.0006615387974306941,157.10604858398438,85476,30,85375
-86.5045166015625,72,0.0008459126528049375,1257.0,3.298619508743286,535,-1.8057624166666666,0.0009710289305076003,-31.778175354003906,90504,28,90403
-81.01914978027344,76,0.0008459126528049375,1257.0,6.189695835113525,728,-1.7902648421052632,0.0008950747433118522,-36.958744049072266,95532,28,95431
