time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/n_updates,train/learning_rate,train/loss,train/value_loss,train/approx_kl,train/explained_variance,train/clip_fraction,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/std,rollout/ep_len_mean,rollout/ep_rew_mean
3856,0,1,512,,,,,,,,,,,,,
1910,0,2,1024,16,0.0004092704424510632,-0.042000316083431244,0.10830862846341915,0.019533724,-0.12404584884643555,0.287353515625,-43.99891936779022,0.2,-0.03332681333995424,1.0001519918441772,,
1642,0,3,1536,32,0.0004092704424510632,-0.03985461965203285,0.002436859365843702,0.01777253,0.003795027732849121,0.2392578125,-43.96626615524292,0.2,-0.028097384347347543,0.998543381690979,1223.0,-2.131479
1537,1,4,2048,48,0.0004092704424510632,-0.0405738465487957,0.004265689625754021,0.0184662,-0.005836009979248047,0.2628173828125,-43.93054020404816,0.2,-0.03145764413056895,0.9979771971702576,1223.0,-2.131479
1479,1,5,2560,64,0.0004092704424510632,-0.028055042028427124,0.0011099951807409525,0.019027542,-0.0013244152069091797,0.297607421875,-43.91693556308746,0.2,-0.02772730783908628,0.9975701570510864,1223.0,-2.1659485
1443,2,6,3072,80,0.0004092704424510632,-0.024910256266593933,0.007321521305129863,0.015646338,-0.0033522844314575195,0.2427978515625,-43.912328004837036,0.2,-0.02445059476303868,0.9979968667030334,1223.0,-2.1659485
1416,2,7,3584,96,0.0004092704424510632,-0.04862228035926819,0.0021192385502217803,0.014656749,0.0003580451011657715,0.2449951171875,-43.9339302778244,0.2,-0.030375664646271616,0.9985597133636475,1223.0,-2.1659485
1396,2,8,4096,112,0.0004092704424510632,-0.03689045459032059,0.002960421650641365,0.020702893,0.0009314417839050293,0.295166015625,-43.953821420669556,0.2,-0.029681839398108423,1.0000466108322144,1223.0,-2.220410333333333
1385,3,9,4608,128,0.0004092704424510632,-0.02551041543483734,0.016095183847937733,0.014894659,0.0006951093673706055,0.2100830078125,-44.00654494762421,0.2,-0.021147275459952652,1.0014694929122925,1223.0,-2.220410333333333
1368,3,10,5120,144,0.0004092704424510632,-0.028366785496473312,0.0015261255084624281,0.017035883,-0.0075386762619018555,0.18408203125,-44.02284860610962,0.2,-0.017560461012180895,1.0012810230255127,1223.0,-2.2463995
1356,4,11,5632,160,0.0004092704424510632,-0.029987892135977745,0.023294826969504356,0.017319284,0.0024589896202087402,0.2591552734375,-44.03325068950653,0.2,-0.027646553266094998,1.0026299953460693,1223.0,-2.2463995
1347,4,12,6144,176,0.0004092704424510632,-0.056025467813014984,0.0016285022011288675,0.01739587,0.011651098728179932,0.28076171875,-44.07367670536041,0.2,-0.03193494089646265,1.0037082433700562,1223.0,-2.2149232
1340,4,13,6656,192,0.0004092704424510632,-0.025695424526929855,0.02534944878425449,0.02082764,0.006693661212921143,0.27294921875,-44.07224357128143,0.2,-0.03165286469447892,1.0018991231918335,1223.0,-2.2149232
1335,5,14,7168,208,0.0004092704424510632,-0.042910825461149216,0.0020058651607541833,0.021476239,0.008959531784057617,0.2677001953125,-44.00848472118378,0.2,-0.03365180947002955,1.0005866289138794,1223.0,-2.2149232
1329,5,15,7680,224,0.0004092704424510632,-0.03751172497868538,0.0022871286964800674,0.024333332,-0.01896035671234131,0.247802734375,-43.987872838974,0.2,-0.026383877178886905,1.0002588033676147,1223.0,-2.189899333333333
1324,6,16,8192,240,0.0004092704424510632,-0.015020694583654404,0.03724137181416154,0.024148572,0.0034255385398864746,0.2596435546875,-43.99971425533295,0.2,-0.02886285667773336,1.00211501121521,1223.0,-2.189899333333333
1319,6,17,8704,256,0.0004092704424510632,-0.03557613119482994,0.001680881347056129,0.022031046,-0.19601833820343018,0.2431640625,-44.02806115150452,0.2,-0.0282397861010395,1.001200556755066,1223.0,-2.198928714285714
