time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/entropy_loss,train/n_updates,train/value_loss,train/loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/approx_kl,train/std,train/learning_rate,train/clip_range,rollout/ep_rew_mean,rollout/ep_len_mean
0,1,512,4131,,,,,,,,,,,,,
0,2,1024,2855,-43.95308208465576,16,0.160540632714401,-0.04473162814974785,-0.03619072445144411,-0.015382528305053711,0.255615234375,0.019219678,0.9978999495506287,0.0004092704424510632,0.2,,
0,3,1536,2528,-43.921491742134094,32,0.004130031549721025,-0.02422160655260086,-0.022418802371248603,-0.052072763442993164,0.2041015625,0.01315278,0.9981797337532043,0.0004092704424510632,0.2,-2.39349,1257.0
0,4,2048,2351,-43.94415473937988,48,0.013081183540634811,-0.02537662535905838,-0.022020480886567384,0.006037473678588867,0.2108154296875,0.013746489,0.9991867542266846,0.0004092704424510632,0.2,-2.39349,1257.0
1,5,2560,2216,-43.96698820590973,64,0.003895637135428842,-0.04228321090340614,-0.030913834445527755,-0.0012603998184204102,0.291748046875,0.019762788,0.9996548295021057,0.0004092704424510632,0.2,-2.431763,1257.0
1,6,3072,2126,-43.97630286216736,80,0.004575314960675314,-0.04830741137266159,-0.03304485586704686,0.008851051330566406,0.27685546875,0.01502173,0.9998659491539001,0.0004092704424510632,0.2,-2.431763,1257.0
1,7,3584,2069,-43.979745745658875,96,0.0023739514545013662,-0.027430066838860512,-0.022860506898723543,0.04508763551712036,0.24072265625,0.0128525635,0.9999819397926331,0.0004092704424510632,0.2,-2.431763,1257.0
2,8,4096,2039,-43.99501323699951,112,0.003246103042329196,-0.030588192865252495,-0.025909705669619143,0.00931769609451294,0.25146484375,0.016126055,1.00131094455719,0.0004092704424510632,0.2,-2.424885666666667,1257.0
2,9,4608,2030,-44.04819905757904,128,0.0044846776145277545,-0.033843982964754105,-0.024204897927120328,0.018142759799957275,0.2757568359375,0.017723668,1.0030474662780762,0.0004092704424510632,0.2,-2.424885666666667,1257.0
2,10,5120,2028,-44.076380610466,144,0.0031083191679499578,-0.034091390669345856,-0.03246798523468897,0.005717337131500244,0.29833984375,0.019255385,1.0030277967453003,0.0004092704424510632,0.2,-2.40887475,1257.0
2,11,5632,2016,-44.06765675544739,160,0.004959382720699068,-0.05017354339361191,-0.03182858315994963,0.003926873207092285,0.2972412109375,0.01962177,1.0029094219207764,0.0004092704424510632,0.2,-2.40887475,1257.0
3,12,6144,2009,-44.06524050235748,176,0.0023430314322467893,-0.04731635004281998,-0.025398700265213847,0.015765488147735596,0.237060546875,0.016032375,1.0030361413955688,0.0004092704424510632,0.2,-2.40887475,1257.0
3,13,6656,2008,-44.09206414222717,192,0.002514555184461642,-0.03500157967209816,-0.02634483929432463,0.003205597400665283,0.2657470703125,0.01486668,1.0048904418945312,0.0004092704424510632,0.2,-2.4311366,1257.0
3,14,7168,2011,-44.151365876197815,208,0.00920574928750284,-0.03898434340953827,-0.02539572877867613,-0.002285480499267578,0.2598876953125,0.018002164,1.0060904026031494,0.0004092704424510632,0.2,-2.4311366,1257.0
3,15,7680,2018,-44.17718946933746,224,0.004069499234901741,-0.032365113496780396,-0.02654687440372072,0.0013632774353027344,0.2625732421875,0.019589018,1.0072052478790283,0.0004092704424510632,0.2,-2.393797333333333,1257.0
4,16,8192,2016,-44.21978735923767,240,0.01587229859433137,-0.0295172818005085,-0.026574900199193507,0.0003870725631713867,0.3079833984375,0.02187873,1.0087502002716064,0.0004092704424510632,0.2,-2.393797333333333,1257.0
4,17,8704,2011,-44.2446403503418,256,0.0030153755214996636,-0.02711625210940838,-0.02358634176198393,0.006038665771484375,0.244140625,0.014149174,1.0083529949188232,0.0004092704424510632,0.2,-2.393797333333333,1257.0
4,18,9216,2002,-44.23760747909546,272,0.00244369871870731,-0.033456288278102875,-0.02273647833499126,0.0012800097465515137,0.220947265625,0.015491579,1.009071946144104,0.0004092704424510632,0.2,-2.400803,1257.0
4,19,9728,1995,-44.27144634723663,288,0.026262110972311348,-0.02408280223608017,-0.022417188447434455,0.00038051605224609375,0.203857421875,0.016351799,1.0102757215499878,0.0004092704424510632,0.2,-2.400803,1257.0
5,20,10240,1988,-44.27311432361603,304,0.0030892625836713705,-0.015756787732243538,-0.02223853145551402,-0.0018810033798217773,0.21435546875,0.016115386,1.0087336301803589,0.0004092704424510632,0.2,-2.3770292499999996,1257.0
5,21,10752,1986,-44.20814895629883,320,0.03356016334146261,-0.011667290702462196,-0.021869946009246632,0.002051055431365967,0.25341796875,0.022655271,1.0068480968475342,0.0004092704424510632,0.2,-2.3770292499999996,1257.0
5,22,11264,1982,-44.16668152809143,336,0.0032528924057260156,-0.04444203898310661,-0.0296615629340522,-0.06727480888366699,0.275390625,0.018978648,1.0058664083480835,0.0004092704424510632,0.2,-2.3770292499999996,1257.0
5,23,11776,1977,-44.15682363510132,352,0.002019475072302157,-0.04606345668435097,-0.030561421357560903,0.002407073974609375,0.274658203125,0.019045915,1.0063945055007935,0.0004092704424510632,0.2,-2.3929465555555556,1257.0
6,24,12288,1971,-44.159045338630676,368,0.04205698403529823,-0.0073333196341991425,-0.027784087986219674,0.00163954496383667,0.29638671875,0.028290743,1.0056357383728027,0.0004092704424510632,0.2,-2.3929465555555556,1257.0
6,25,12800,1967,-44.12930691242218,384,0.004841689471504651,-0.03726095333695412,-0.028521787826321088,-0.014378905296325684,0.25732421875,0.01743584,1.0045133829116821,0.0004092704424510632,0.2,-2.4005865999999996,1257.0
6,26,13312,1965,-44.083237290382385,400,0.05230949365068227,-0.0010197050869464874,-0.022462381719378754,0.001972198486328125,0.27197265625,0.026075985,1.0025486946105957,0.0004092704424510632,0.2,-2.4005865999999996,1257.0
7,27,13824,1962,-44.01865065097809,416,0.003211710776668042,-0.049348652362823486,-0.03216899692779407,-0.06272768974304199,0.288330078125,0.02128635,1.0009183883666992,0.0004092704424510632,0.2,-2.4005865999999996,1257.0
7,28,14336,1950,-43.984211802482605,432,0.002294309131684713,-0.028373971581459045,-0.02312753345904639,0.0021363496780395508,0.2100830078125,0.013714241,1.0007706880569458,0.0004092704424510632,0.2,-2.4064931818181816,1257.0
7,29,14848,1941,-44.01349353790283,448,0.01261611041991273,-0.021900029852986336,-0.022175801437697373,0.0027063488960266113,0.2938232421875,0.02582536,1.0027252435684204,0.0004092704424510632,0.2,-2.4064931818181816,1257.0
7,30,15360,1933,-44.05694317817688,464,0.00381002312497003,-0.025033460929989815,-0.019380034354981035,-0.009711861610412598,0.173828125,0.013862984,1.002800703048706,0.0004092704424510632,0.2,-2.403517333333333,1257.0
