time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/entropy_loss,train/n_updates,train/value_loss,train/loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/approx_kl,train/std,train/learning_rate,train/clip_range,rollout/ep_rew_mean,rollout/ep_len_mean
0,1,512,4251,,,,,,,,,,,,,
0,2,1024,2526,-43.96072220802307,16,0.12424544351233635,-0.042910877615213394,-0.033318095782306045,-0.452101469039917,0.2635498046875,0.012805359,0.9984981417655945,0.0004092704424510632,0.2,,
0,3,1536,2201,-43.94020617008209,32,0.0036668751417892054,-0.04262016341090202,-0.030054848873987794,0.0065062642097473145,0.2979736328125,0.018413978,0.9987155795097351,0.0004092704424510632,0.2,-2.303127,1257.0
0,4,2048,2060,-43.95197081565857,48,0.003719295702467207,-0.03593585640192032,-0.036083001585211605,0.008127570152282715,0.3282470703125,0.028699165,0.9990039467811584,0.0004092704424510632,0.2,-2.303127,1257.0
1,5,2560,2001,-43.94280731678009,64,0.0032239186293736566,-0.03464464098215103,-0.022412980084482115,0.006054699420928955,0.2098388671875,0.015790736,0.998157262802124,0.0004092704424510632,0.2,-2.3720135,1257.0
1,6,3072,1931,-43.93338716030121,80,0.004074685522937216,-0.034562595188617706,-0.028790734009817243,-0.005856037139892578,0.314208984375,0.01934635,0.9989342093467712,0.0004092704424510632,0.2,-2.3720135,1257.0
1,7,3584,1876,-43.976136922836304,96,0.002386017578828614,-0.0405040979385376,-0.02965447527822107,0.013599932193756104,0.28271484375,0.017029064,1.0009477138519287,0.0004092704424510632,0.2,-2.3720135,1257.0
2,8,4096,1832,-44.02808475494385,112,0.004014431848190725,-0.03851722180843353,-0.022247328306548297,-0.00035750865936279297,0.203369140625,0.014153591,1.001924991607666,0.0004092704424510632,0.2,-2.4442726666666665,1257.0
2,9,4608,1801,-44.041463136672974,128,0.011625815212028101,-0.028986254706978798,-0.023293026722967625,-0.00023186206817626953,0.265869140625,0.017978646,1.0020557641983032,0.0004092704424510632,0.2,-2.4442726666666665,1257.0
2,10,5120,1774,-44.04335057735443,144,0.004882484725385439,-0.04907854646444321,-0.025934375793440267,0.004929959774017334,0.258544921875,0.020895334,1.0021896362304688,0.0004092704424510632,0.2,-2.4528195,1257.0
3,11,5632,1755,-44.02936387062073,160,0.01830551979946904,-0.020518198609352112,-0.024054062727373093,0.002923727035522461,0.23388671875,0.016913755,1.0010708570480347,0.0004092704424510632,0.2,-2.4528195,1257.0
3,12,6144,1737,-43.999189138412476,176,0.003027583341463469,-0.03923312947154045,-0.030068459338508546,0.0019573569297790527,0.266357421875,0.019301254,1.000998616218567,0.0004092704424510632,0.2,-2.4528195,1257.0
3,13,6656,1724,-44.00727570056915,192,0.0028047338273609057,-0.04539443925023079,-0.0260212809080258,-0.005400300025939941,0.242431640625,0.019236602,1.0017961263656616,0.0004092704424510632,0.2,-2.4473024,1257.0
4,14,7168,1728,-44.019492983818054,208,0.027016306470613927,-0.011374052613973618,-0.026011067027866375,0.0006744861602783203,0.2535400390625,0.020358533,1.0006351470947266,0.0004092704424510632,0.2,-2.4473024,1257.0
4,15,7680,1732,-43.99612605571747,224,0.0042643696287996136,-0.04662987217307091,-0.03066067400504835,0.003751218318939209,0.25390625,0.016572148,1.0018560886383057,0.0004092704424510632,0.2,-2.450882333333333,1257.0
4,16,8192,1738,-44.02786123752594,240,0.036774333217181265,-0.02863956056535244,-0.026072828302858397,0.0030044913291931152,0.2369384765625,0.014305881,1.0014197826385498,0.0004092704424510632,0.2,-2.450882333333333,1257.0
4,17,8704,1742,-43.99228882789612,256,0.0026804412627825513,-0.01989072561264038,-0.021721490833442658,-0.09527862071990967,0.20556640625,0.02119395,1.0000696182250977,0.0004092704424510632,0.2,-2.450882333333333,1257.0
