time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/entropy_loss,train/n_updates,train/value_loss,train/loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/approx_kl,train/std,train/learning_rate,train/clip_range,rollout/ep_rew_mean,rollout/ep_len_mean
0,1,512,4087,,,,,,,,,,,,,
0,2,1024,2272,-43.96558713912964,16,0.08609303854609607,-0.03810608386993408,-0.02992885932326317,-0.7070841789245605,0.218994140625,0.013930023,0.998348593711853,0.0004092704424510632,0.2,,
0,3,1536,1990,-43.89712393283844,32,0.004019655505544506,-0.04025876522064209,-0.03193955332972109,-0.041702985763549805,0.259765625,0.017868213,0.9958040714263916,0.0004092704424510632,0.2,-2.493963,1257.0
1,4,2048,1872,-43.80848431587219,48,0.06060613633599132,-0.0050851088017225266,-0.03030415569082834,-0.0017087459564208984,0.3125,0.02393275,0.9928375482559204,0.0004092704424510632,0.2,-2.493963,1257.0
1,5,2560,1810,-43.72978401184082,64,0.0032790102195576765,-0.04147563874721527,-0.02445853571407497,-0.06111288070678711,0.2242431640625,0.014850799,0.990990936756134,0.0004092704424510632,0.2,-2.4176469999999997,1257.0
1,6,3072,1767,-43.69244086742401,80,0.0633246935904026,-0.005789600312709808,-0.0237963912950363,0.0015263557434082031,0.2847900390625,0.020281456,0.9905315637588501,0.0004092704424510632,0.2,-2.4176469999999997,1257.0
2,7,3584,1738,-43.679855823516846,96,0.0020950437792635057,-0.04006639122962952,-0.025346541864564642,0.08010399341583252,0.249267578125,0.015824137,0.9900044202804565,0.0004092704424510632,0.2,-2.4176469999999997,1257.0
2,8,4096,1718,-43.656168937683105,112,0.00425843326956965,-0.04147815331816673,-0.029890440840972587,-0.0022575855255126953,0.290771484375,0.017909925,0.9890943765640259,0.0004092704424510632,0.2,-2.5006506666666666,1257.0
2,9,4608,1702,-43.619383096694946,128,0.0761948850704357,-0.00894026830792427,-0.02689983806340024,0.004468262195587158,0.2723388671875,0.017433267,0.9876389503479004,0.0004092704424510632,0.2,-2.5006506666666666,1257.0
3,10,5120,1690,-43.59423792362213,144,0.00474280581693165,-0.02221410535275936,-0.022709627359290607,-0.06131601333618164,0.2379150390625,0.015994571,0.9885547757148743,0.0004092704424510632,0.2,-2.472053,1257.0
