train/learning_rate,rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,train/critic_loss,train/actor_loss,time/fps,train/ent_coef,time/episodes,time/total_timesteps,train/ent_coef_loss,time/time_elapsed
0.0008459126528049375,-4.031761,4931,1258.0,2.058134078979492,-122.72565460205078,27,0.017409291118383408,4,5032,-177.8133087158203,180
0.0008459126528049375,-3.092741125,9963,1258.0,4.583530902862549,-131.76828002929688,27,0.0013398940209299326,8,10064,-14.016066551208496,363
0.0008459126528049375,-2.4590575833333332,14995,1258.0,11.985496520996094,-127.27652740478516,27,0.0011818372877314687,12,15096,4.056069374084473,548
0.0008459126528049375,-2.0796839375,20027,1258.0,6.133054733276367,-112.71036529541016,27,0.0015378172975033522,16,20128,6.471667766571045,729
0.0008459126528049375,-1.91773735,25059,1258.0,6.685392379760742,-95.11012268066406,27,0.0009943833574652672,20,25160,-3.6285722255706787,5
0.0008459126528049375,-1.7510289166666666,30091,1258.0,1.435359239578247,-96.7822036743164,27,0.0011226838687434793,24,30192,-2.2760062217712402,191
0.0008459126528049375,-1.6234036785714285,35123,1258.0,1.9363198280334473,-94.87358093261719,27,0.0005529161426238716,28,35224,-33.80073547363281,377
0.0008459126528049375,-1.5406917812499998,40155,1258.0,13.783279418945312,-84.9447021484375,27,0.0006413899827748537,32,40256,7.453624248504639,563
0.0008459126528049375,-1.4882888055555554,45187,1258.0,11.197712898254395,-72.26310729980469,27,0.0012223882367834449,36,45288,177.71780395507812,748
0.0008459126528049375,-1.471989925,50219,1258.0,6.145544052124023,-65.81214904785156,27,0.00043898943113163114,40,50320,4.400482177734375,11
0.0008459126528049375,-1.4236423636363638,55251,1258.0,9.126399993896484,-62.36076736450195,27,0.0007463051006197929,44,55352,-16.689239501953125,197
0.0008459126528049375,-1.384403625,60283,1258.0,4.294988632202148,-57.80522155761719,27,0.0015593314310535789,48,60384,31.574993133544922,381
0.0008459126528049375,-1.3546076346153844,65315,1258.0,11.048770904541016,-52.71324157714844,27,0.0005444264970719814,52,65416,-8.217870712280273,565
0.0008459126528049375,-1.3150379821428568,70347,1258.0,13.65168285369873,-46.353919982910156,27,0.0011910742614418268,56,70448,65.20550537109375,750
0.0008459126528049375,-1.2925826166666665,75379,1258.0,5.757451057434082,-44.845703125,29,0.0009808161994442344,60,75480,-20.41119384765625,16
