algo,arm,cash_eta1,cash_eta3,cash_eta7,vol_eta1,vol_eta3,vol_eta7,mdd_eta1,mdd_eta3,mdd_eta7,cash_monotone_up,vol_monotone_down,mdd_monotone_down,cash_sd_eta1,cash_sd_eta3,cash_sd_eta7,cash_rise_eta1_eta7,cash_rise_band,cash_rise_exceeds_band,cash_rise_seed_mean,cash_rise_seed_sd,n_seeds,n_seeds_cash_monotone,n_seeds_cash_rising,comp_dist_eta1_eta3,comp_dist_eta3_eta7,comp_dist_eta1_eta7,seed_ref_eta1,seed_ref_eta3,seed_ref_eta7,bench_eta1_eta3,bench_eta3_eta7,bench_eta1_eta7,composition_stable,supported
SAC,M1,0.04921516464964447,0.053190523760463404,0.0616126333848323,0.15704300957389308,0.14846665795474318,0.1583646670888532,0.27535002743468534,0.19032339136921958,0.21513478974231864,True,False,False,0.028394583841628386,0.024253137146696902,0.025578169504571712,0.012397468735187829,0.03821642509110273,False,-0.012298154065762528,0.02800843608174643,5,1,2,0.36311142405655233,0.3337460307171465,0.2564811855559581,0.40492622126779737,0.46339738324469765,0.39690466987534667,0.4341618022562475,0.43015102656002213,0.400915445571572,True,True
SAC,M2,0.05766511512298532,0.008546896249455017,0.02852068814909346,0.14891984833856736,0.15367144410785463,0.161484179801508,0.24671893330063513,0.27457275210840687,0.18428470533567315,False,False,False,0.00853384717426315,0.02992772804057063,0.01974711616048429,-0.02914442697389186,0.021512209190349067,False,-0.0031936006041227262,0.020196232944106274,5,1,2,0.33003274634243884,0.33265544188731105,0.38970681707704946,0.3705315019245674,0.37571058840251836,0.3917735265416501,0.3731210451635429,0.38374205747208423,0.38115251423310875,False,False
SAC,M3,0.014282829156333124,0.031354512859013785,0.03218683417723188,0.16930086308344355,0.1645957828651653,0.15966709909690863,0.2654882911841724,0.24096990182789477,0.27407166201169686,True,True,False,0.013597423990922376,0.01822883723560907,0.01874280395143551,0.017904005020898756,0.023155617874521466,False,0.017945651819936015,0.025512336358114642,5,2,4,0.29959693050332986,0.3299883054925194,0.3363163486982812,0.3960749467681855,0.3460896001299413,0.3708687100578405,0.3710822734490634,0.3584791550938909,0.38347182841301297,True,True
SAC,M4,0.03958824278167314,0.015120427999106342,0.035567309001971886,0.15476174825747363,0.1581665354884961,0.14827951300053996,0.24174889850271505,0.1832226549791574,0.1772029465756273,False,False,True,0.02207771101020581,0.02238215294584192,0.022806024857324386,-0.004020933779701252,0.03174177205581095,False,0.0037264345552040336,0.02561308510361258,5,0,3,0.4047284264240174,0.3949438906307321,0.37675019972339235,0.37982650868409973,0.33107326068414544,0.34040734844439835,0.3554498846841226,0.3357403045642719,0.36011692856424904,False,False
SAC,M5,0.019630021924297896,0.04302319287221712,0.04211576194364273,0.15465347264962068,0.15125671233878654,0.14903545106069288,0.1827120947488267,0.20886817469375812,0.20291806490117945,False,True,False,0.02873000278357517,0.02214107770071169,0.02513079706636628,0.022485740019344832,0.038170276670927095,False,-0.00984835461728355,0.03535514223700987,5,0,3,0.3513240245841527,0.3850398777211074,0.35125710235906293,0.36324187709443334,0.34707623861089393,0.3474734454585247,0.35515905785266366,0.3472748420347093,0.35535766127647905,False,False
SAC,M6,0.05011235982065465,0.050351808565042414,0.0495759188812129,0.161684192726076,0.158004911680976,0.14834247990511334,0.23553981352310135,0.266082208438528,0.22414363328733242,False,True,False,0.018046794166892362,0.013206292001883007,0.009138180486611074,-0.0005364409394417527,0.020228522494439866,False,0.004533709554461326,0.02611852224715263,5,2,3,0.33028327392459955,0.32853529825179195,0.277529924065995,0.3706470327046016,0.3470995896317913,0.34720867138651246,0.35887331116819643,0.3471541305091519,0.358927852045557,True,False
