strategy,period,seed,val_cum_log_return,selected,test_cum_log_return
M1_eta1.0,2021,0,0.14280707156944872,False,
M1_eta1.0,2021,1,0.17998319695726905,False,
M1_eta1.0,2021,2,0.19438186268333235,False,
M1_eta1.0,2021,3,0.19889291256485375,True,0.17863726641218547
M1_eta1.0,2021,4,0.1553270907594623,False,
M1_eta1.0,2022,0,0.1601863905194662,False,
M1_eta1.0,2022,1,0.1523516245323808,False,
M1_eta1.0,2022,2,0.16729320909026785,False,
M1_eta1.0,2022,3,0.17348506729348434,False,
M1_eta1.0,2022,4,0.22141946363833542,True,-0.022728203854210177
M1_eta1.0,2023,0,-0.036257042924898564,False,
M1_eta1.0,2023,1,-0.07293588710339288,False,
M1_eta1.0,2023,2,-0.076598708995823,False,
M1_eta1.0,2023,3,-0.0762806284609304,False,
M1_eta1.0,2023,4,-0.030361451226101233,True,0.09166667549925658
M1_eta1.0,2024,0,0.22507729581238473,False,
M1_eta1.0,2024,1,0.17282196671730976,False,
M1_eta1.0,2024,2,0.22862483448808082,True,0.2345992635784368
M1_eta1.0,2024,3,0.2274449629784848,False,
M1_eta1.0,2024,4,0.10704048601743835,False,
M1_eta1.0,2025,0,0.14198843992002055,False,
M1_eta1.0,2025,1,0.14609203971997892,False,
M1_eta1.0,2025,2,0.2579428534174948,False,
M1_eta1.0,2025,3,0.2598572457229169,True,0.14279978156562811
M1_eta1.0,2025,4,0.20082555741790625,False,
M1_eta1.0,2026,0,0.16783645396741614,True,0.10329423026282651
M1_eta1.0,2026,1,0.15270801318152372,False,
M1_eta1.0,2026,2,0.1544741835776944,False,
M1_eta1.0,2026,3,0.16502175840519034,False,
M1_eta1.0,2026,4,0.13554099072328618,False,
M1_eta3.0,2021,0,0.14439551357983232,False,
M1_eta3.0,2021,1,0.17597538391978534,True,0.16917160433402417
M1_eta3.0,2021,2,0.1938291600695618,False,
M1_eta3.0,2021,3,0.1925199029914289,False,
M1_eta3.0,2021,4,0.14081116233482105,False,
M1_eta3.0,2022,0,0.17562954370486744,False,
M1_eta3.0,2022,1,0.1492746495524831,False,
M1_eta3.0,2022,2,0.16466068982483845,False,
M1_eta3.0,2022,3,0.16747013371665945,False,
M1_eta3.0,2022,4,0.20060583123147185,True,-0.030352482802393846
M1_eta3.0,2023,0,-0.11646966938607262,False,
M1_eta3.0,2023,1,-0.060176315681911396,True,0.18599012866222375
M1_eta3.0,2023,2,-0.04855765558217735,False,
M1_eta3.0,2023,3,-0.09493702460905874,False,
M1_eta3.0,2023,4,-0.05358930402877247,False,
M1_eta3.0,2024,0,0.2203820308094031,True,0.21260186992557287
M1_eta3.0,2024,1,0.1611210972074606,False,
M1_eta3.0,2024,2,0.21351848529131856,False,
M1_eta3.0,2024,3,0.18402611685687872,False,
M1_eta3.0,2024,4,0.10479557408203413,False,
M1_eta3.0,2025,0,0.14923439959969598,False,
M1_eta3.0,2025,1,0.14028097207320947,False,
M1_eta3.0,2025,2,0.26117255956986096,True,0.2099559946274716
M1_eta3.0,2025,3,0.25882973116585684,False,
M1_eta3.0,2025,4,0.2033672537731233,False,
M1_eta3.0,2026,0,0.1789408603979451,True,0.11633004423993877
M1_eta3.0,2026,1,0.14604016251117577,False,
M1_eta3.0,2026,2,0.14933595424554447,False,
M1_eta3.0,2026,3,0.1604453990622744,False,
M1_eta3.0,2026,4,0.13493814229433043,False,
M1_eta7.0,2021,0,0.14929813803778452,False,
M1_eta7.0,2021,1,0.1675770813063442,True,0.167674223231019
M1_eta7.0,2021,2,0.18724591719685876,False,
M1_eta7.0,2021,3,0.20067844597843398,False,
M1_eta7.0,2021,4,0.14910594816696335,False,
M1_eta7.0,2022,0,0.15562922858385128,False,
M1_eta7.0,2022,1,0.15822713685132214,False,
M1_eta7.0,2022,2,0.17319213541389153,False,
M1_eta7.0,2022,3,0.18053307963778542,False,
M1_eta7.0,2022,4,0.21135894691064164,True,-0.020054084212077765
M1_eta7.0,2023,0,-0.12872373585556496,False,
M1_eta7.0,2023,1,-0.11622871008268548,False,
M1_eta7.0,2023,2,-0.08488999048720339,False,
M1_eta7.0,2023,3,-0.12497935605308999,False,
M1_eta7.0,2023,4,-0.07077952407897523,True,0.13941812755719135
M1_eta7.0,2024,0,0.3103090021481212,True,0.26796591399606845
M1_eta7.0,2024,1,0.23580884374661407,False,
M1_eta7.0,2024,2,0.22932011903446303,False,
M1_eta7.0,2024,3,0.19142565874850545,False,
M1_eta7.0,2024,4,0.08456040876130938,False,
M1_eta7.0,2025,0,0.17381895061677288,False,
M1_eta7.0,2025,1,0.14809463687518756,False,
M1_eta7.0,2025,2,0.2431885306447799,False,
M1_eta7.0,2025,3,0.2688671198999081,True,0.1497565281155977
M1_eta7.0,2025,4,0.17013217543645248,False,
M1_eta7.0,2026,0,0.16369340348396905,False,
M1_eta7.0,2026,1,0.14180774823635625,True,0.059406343956429075
M1_eta7.0,2026,2,0.15616440917445287,False,
M1_eta7.0,2026,3,0.14567185467640545,False,
M1_eta7.0,2026,4,0.12403234387449891,False,
M2_eta1.0,2021,0,0.21275454752812253,False,
M2_eta1.0,2021,1,0.22712016831235024,True,0.2465102098329061
M2_eta1.0,2021,2,0.16275900914250002,False,
M2_eta1.0,2021,3,0.18695330072917024,False,
M2_eta1.0,2021,4,0.1848429617509551,False,
M2_eta1.0,2022,0,0.17574891329226155,False,
M2_eta1.0,2022,1,0.17283678361122454,False,
M2_eta1.0,2022,2,0.2739126272685094,True,-0.04717344891051553
M2_eta1.0,2022,3,0.23033353492155995,False,
M2_eta1.0,2022,4,0.19417310982732708,False,
M2_eta1.0,2023,0,-0.040133918079538804,True,0.13685736434779497
M2_eta1.0,2023,1,-0.1232568937692447,False,
M2_eta1.0,2023,2,-0.12336277709225299,False,
M2_eta1.0,2023,3,-0.16190195517840283,False,
M2_eta1.0,2023,4,-0.11116733411960941,False,
M2_eta1.0,2024,0,0.18795922470765383,False,
M2_eta1.0,2024,1,0.20756610033184575,False,
M2_eta1.0,2024,2,0.2313890457503422,True,0.2350194749780622
M2_eta1.0,2024,3,0.1904363075158365,False,
M2_eta1.0,2024,4,0.15783162034679182,False,
M2_eta1.0,2025,0,0.1869471171296362,False,
M2_eta1.0,2025,1,0.20189209837441102,False,
M2_eta1.0,2025,2,0.24712322699672062,True,0.13548326233041408
M2_eta1.0,2025,3,0.18077819291052205,False,
