strategy,period,n_days,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown
M2_eta3.0,2026,113,0.08847774672265114,0.20812220066964726,0.13468630021142852,1.2042989227116505,0.08688246046526697
M2_eta3.0,2021-2026,1368,1.0296035127336425,0.13927450841586242,0.14674974177950173,0.7410517328404591,0.20897727935470964
M2_eta7.0,2021,252,0.20973774002115642,0.20973774002115642,0.09726587952863781,2.003204233973832,0.04040820168226828
M2_eta7.0,2022,251,-0.06346725274634288,-0.06371187892797336,0.224647840052894,-0.2699873625550916,0.21815824222962335
M2_eta7.0,2023,250,0.10539335857048114,0.10627980820635519,0.10380508582340471,0.53883591414305,0.08842267692303035
M2_eta7.0,2024,252,0.25787637039284317,0.25787637039284306,0.1128563376120263,1.6512872567795738,0.07531678200912778
M2_eta7.0,2025,250,0.18202644142629623,0.18360886469208904,0.16509663199182958,0.8576925477378782,0.16403229460948351
M2_eta7.0,2026,113,0.07484403794968703,0.1746355255915495,0.12627625044804835,1.0531801742106641,0.08500534800399394
M2_eta7.0,2021-2026,1368,1.001435738292821,0.13634525815564924,0.14688210711642444,0.7229635518069729,0.21815824222962324
M3_eta1.0,2021,252,0.21457801818557534,0.21457801818557543,0.11364488624121391,1.7648605965032655,0.053973735885999644
M3_eta1.0,2022,251,-0.08999001646251999,-0.09033183940423206,0.22369187711136768,-0.4010073091141229,0.22842076014309845
M3_eta1.0,2023,250,0.15477049528508235,0.1561006475317841,0.10435290059424665,0.9588655422586353,0.0797151913508923
M3_eta1.0,2024,252,0.24171268408261565,0.2417126840826156,0.1074695144177615,1.6079909780329251,0.05210101670309668
M3_eta1.0,2025,250,0.1562738603840147,0.1576177929920659,0.1664715977151313,0.7184110316522517,0.164898061183667
M3_eta1.0,2026,113,0.07470249800158621,0.17429060141694142,0.1300869506725127,1.0237841862771027,0.08805742674240144
M3_eta1.0,2021-2026,1368,0.9694154304910936,0.13297424012825787,0.14866536538253072,0.6960793896518463,0.22842076014309845
M3_eta3.0,2021,252,0.21003982183549527,0.2100398218354953,0.11298012504232617,1.7414260224998432,0.050957473720268216
M3_eta3.0,2022,251,-0.09255752414043365,-0.09290859343689017,0.21372541724351798,-0.44317239091624366,0.21987399877203379
M3_eta3.0,2023,250,0.13155109274019475,0.13267042722158706,0.10416822315943317,0.7637136532102873,0.08395380435936134
M3_eta3.0,2024,252,0.21953381130832378,0.21953381130832383,0.10610674559272414,1.4572548501357718,0.058983985692066275
M3_eta3.0,2025,250,0.14789937017858928,0.14916674078627468,0.16548297281469423,0.6774025372285859,0.1626560397921827
M3_eta3.0,2026,113,0.08637892051903726,0.20293330894774342,0.12649256959514554,1.239890082792222,0.08846838015154981
M3_eta3.0,2021-2026,1368,0.8896089126192605,0.12437354436069747,0.14518902604018225,0.656682425890947,0.2198739987720338
M3_eta7.0,2021,252,0.12968160275240756,0.12968160275240748,0.07025252519676968,1.7661702162235668,0.02972611301859849
M3_eta7.0,2022,251,-0.09970518480066293,-0.10008184169473455,0.21344643818556253,-0.48124635990174464,0.22827866617643683
M3_eta7.0,2023,250,0.1579036223079933,0.15926251170002392,0.11214404415788679,0.9240956047689353,0.07504180321087461
M3_eta7.0,2024,252,0.21513423831056214,0.2151342383105621,0.10152370448880298,1.4827097204215114,0.05147722398359836
M3_eta7.0,2025,250,0.13530733094458866,0.1364605110113135,0.15687327709074553,0.6350062426057579,0.1510993378031829
M3_eta7.0,2026,113,0.0794990432765287,0.18601063606544543,0.11275280425172597,1.2508380531901162,0.07358638902080146
M3_eta7.0,2021-2026,1368,0.7537721925755356,0.10902778748058517,0.13777648614601934,0.5846970789096675,0.22827866617643677
M4_eta1.0,2021,252,0.3978941398862528,0.3978941398862528,0.14402528178495655,2.3965679313303796,0.05574417478545165
M4_eta1.0,2022,251,-0.13189963693354276,-0.13238870633806998,0.22701347261137497,-0.6002573594345624,0.2309976717598983
M4_eta1.0,2023,250,0.2150588527575253,0.2169538038128609,0.11684466373509843,1.3074046965617458,0.08146952485924705
M4_eta1.0,2024,252,0.2806958448171842,0.2806958448171841,0.11520270825923216,1.7760286489578812,0.060725128529958386
M4_eta1.0,2025,250,0.17963936115647197,0.18119948601649982,0.17201224415874747,0.817942312009305,0.17105758798714626
M4_eta1.0,2026,113,0.13265555558452405,0.3202099881769809,0.1536278666159859,1.6513114405023337,0.1017975689673063
M4_eta1.0,2021-2026,1368,1.5231010909867515,0.1858795876167949,0.15991509980837115,0.9434264216686848,0.2323757668793518
M4_eta3.0,2021,252,0.3136111208008494,0.3136111208008494,0.1397802003451963,2.0197260812480957,0.062339831126253166
M4_eta3.0,2022,251,-0.10462813750330563,-0.1050222860168265,0.21301562278977249,-0.5083858163227428,0.2075148520091837
M4_eta3.0,2023,250,0.1607631760383083,0.16214835309866293,0.11214459237560434,0.9463009055319104,0.0764533388958501
M4_eta3.0,2024,252,0.23063253065269754,0.2306325306526975,0.10596474582063974,1.5446149866024828,0.05692309208427053
M4_eta3.0,2025,250,0.19951235068791423,0.20125929683476618,0.16730802556097574,0.9369729669570415,0.1543907411109241
M4_eta3.0,2026,113,0.11434103367196544,0.2730767157559417,0.1333475302518747,1.6080420403974534,0.08969254158611183
M4_eta3.0,2021-2026,1368,1.2457691877516206,0.16071381494499382,0.15118125917177458,0.8470185907525518,0.21471439099580505
M4_eta7.0,2021,252,0.2606687458537399,0.26066874585374,0.12623089449683744,1.8960898100263894,0.05748275488477306
M4_eta7.0,2022,251,-0.09060901127041399,-0.0909530660483886,0.2084974527665923,-0.4491662569535075,0.19892020185169765
M4_eta7.0,2023,250,0.16162447316082804,0.16301757921425408,0.11693449359938236,0.9186391835300473,0.09859798099542125
M4_eta7.0,2024,252,0.24039081441482205,0.24039081441482213,0.1045151831903965,1.640223862802043,0.05876863573101097
M4_eta7.0,2025,250,0.20440064401898714,0.20619395301029364,0.1652191394073287,0.9716385134066856,0.16173353898569262
M4_eta7.0,2026,113,0.1416019156256325,0.3435778822704545,0.14516769044965155,1.859970771465981,0.09287972540919001
M4_eta7.0,2021-2026,1368,1.2712325051388305,0.16312699647283435,0.14874937993568485,0.8724430517181722,0.20424443786911425
M5_eta1.0,2021,252,0.2817574020793776,0.2817574020793776,0.12451086385730191,2.053947341811569,0.04904447193550523
M5_eta1.0,2022,251,-0.13677839027323654,-0.1372840824966598,0.23780524647344292,-0.586399558101873,0.26181606439292965
M5_eta1.0,2023,250,0.22245101362829342,0.22441690392659308,0.11872347659941869,1.3401038465588688,0.08321447172522908
M5_eta1.0,2024,252,0.2691637375570515,0.2691637375570515,0.11080349406591992,1.760412603962997,0.05528026857002118
M5_eta1.0,2025,250,0.2245305364072101,0.2265164481136399,0.1691397469730343,1.05179556622596,0.16600053412018057
M5_eta1.0,2026,113,0.10684331726960625,0.2540533419825044,0.116562134487625,1.6925215709868624,0.07485098706343489
M5_eta1.0,2021-2026,1368,1.3266605435179972,0.16830459162730227,0.15623511046230507,0.8664329352964578,0.2618160643929295
M5_eta3.0,2021,252,0.23065557326083053,0.23065557326083042,0.11927050905837346,1.7973654152308738,0.05687854492084312
M5_eta3.0,2022,251,-0.08706954304169412,-0.08740081328797278,0.22677093977729199,-0.37837591445078544,0.22825403170222572
