strategy,period,n_days,avg_oneway_turnover,portfolio_entropy,risky_entropy,avg_largest_position,risky_largest_position,avg_cash_share,max_drawdown,cvar_5
M1_eta1.0,2021,252,0.006329434230651233,2.509311713826216,2.503846091369679,0.123637677790436,0.12376319257114958,0.0010141527388391003,0.05443647019041582,-0.01749890499856541
M1_eta1.0,2022,251,0.00617220491654041,1.972238669541084,1.9618811795740396,0.2165654109566342,0.2169919588494443,0.0019657313343389993,0.27535002743468545,-0.029483639671880692
M1_eta1.0,2023,250,0.004196102739534476,1.8342462825004087,1.6953293670656076,0.24930384810771933,0.2725181575733676,0.24930384810771933,0.08559640996141869,-0.013476782003564372
M1_eta1.0,2024,252,0.007195760006175044,2.0402238800063666,2.040223851134691,0.1903491534673743,0.19034915375243272,1.4975550737923947e-09,0.0756635580025437,-0.01855890747802366
M1_eta1.0,2025,250,0.006996146706343022,2.0234765813952635,2.023476564808913,0.1984970713487391,0.19849707151434173,8.342826272209176e-10,0.1836803843489171,-0.027587095145613607
M1_eta1.0,2026,113,0.010429318487252388,2.4767145118361955,2.4069563901799573,0.12544822930824795,0.13035250295158218,0.03762316436037821,0.07268702265741438,-0.01642276947555068
M1_eta1.0,2021-2026,1368,0.0065308097458046475,2.1095134002280926,2.075457132049087,0.18977228026537282,0.19452114989050392,0.04921516464964447,0.27535002743468534,-0.022646260923862013
M1_eta3.0,2021,252,0.005514653093272539,2.614565630515763,2.5485888285006215,0.1104212286507072,0.12342660707024751,0.1104212286507072,0.05274554468739999,-0.014533777758604868
M1_eta3.0,2022,251,0.006188034956612745,2.0067996166405573,2.006799548915581,0.24860886869357166,0.24860886960792558,3.677880993065383e-09,0.1903233913692195,-0.02878865868518373
M1_eta3.0,2023,250,0.005073306329044409,2.049622143826834,1.9245468444466183,0.179753919804237,0.1936026387235322,0.179753919804237,0.0708063587427149,-0.01485336292400211
M1_eta3.0,2024,252,0.006011628317757529,2.1217763207451976,2.1217759658045487,0.2115827664091751,0.21158277095100977,2.1465994710401642e-08,0.06012759164579758,-0.01403546301304965
M1_eta3.0,2025,250,0.007445956104771438,2.2851647491191325,2.2851647326015683,0.158836800443058,0.15883680057684882,8.423159592143476e-10,0.1687895613374709,-0.025575709722772774
M1_eta3.0,2026,113,0.01065234451385968,2.132671246189118,2.1326711828327016,0.17201319173475244,0.17201319232860698,3.452377603817543e-09,0.08544493354013284,-0.014703644875351612
M1_eta3.0,2021-2026,1368,0.006426425605416287,2.2090302993789503,2.1740192637900995,0.18101681544227163,0.18594337725963012,0.053190523760463404,0.19032339136921958,-0.020907376243942042
M1_eta7.0,2021,252,0.005470906324637922,2.1460930759290817,2.022963208756892,0.21310416864174586,0.24553194905602668,0.13207153097164187,0.04478549398015802,-0.015688354418574146
M1_eta7.0,2022,251,0.006627893768772928,2.177396768392865,2.108943803985128,0.1964465542540739,0.2020742990385553,0.027849879035866203,0.21513478974231864,-0.032501330454719715
M1_eta7.0,2023,250,0.005373330397371261,2.0061862792799663,1.870007339054059,0.17591825304613987,0.20486672333258976,0.17591825304613987,0.06579552215489906,-0.014238911748450529
M1_eta7.0,2024,252,0.0062062325329100484,1.9992952753808162,1.9992952480619273,0.1910947201483649,0.19109472041773107,1.409594799439725e-09,0.06860513292116074,-0.016072709215652157
M1_eta7.0,2025,250,0.00669807247529344,2.600523790860772,2.60052378514454,0.10996644081867936,0.10996644084950093,2.8028025427315736e-10,0.18871475301154678,-0.026424897825457653
M1_eta7.0,2026,113,0.011494106666812935,2.3679646754500223,2.36592709183596,0.16881930457258584,0.16887037417296488,0.00030241894488049995,0.09138110506721907,-0.018155898944675213
M1_eta7.0,2021-2026,1368,0.0065226060669445396,2.200600862030512,2.140304509024651,0.17669149121037095,0.18899211483416087,0.0616126333848323,0.21513478974231864,-0.022609733769811804
M2_eta1.0,2021,252,0.006363043001797294,2.438434022989816,2.4384337375523035,0.11795920204243152,0.11795920409174145,1.7373039068435023e-08,0.07207593062822067,-0.018137200532188476
M2_eta1.0,2022,251,0.006332149199668991,2.338128119497906,2.240548473499679,0.12186647568328558,0.1353458748090669,0.12186647568328558,0.23302390845701787,-0.02783998832611112
M2_eta1.0,2023,250,0.005929316881526971,2.1320572631859536,2.1320501028705006,0.163630011648799,0.16363009972314788,5.38252735770274e-07,0.09927053208911872,-0.015933003284133114
M2_eta1.0,2024,252,0.007287954893843439,2.2229062136854565,2.1163390226988654,0.18600527416336787,0.20051663698609593,0.0723698693576939,0.05897430450046697,-0.015958283564932105
M2_eta1.0,2025,250,0.006263476334610083,2.3113192501598046,2.207361685195551,0.1500019770102541,0.16808472187691065,0.107581133280505,0.16275504669816557,-0.024057961436945878
M2_eta1.0,2026,113,0.010786775011746305,2.797985358251681,2.747181325631206,0.0780296199542339,0.08027794427158498,0.02800675002021519,0.1009780188158317,-0.02027404840680334
M2_eta1.0,2021-2026,1368,0.006795705262558463,2.3308072890753087,2.2700766368746734,0.1421146766227762,0.15075134475979132,0.05766511512298532,0.24671893330063513,-0.02135436059342326
M2_eta3.0,2021,252,0.00609024927111029,2.0125932491489915,2.0125932218499494,0.1765324275056347,0.1765324277544634,1.4095348675496885e-09,0.11204864881054034,-0.019291165594617132
