algo,eta,hypothesis,arm,baseline,measure,value_arm,value_baseline,difference,seed_mean_arm,seed_mean_baseline,difference_seed_mean,seed_sd_arm,seed_sd_baseline,seed_band,exceeds_seed_band,n_days,exploratory
PPO,1.0,H1,M3,M1,max_drawdown,0.22842076014309845,0.1962153000995953,0.03220546004350314,0.22919396640518067,0.18913338896342555,0.04006057744175512,0.0201567443842546,0.02161403882707564,0.029554373933320135,True,1368,False
PPO,1.0,H1,M3,M1,cvar_5,-0.021503189163164637,-0.020498302421546027,-0.0010048867416186102,-0.020426215474524605,-0.02001118614439127,-0.00041502933013333465,0.0015551683942240935,0.0018822964273645976,0.0024416364542787844,False,1368,False
PPO,1.0,H1,M4,M1,max_drawdown,0.2323757668793518,0.1962153000995953,0.036160466779756484,0.21456301720032975,0.18913338896342555,0.0254296282369042,0.022317845838264183,0.02161403882707564,0.031068519714960018,True,1368,False
PPO,1.0,H1,M4,M1,cvar_5,-0.022654082699125187,-0.020498302421546027,-0.0021557802775791605,-0.0207532311469639,-0.02001118614439127,-0.0007420450025726298,0.0012024016775089258,0.0018822964273645976,0.002233564334096022,False,1368,False
PPO,1.0,H1,M5,M1,max_drawdown,0.2618160643929295,0.1962153000995953,0.06560076429333417,0.2358651826298869,0.18913338896342555,0.04673179366646135,0.022922073991624894,0.02161403882707564,0.03150536701096909,True,1368,False
PPO,1.0,H1,M5,M1,cvar_5,-0.022450443843987783,-0.020498302421546027,-0.0019521414224417562,-0.02130802131402835,-0.02001118614439127,-0.0012968351696370783,0.0008825796580711679,0.0018822964273645976,0.002078938838280373,False,1368,False
PPO,1.0,H1,M6,M1,max_drawdown,0.2884298363554917,0.1962153000995953,0.09221453625589637,0.25001066887094076,0.18913338896342555,0.06087727990751521,0.028847114063936603,0.02161403882707564,0.03604611857379519,True,1368,False
PPO,1.0,H1,M6,M1,cvar_5,-0.02435473990040433,-0.020498302421546027,-0.0038564374788583045,-0.02167801054186579,-0.02001118614439127,-0.0016668243974745194,0.0015716083768688588,0.0018822964273645976,0.002452140438619676,True,1368,False
PPO,1.0,H3,M3,M2,max_drawdown,0.22842076014309845,0.21185375715895374,0.016567002984144708,0.22919396640518067,0.22955267925230177,-0.0003587128471211065,0.0201567443842546,0.01719784962619472,0.02649642194594178,False,1368,False
PPO,1.0,H3,M3,M2,cvar_5,-0.021503189163164637,-0.02142555301846109,-7.763614470354674e-05,-0.020426215474524605,-0.02062604983744896,0.00019983436292435666,0.0015551683942240935,0.0009154072971827432,0.0018045828476767035,False,1368,False
PPO,1.0,H4,M4,M3,max_drawdown,0.2323757668793518,0.22842076014309845,0.003955006736253347,0.21456301720032975,0.22919396640518067,-0.014630949204850918,0.022317845838264183,0.0201567443842546,0.0300729211589547,False,1368,False
PPO,1.0,H4,M4,M3,cvar_5,-0.022654082699125187,-0.021503189163164637,-0.0011508935359605503,-0.0207532311469639,-0.020426215474524605,-0.00032701567243929516,0.0012024016775089258,0.0015551683942240935,0.0019657869997712937,False,1368,False
PPO,1.0,H4,M5,M4,max_drawdown,0.2618160643929295,0.2323757668793518,0.029440297513577685,0.2358651826298869,0.21456301720032975,0.02130216542955715,0.022922073991624894,0.022317845838264183,0.0319923071837286,False,1368,False
PPO,1.0,H4,M5,M4,cvar_5,-0.022450443843987783,-0.022654082699125187,0.00020363885513740437,-0.02130802131402835,-0.0207532311469639,-0.0005547901670644485,0.0008825796580711679,0.0012024016775089258,0.0014915484058243963,False,1368,False
PPO,1.0,H4,M6,M5,max_drawdown,0.2884298363554917,0.2618160643929295,0.026613771962562205,0.25001066887094076,0.2358651826298869,0.014145486241053856,0.028847114063936603,0.022922073991624894,0.036845318100069316,False,1368,False
PPO,1.0,H4,M6,M5,cvar_5,-0.02435473990040433,-0.022450443843987783,-0.0019042960564165483,-0.02167801054186579,-0.02130802131402835,-0.000369989227837441,0.0015716083768688588,0.0008825796580711679,0.0018024704555374518,True,1368,False
PPO,1.0,SUPP,M2,M1,max_drawdown,0.21185375715895374,0.1962153000995953,0.01563845705935843,0.22955267925230177,0.18913338896342555,0.040419290288876225,0.01719784962619472,0.02161403882707564,0.02762123650714318,False,1368,False
PPO,1.0,SUPP,M2,M1,cvar_5,-0.02142555301846109,-0.020498302421546027,-0.0009272505969150635,-0.02062604983744896,-0.02001118614439127,-0.0006148636930576913,0.0009154072971827432,0.0018822964273645976,0.0020930863241168393,False,1368,False
PPO,3.0,H1,M3,M1,max_drawdown,0.2198739987720338,0.20955064973699167,0.010323349035042145,0.2198886977113194,0.19318978596221628,0.026698911749103105,0.019120020351828082,0.026235610251611356,0.03246355531251583,False,1368,True
PPO,3.0,H1,M3,M1,cvar_5,-0.020868637153519776,-0.02021571595651974,-0.0006529211970000351,-0.020120038216187318,-0.01992867679033412,-0.00019136142585319746,0.0014906500432256783,0.0020150196239539873,0.002506459980986807,False,1368,True
PPO,3.0,H1,M4,M1,max_drawdown,0.21471439099580505,0.20955064973699167,0.005163741258813387,0.20934276115405318,0.19318978596221628,0.016152975191836894,0.017485813493882178,0.026235610251611356,0.031528731639843786,False,1368,True
PPO,3.0,H1,M4,M1,cvar_5,-0.021633010614755446,-0.02021571595651974,-0.001417294658235705,-0.020517506640280243,-0.01992867679033412,-0.000588829849946123,0.0012475594849573957,0.0020150196239539873,0.002369959652278247,False,1368,True
PPO,3.0,H1,M5,M1,max_drawdown,0.22825403170222586,0.20955064973699167,0.01870338196523419,0.23733699732244432,0.19318978596221628,0.044147211360228034,0.014481462199015213,0.026235610251611356,0.029966981708139398,False,1368,True
PPO,3.0,H1,M5,M1,cvar_5,-0.021375999489665592,-0.02021571595651974,-0.001160283533145852,-0.021395996754053036,-0.01992867679033412,-0.0014673199637189153,0.0006796906673451628,0.0020150196239539873,0.0021265661259870995,False,1368,True
PPO,3.0,H1,M6,M1,max_drawdown,0.26218335204165677,0.20955064973699167,0.0526327023046651,0.239057063847735,0.19318978596221628,0.045867277885518726,0.01594630979067049,0.026235610251611356,0.030701661864050427,True,1368,True
PPO,3.0,H1,M6,M1,cvar_5,-0.022600244326230878,-0.02021571595651974,-0.002384528369711137,-0.021324593074353505,-0.01992867679033412,-0.001395916284019385,0.0009952923006209492,0.0020150196239539873,0.0022474231574394284,True,1368,True
PPO,3.0,H3,M3,M2,max_drawdown,0.2198739987720338,0.20897727935470964,0.010896719417324174,0.2198886977113194,0.2221784908503004,-0.0022897931389810056,0.019120020351828082,0.015065201479667145,0.02434205155440447,False,1368,True
PPO,3.0,H3,M3,M2,cvar_5,-0.020868637153519776,-0.021049413503260596,0.00018077634974082019,-0.020120038216187318,-0.020162704372458262,4.266615627094433e-05,0.0014906500432256783,0.0010299792534449262,0.0018118760481599407,False,1368,True
PPO,3.0,H4,M4,M3,max_drawdown,0.21471439099580505,0.2198739987720338,-0.0051596077762287584,0.20934276115405318,0.2198886977113194,-0.010545936557266211,0.017485813493882178,0.019120020351828082,0.025910014507852984,False,1368,True
PPO,3.0,H4,M4,M3,cvar_5,-0.021633010614755446,-0.020868637153519776,-0.0007643734612356699,-0.020517506640280243,-0.020120038216187318,-0.0003974684240929255,0.0012475594849573957,0.0014906500432256783,0.001943821550419657,False,1368,True
PPO,3.0,H4,M5,M4,max_drawdown,0.22825403170222586,0.21471439099580505,0.013539640706420802,0.23733699732244432,0.20934276115405318,0.02799423616839114,0.014481462199015213,0.017485813493882178,0.02270388559177346,False,1368,True
PPO,3.0,H4,M5,M4,cvar_5,-0.021375999489665592,-0.021633010614755446,0.0002570111250898531,-0.021395996754053036,-0.020517506640280243,-0.0008784901137727924,0.0006796906673451628,0.0012475594849573957,0.0014206984450555562,False,1368,True
PPO,3.0,H4,M6,M5,max_drawdown,0.26218335204165677,0.22825403170222586,0.03392932033943091,0.239057063847735,0.23733699732244432,0.0017200665252906921,0.01594630979067049,0.014481462199015213,0.02154060220517384,True,1368,True
