strategy,period,seed,val_cum_log_return,selected,test_cum_log_return
M1_eta1.0,2021,0,0.15723107920113708,False,
M1_eta1.0,2021,1,0.187433645257147,False,
M1_eta1.0,2021,2,0.17495315002109724,False,
M1_eta1.0,2021,3,0.15398126684579488,False,
M1_eta1.0,2021,4,0.29036353741039045,True,0.2448346143077005
M1_eta1.0,2022,0,0.24266300464042403,False,
M1_eta1.0,2022,1,0.16621923250228876,False,
M1_eta1.0,2022,2,0.13692309330388963,False,
M1_eta1.0,2022,3,0.2002956544778426,False,
M1_eta1.0,2022,4,0.2593634418668843,True,-0.12256510142990268
M1_eta1.0,2023,0,0.0733590790951478,False,
M1_eta1.0,2023,1,-0.03445282838392602,False,
M1_eta1.0,2023,2,0.14536984160490313,True,0.046934074315244045
M1_eta1.0,2023,3,0.1097016561873137,False,
M1_eta1.0,2023,4,0.11876537941874513,False,
M1_eta1.0,2024,0,0.09652195513104592,False,
M1_eta1.0,2024,1,0.25895213202932,False,
M1_eta1.0,2024,2,0.18389270742143343,False,
M1_eta1.0,2024,3,0.11798552397767414,False,
M1_eta1.0,2024,4,0.3116648476156767,True,0.2682025174527948
M1_eta1.0,2025,0,0.211825032091709,True,0.11723295009239407
M1_eta1.0,2025,1,0.14122922319358777,False,
M1_eta1.0,2025,2,0.14926860246147378,False,
M1_eta1.0,2025,3,0.1302831408398935,False,
M1_eta1.0,2025,4,0.1218409091415558,False,
M1_eta1.0,2026,0,0.0975436648339449,False,
M1_eta1.0,2026,1,0.06043004858414829,False,
M1_eta1.0,2026,2,0.09369872104925892,False,
M1_eta1.0,2026,3,0.11719147314209086,True,0.07559063318843734
M1_eta1.0,2026,4,0.10614373270389951,False,
M1_eta3.0,2021,0,0.2009298501168461,False,
M1_eta3.0,2021,1,0.19304724305455884,True,0.22869769879670546
M1_eta3.0,2021,2,0.05531647694229419,False,
M1_eta3.0,2021,3,0.14596874570965007,False,
M1_eta3.0,2021,4,0.08520128069952132,False,
M1_eta3.0,2022,0,0.13010002763656234,False,
M1_eta3.0,2022,1,0.15893060594058858,False,
M1_eta3.0,2022,2,0.15659999171397726,False,
M1_eta3.0,2022,3,0.1186480048758427,False,
M1_eta3.0,2022,4,0.20550043975457682,True,-0.0550832384224455
M1_eta3.0,2023,0,-0.10343959128846648,False,
M1_eta3.0,2023,1,-0.09277471290155938,False,
M1_eta3.0,2023,2,0.055292557561131474,True,0.062137708212731416
M1_eta3.0,2023,3,-0.06886873642828675,False,
M1_eta3.0,2023,4,0.029475985132050325,False,
M1_eta3.0,2024,0,0.09994885477355053,False,
M1_eta3.0,2024,1,0.1952967804841873,True,0.22779656189752884
M1_eta3.0,2024,2,0.1568630264439725,False,
M1_eta3.0,2024,3,0.1388122136526001,False,
M1_eta3.0,2024,4,0.03307933880307247,False,
M1_eta3.0,2025,0,0.2892883507657229,True,0.05498206421227683
