algo,eta,hypothesis,arm,baseline,measure,value_arm,value_baseline,difference,seed_mean_arm,seed_mean_baseline,difference_seed_mean,seed_sd_arm,seed_sd_baseline,seed_band,exceeds_seed_band,n_days,exploratory
SAC,1.0,H1,M3,M1,max_drawdown,0.2654882911841724,0.27535002743468534,-0.009861736250512954,0.2385957123909587,0.21264268218857724,0.02595303020238146,0.016600810967011315,0.040888241261000914,0.04412975411420577,False,1368,False
SAC,1.0,H1,M3,M1,cvar_5,-0.023800602417917757,-0.022646260923862013,-0.001154341494055744,-0.022460194068778104,-0.020968132372710287,-0.0014920616960678174,0.0009813734310713915,0.0017453842079284488,0.002002363564515409,False,1368,False
SAC,1.0,H1,M4,M1,max_drawdown,0.24174889850271505,0.27535002743468534,-0.03360112893197029,0.2470433239736567,0.21264268218857724,0.034400641785079455,0.05244513312791968,0.040888241261000914,0.0665006786598681,False,1368,False
SAC,1.0,H1,M4,M1,cvar_5,-0.021831200435858934,-0.022646260923862013,0.0008150604880030783,-0.021928906780525698,-0.020968132372710287,-0.000960774407815411,0.0015085354023194933,0.0017453842079284488,0.002306955806541871,False,1368,False
SAC,1.0,H1,M5,M1,max_drawdown,0.1827120947488267,0.27535002743468534,-0.09263793268585865,0.2133604845575142,0.21264268218857724,0.0007178023689369539,0.039832282358126574,0.040888241261000914,0.057082913304029426,True,1368,False
SAC,1.0,H1,M5,M1,cvar_5,-0.0216320252502762,-0.022646260923862013,0.0010142356735858109,-0.021915322737254394,-0.020968132372710287,-0.0009471903645441072,0.0014215356592895889,0.0017453842079284488,0.0022510285790984315,False,1368,False
SAC,1.0,H1,M6,M1,max_drawdown,0.23553981352310135,0.27535002743468534,-0.039810213911583986,0.23850674210006045,0.21264268218857724,0.025864059911483217,0.04007005016921942,0.040888241261000914,0.057249080289394856,False,1368,False
SAC,1.0,H1,M6,M1,cvar_5,-0.022407945077356006,-0.022646260923862013,0.000238315846506007,-0.02177508808108243,-0.020968132372710287,-0.0008069557083721438,0.0016574015790231326,0.0017453842079284488,0.0024069370634552103,False,1368,False
SAC,1.0,H3,M3,M2,max_drawdown,0.2654882911841724,0.24671893330063513,0.018769357883537258,0.2385957123909587,0.2025332107446219,0.036062501646336786,0.016600810967011315,0.02802979787406246,0.032576931924649374,False,1368,False
SAC,1.0,H3,M3,M2,cvar_5,-0.023800602417917757,-0.02135436059342326,-0.0024462418244944953,-0.022460194068778104,-0.020845404168955556,-0.0016147898998225482,0.0009813734310713915,0.0006208769446813622,0.0011612846299033234,True,1368,False
