arm,eta,window,seed,explained_variance_mean,explained_variance_final,approx_kl_mean,clip_fraction_mean,action_std_start,action_std_end,value_loss_start,value_loss_end
M1,1.0,2021,0,-0.0012657837323476265,-5.7220458984375e-06,0.019247286367972745,0.2410616249201448,0.9976576566696168,0.8027777671813965,0.1457107382448157,0.001418277990524
M1,1.0,2021,1,-0.002234636315698307,-2.300739288330078e-05,0.019322515128620103,0.24107535003194208,0.9979900121688844,0.8131548762321472,0.2132790752330038,0.0008721222293388
M1,1.0,2021,2,-0.001112636045459176,8.52346420288086e-06,0.019048955875638842,0.23563271933560476,1.0010697841644287,0.8407984375953674,0.1022924620920093,0.0014297974794317
M1,1.0,2021,3,-1.6977778894531623e-05,1.7881393432617188e-05,0.01944434785434412,0.2379620371725937,1.001527190208435,0.7909545302391052,0.0998510736462776,0.0007640742178409
M1,1.0,2021,4,-0.000733088492534835,-3.814697265625e-06,0.01916139943270869,0.2415253673339012,0.9992833137512208,0.8116132616996765,0.1197754907880153,0.0012061412144248
M1,1.0,2022,0,-1.8004993072360298,0.0839410424232482,0.020109962082623507,0.236611777310477,1.0000452995300293,0.9024547338485718,0.1459919982917199,0.0046359551852219
M1,1.0,2022,1,0.0005967380444073331,-1.0728836059570312e-06,0.019634375017035775,0.24259571809784924,0.9979416131973268,0.8123388886451721,0.2184736756207712,0.0023206297555589
M1,1.0,2022,2,-1.6782815157859452,0.0901568531990051,0.019951531774275978,0.23174352174723167,1.001386046409607,0.915487825870514,0.1055268612290092,0.0044347025905153
M1,1.0,2022,3,-1.7465702204931737,0.0929211974143982,0.020186257148211244,0.23555535961456558,0.9988797903060912,0.9218288660049438,0.0998392688816238,0.0061706958367722
M1,1.0,2022,4,-1.7131513963363036,0.0735946893692016,0.02033644003577513,0.237753457064523,1.000371336936951,0.8592417240142822,0.1099677602287556,0.0046985555745777
M1,1.0,2023,0,-0.7335000955063399,0.0045259594917297,0.01996746119165247,0.24071288230675042,1.0000873804092407,0.8537653088569641,0.1463104698486859,0.0032085461425594
M1,1.0,2023,1,-0.47589312795885985,0.146726369857788,0.01989933319420784,0.24501778441758945,1.001328706741333,0.864277184009552,0.2135205054328253,0.002440540210955
M1,1.0,2023,2,-0.9522286642349153,0.0737120509147644,0.01946955241737649,0.23449790213745741,0.9998379349708556,0.8561904430389404,0.1018060352653265,0.0039455138758057
M1,1.0,2023,3,-0.4824794765428546,0.1344508528709411,0.0221543207802385,0.25204628939523,0.9986737370491028,0.911250650882721,0.0985898446015198,0.0035003282246179
M1,1.0,2023,4,-0.8385062654339273,0.0190939903259277,0.019689163881601364,0.23540958229077938,0.99826580286026,0.8796348571777344,0.118298857974878,0.0033427737362217
M1,1.0,2024,0,-0.4300927901592937,0.0043636560440063,0.02007730098211244,0.2333162947854557,0.9999790787696838,0.9215194582939148,0.1420703809708356,0.0019532729857019
M1,1.0,2024,1,-0.4695664809753379,0.0698381066322326,0.02035171863713799,0.24451203484348383,0.9998784065246582,0.8153041005134583,0.2102658102739951,0.0029569714097306
M1,1.0,2024,2,-0.35771537771419937,-0.0751955509185791,0.019595278892674615,0.23261569021507666,0.9999885559082032,0.9204405546188354,0.1010705692606279,0.002387504086073
