algo,eta,hypothesis,arm,baseline,sharpe_arm,sharpe_baseline,difference,ci_low,ci_high,p_value,p_one_sided,p_holm,seed_band,exceeds_seed_band,regime_robust,correct_sign,significant,supported,loo_sign_stable,n_days,family,exploratory
PPO,1.0,H1,M3,M1,0.6960793896518463,0.7717703444126754,-0.07571863475983837,-0.34856384641655536,0.19712657689687865,0.6058,0.6978,0.8344,0.2502984768785167,False,False,False,False,False,False,1368,eta=1.0,False
PPO,1.0,H1,M4,M1,0.9434264216686848,0.7717703444126754,0.17171885146811194,-0.13134583489388635,0.4747835378301103,0.2832,0.1454,0.5816,0.18413283795936577,False,False,True,False,False,True,1368,eta=1.0,False
PPO,1.0,H1,M5,M1,0.8664329352964578,0.7717703444126754,0.09469720876421708,-0.19314203716174103,0.38253645469017517,0.5262,0.2668,0.8004,0.21662349351654445,False,False,True,False,False,False,1368,eta=1.0,False
PPO,1.0,H1,M6,M1,0.8124513464464391,0.7717703444126754,0.040695878977773124,-0.32309500586516754,0.4044867638207138,0.8226,0.4172,0.8344,0.15479066115078197,False,False,True,False,False,False,1368,eta=1.0,False
PPO,1.0,H3,M3,M2,0.6960793896518463,0.8407142268907892,-0.1446877298489535,-0.34034958849701175,0.05097412879910475,0.1424,0.927,0.927,0.24887770942345905,False,False,False,False,False,True,1368,eta=1.0,False
PPO,1.0,H4,M4,M3,0.9434264216686848,0.6960793896518463,0.2474374862279503,-0.0510745753224767,0.5459495477783773,0.103,0.0494,0.0494,0.24543617830345557,True,False,True,True,True,True,1368,eta=1.0,False
PPO,1.0,H4,M5,M4,0.8664329352964578,0.9434264216686848,-0.07702164270389487,-0.3060854627407458,0.15204217733295605,0.5116,0.745,0.745,0.21098655889845838,False,False,False,False,False,False,1368,eta=1.0,False
PPO,1.0,H4,M6,M5,0.8124513464464391,0.8664329352964578,-0.05400132978644395,-0.28427549660930207,0.17627283703641422,0.6544,0.6718,0.6718,0.18593164012706068,False,False,False,False,False,False,1368,eta=1.0,False
PPO,1.0,SUPP,M2,M1,0.8407142268907892,0.7717703444126754,0.06896909508911514,-0.19944763682025599,0.33738582699848624,0.6216,0.3124,0.3124,0.18869578331969197,False,False,True,False,False,False,1368,eta=1.0,False
PPO,3.0,H1,M3,M1,0.656682425890947,0.9563564558715866,-0.2997836200482929,-0.6075460168905948,0.007978776794009013,0.0562,0.9672,1.0,0.21094215970270708,True,False,False,False,False,True,1368,eta=3.0,True
PPO,3.0,H1,M4,M1,0.8470185907525518,0.9563564558715866,-0.10937784971174783,-0.4528041791534088,0.2340484797299132,0.5404,0.7294,1.0,0.17558084743997807,False,False,False,False,False,False,1368,eta=3.0,True
PPO,3.0,H1,M5,M1,0.8427694668720487,0.9563564558715866,-0.11362852748657254,-0.4417073603131492,0.21445030534000414,0.5074,0.7408,1.0,0.20420987821465092,False,False,False,False,False,False,1368,eta=3.0,True
PPO,3.0,H1,M6,M1,0.7259218857139704,0.9563564558715866,-0.2305188395223484,-0.6013892055737943,0.1403515265290975,0.226,0.8798,1.0,0.19298164031144777,True,False,False,False,False,False,1368,eta=3.0,True
